      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   3.825   1.970   7.301    13.096
  -121.15    38.73    1951   2.925   2.679   7.289    12.893
  -121.15    38.73    1952   2.848   2.881   7.274    13.003
  -121.15    38.73    1953   3.087   2.828   7.250    13.165
  -121.15    38.73    1954   3.316   2.824   7.246    13.386
  -121.15    38.73    1955   3.499   2.816   7.261    13.576
  -121.15    38.73    1956   3.632   2.735   7.278    13.645
  -121.15    38.73    1957   3.065   3.337   7.293    13.695
  -121.15    38.73    1958   3.029   3.139   7.321    13.489
  -121.15    38.73    1959   3.200   2.989   7.320    13.509
  -121.15    38.73    1960   3.265   3.025   7.319    13.609
  -121.15    38.73    1961   2.575   3.539   7.349    13.463
  -121.15    38.73    1962   2.753   3.321   7.372    13.446
  -121.15    38.73    1963   3.112   3.149   7.377    13.638
  -121.15    38.73    1964   2.952   3.205   7.387    13.544
  -121.15    38.73    1965   2.936   3.026   7.431    13.393
  -121.15    38.73    1966   3.053   2.867   7.439    13.359
  -121.15    38.73    1967   3.168   2.832   7.440    13.440
  -121.15    38.73    1968   3.222   2.779   7.453    13.453
  -121.15    38.73    1969   3.321   2.706   7.459    13.486
  -121.15    38.73    1970   3.438   2.655   7.470    13.563
  -121.15    38.73    1971   3.429   2.586   7.472    13.487
  -121.15    38.73    1972   3.278   2.496   7.473    13.246
  -121.15    38.73    1973   3.395   2.391   7.469    13.254
  -121.15    38.73    1974   3.442   2.374   7.460    13.276
  -121.15    38.73    1975   3.578   2.333   7.453    13.364
  -121.15    38.73    1976   3.654   2.281   7.447    13.382
  -121.15    38.73    1977   2.701   3.281   7.440    13.422
  -121.15    38.73    1978   2.821   3.105   7.455    13.380
  -121.15    38.73    1979   3.095   2.971   7.452    13.517
  -121.15    38.73    1980   3.169   3.002   7.448    13.619
  -121.15    38.73    1981   3.360   2.889   7.476    13.725
  -121.15    38.73    1982   3.189   2.842   7.487    13.518
  -121.15    38.73    1983   3.241   2.755   7.499    13.495
  -121.15    38.73    1984   3.397   2.664   7.499    13.561
  -121.15    38.73    1985   3.460   2.716   7.491    13.667
  -121.15    38.73    1986   3.338   2.648   7.490    13.475
  -121.15    38.73    1987   3.288   2.633   7.497    13.419
  -121.15    38.73    1988   3.375   2.582   7.497    13.455
  -121.15    38.73    1989   3.701   2.505   7.489    13.695
  -121.15    38.73    1990   3.737   2.446   7.492    13.674
  -121.15    38.73    1991   3.800   2.405   7.486    13.692
  -121.15    38.73    1992   3.978   2.347   7.481    13.806
  -121.15    38.73    1993   4.004   2.308   7.481    13.794
  -121.15    38.73    1994   3.949   2.364   7.476    13.790
  -121.15    38.73    1995   4.103   2.292   7.461    13.855
  -121.15    38.73    1996   4.293   2.318   7.461    14.072
  -121.15    38.73    1997   4.316   2.244   7.450    14.011
  -121.15    38.73    1998   3.807   2.770   7.438    14.014
  -121.15    38.73    1999   3.812   2.572   7.460    13.843
  -121.15    38.73    2000   4.015   2.450   7.446    13.910
  -121.15    38.73    2001   3.908   2.573   7.437    13.918
  -121.15    38.73    2002   3.797   2.499   7.452    13.749
  -121.15    38.73    2003   3.571   2.555   7.460    13.585
  -121.15    38.73    2004   3.667   2.506   7.458    13.631
  -121.15    38.73    2005   3.727   2.439   7.443    13.609
  -121.15    38.73    2006   2.891   3.374   7.439    13.704
  -121.15    38.73    2007   1.405   4.440   7.458    13.303
  -121.15    38.73    2008   1.862   4.095   7.475    13.431
  -121.15    38.73    2009   2.073   4.098   7.465    13.636
  -121.15    38.73    2010   2.403   3.868   7.506    13.778
  -121.15    38.73    2011   2.695   3.729   7.533    13.956
  -121.15    38.73    2012   2.864   3.571   7.554    13.989
  -121.15    38.73    2013   2.955   3.410   7.566    13.931
  -121.15    38.73    2014   2.937   2.796   7.562    13.295
  -121.15    38.73    2015   3.101   2.767   7.564    13.431
  -121.15    38.73    2016   3.075   2.654   7.556    13.286
  -121.15    38.73    2017   3.177   2.536   7.547    13.260
  -121.15    38.73    2018   3.402   2.562   7.531    13.494
  -121.15    38.73    2019   3.350   2.445   7.522    13.317
  -121.15    38.73    2020   3.149   2.389   7.506    13.044
  -121.15    38.73    2021   3.421   2.274   7.485    13.179
  -121.15    38.73    2022   3.170   2.243   7.469    12.882
  -121.15    38.73    2023   3.205   2.239   7.452    12.897
  -121.15    38.73    2024   3.485   2.214   7.426    13.125
  -121.15    38.73    2025   3.610   2.138   7.399    13.147
  -121.15    38.73    2026   2.952   2.617   7.379    12.949
  -121.15    38.73    2027   3.088   2.380   7.379    12.847
  -121.15    38.73    2028   3.267   2.183   7.353    12.804
  -121.15    38.73    2029   2.832   2.716   7.328    12.876
  -121.15    38.73    2030   3.115   2.499   7.348    12.962
  -121.15    38.73    2031   3.512   2.388   7.331    13.230
  -121.15    38.73    2032   3.404   2.429   7.321    13.153
  -121.15    38.73    2033   3.690   2.293   7.344    13.327
  -121.15    38.73    2034   3.849   2.233   7.337    13.419
  -121.15    38.73    2035   4.075   2.150   7.334    13.560
  -121.15    38.73    2036   4.329   2.185   7.332    13.847
  -121.15    38.73    2037   3.326   3.068   7.330    13.723
  -121.15    38.73    2038   3.315   2.822   7.352    13.489
  -121.15    38.73    2039   3.495   2.576   7.349    13.420
  -121.15    38.73    2040   3.705   2.556   7.339    13.600
  -121.15    38.73    2041   3.976   2.473   7.346    13.796
  -121.15    38.73    2042   4.039   2.483   7.351    13.873
  -121.15    38.73    2043   0.352   5.491   7.366    13.209
  -121.15    38.73    2044   0.516   4.904   7.414    12.833
  -121.15    38.73    2045   1.189   4.517   7.407    13.113
  -121.15    38.73    2046   1.160   4.677   7.413    13.251
  -121.15    38.73    2047   1.323   4.292   7.510    13.125
  -121.15    38.73    2048   1.565   4.090   7.545    13.200
  -121.15    38.73    2049   1.956   4.123   7.574    13.652
  -121.15    38.73    2050   2.250   4.016   7.620    13.886
  -121.15    38.73    2051   2.330   3.917   7.661    13.909
  -121.15    38.73    2052   2.114   3.729   7.700    13.543
  -121.15    38.73    2053   1.864   3.600   7.722    13.186
  -121.15    38.73    2054   1.925   3.294   7.740    12.959
  -121.15    38.73    2055   2.045   3.231   7.716    12.991
  -121.15    38.73    2056   2.103   3.077   7.705    12.885
  -121.15    38.73    2057   2.451   2.883   7.690    13.024
  -121.15    38.73    2058   2.432   2.803   7.663    12.899
  -121.15    38.73    2059   2.366   2.860   7.663    12.889
  -121.15    38.73    2060   2.384   2.663   7.664    12.711
  -121.15    38.73    2061   2.477   2.619   7.644    12.739
  -121.15    38.73    2062   2.503   2.554   7.619    12.676
