      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    80.0     0.0     0.0    80.0
  -121.15    38.73    1951     0.0     0.0     0.0     0.0
  -121.15    38.73    1952   323.5     0.0     0.2   323.7
  -121.15    38.73    1953   262.5     0.0     5.9   268.4
  -121.15    38.73    1954   718.7    28.2    19.0   766.0
  -121.15    38.73    1955   216.7    31.9     7.8   256.4
  -121.15    38.73    1956   287.1    11.5     8.0   306.7
  -121.15    38.73    1957   104.0     0.0     2.3   106.2
  -121.15    38.73    1958   115.0     0.0     0.1   115.1
  -121.15    38.73    1959   238.7     8.9     2.2   249.9
  -121.15    38.73    1960    82.4    21.5     2.7   106.7
  -121.15    38.73    1961   157.5     0.0     0.2   157.8
  -121.15    38.73    1962   252.3     0.0     1.7   254.1
  -121.15    38.73    1963    39.6    16.3     3.6    59.5
  -121.15    38.73    1964    96.1    18.0     3.1   117.1
  -121.15    38.73    1965    32.8     0.5     0.8    34.0
  -121.15    38.73    1966     1.1     0.0     0.0     1.1
  -121.15    38.73    1967   238.9     0.0     0.1   238.9
  -121.15    38.73    1968    65.8     0.0     0.0    65.8
  -121.15    38.73    1969   140.5     0.0     0.1   140.5
  -121.15    38.73    1970   200.8     0.0     0.3   201.1
  -121.15    38.73    1971   104.3     0.0     0.0   104.3
  -121.15    38.73    1972     0.6     0.0     0.0     0.6
  -121.15    38.73    1973   117.7     0.0     0.1   117.8
  -121.15    38.73    1974     0.0     0.0     0.0     0.0
  -121.15    38.73    1975    52.1     0.0     0.0    52.1
  -121.15    38.73    1976   131.7     0.0     0.0   131.8
  -121.15    38.73    1977   156.7     0.0     0.3   157.0
  -121.15    38.73    1978   248.4     0.0     1.0   249.4
  -121.15    38.73    1979   572.4    33.7     5.9   612.0
  -121.15    38.73    1980   295.9    13.8     2.0   311.7
  -121.15    38.73    1981   342.5     5.9     9.6   357.9
  -121.15    38.73    1982     9.3     0.0     0.0     9.3
  -121.15    38.73    1983    51.5     0.0     0.0    51.5
  -121.15    38.73    1984   183.6     0.0     0.0   183.6
  -121.15    38.73    1985     1.2     0.0     0.0     1.2
  -121.15    38.73    1986   106.1     0.0     0.0   106.1
  -121.15    38.73    1987   191.6     0.0     0.2   191.9
  -121.15    38.73    1988   271.8     0.0     0.2   272.1
  -121.15    38.73    1989   335.8     0.0     1.1   336.9
  -121.15    38.73    1990   311.6     0.0     1.4   313.0
  -121.15    38.73    1991   134.1     0.0     0.0   134.2
  -121.15    38.73    1992   234.8     0.0     0.3   235.2
  -121.15    38.73    1993    95.1     0.0     0.1    95.2
  -121.15    38.73    1994   208.1     0.0     0.3   208.3
  -121.15    38.73    1995   235.0     0.0     0.3   235.3
  -121.15    38.73    1996   434.7     0.0     1.2   435.9
  -121.15    38.73    1997   286.8     0.0     2.4   289.2
  -121.15    38.73    1998   316.5     0.0     0.7   317.2
  -121.15    38.73    1999    46.4     0.0     0.1    46.4
  -121.15    38.73    2000   269.2    14.5     3.4   287.1
  -121.15    38.73    2001   156.5    21.5     4.1   182.2
  -121.15    38.73    2002    82.7     0.0     2.1    84.8
  -121.15    38.73    2003   101.6     0.0     0.5   102.0
  -121.15    38.73    2004    30.9     0.0     0.1    30.9
  -121.15    38.73    2005   125.2     0.0     0.0   125.2
  -121.15    38.73    2006    28.0     0.0     0.0    28.0
  -121.15    38.73    2007     0.0     0.0     0.0     0.0
  -121.15    38.73    2008    67.1     0.0     0.1    67.1
  -121.15    38.73    2009   161.4     2.3     4.2   167.9
  -121.15    38.73    2010   550.3     2.2     5.3   557.8
  -121.15    38.73    2011   134.9     0.6     5.1   140.6
  -121.15    38.73    2012   318.7     0.0     4.6   323.3
  -121.15    38.73    2013   211.9     0.0     0.6   212.5
  -121.15    38.73    2014    87.5     0.0     0.1    87.6
  -121.15    38.73    2015   455.6     0.0     1.3   456.9
  -121.15    38.73    2016   449.2     0.0     0.2   449.4
  -121.15    38.73    2017   246.1     0.0     0.6   246.7
  -121.15    38.73    2018   126.2     0.0     2.6   128.8
  -121.15    38.73    2019    46.7     0.0     0.0    46.7
  -121.15    38.73    2020   119.7     0.0     0.0   119.7
