      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.077   0.006   0.009   0.004   0.103   0.181   2.319   2.699
  -121.15    38.73    1951   0.121   0.003   0.005   0.004   0.096   0.157   2.247   2.634
  -121.15    38.73    1952   0.108   0.016   0.092   0.004   0.097   0.132   2.166   2.614
  -121.15    38.73    1953   0.114   0.003   0.006   0.005   0.097   0.125   2.180   2.530
  -121.15    38.73    1954   0.136   0.003   0.006   0.005   0.099   0.107   2.106   2.462
  -121.15    38.73    1955   0.145   0.003   0.006   0.005   0.103   0.090   2.029   2.382
  -121.15    38.73    1956   0.131   0.003   0.007   0.007   0.109   0.078   1.963   2.297
  -121.15    38.73    1957   0.125   0.007   0.011   0.005   0.107   0.067   1.892   2.213
  -121.15    38.73    1958   0.139   0.010   0.017   0.006   0.110   0.063   1.837   2.182
  -121.15    38.73    1959   0.146   0.007   0.013   0.006   0.114   0.061   1.785   2.132
  -121.15    38.73    1960   0.135   0.004   0.007   0.006   0.117   0.057   1.733   2.059
  -121.15    38.73    1961   0.138   0.008   0.015   0.005   0.116   0.050   1.672   2.004
  -121.15    38.73    1962   0.128   0.010   0.022   0.007   0.122   0.049   1.632   1.970
  -121.15    38.73    1963   0.116   0.017   0.036   0.007   0.119   0.050   1.595   1.940
  -121.15    38.73    1964   0.122   0.012   0.024   0.005   0.113   0.057   1.571   1.904
  -121.15    38.73    1965   0.138   0.007   0.016   0.006   0.115   0.058   1.540   1.881
  -121.15    38.73    1966   0.145   0.009   0.022   0.007   0.120   0.056   1.503   1.862
  -121.15    38.73    1967   0.129   0.007   0.015   0.007   0.122   0.055   1.472   1.807
  -121.15    38.73    1968   0.127   0.012   0.026   0.005   0.119   0.052   1.432   1.774
  -121.15    38.73    1969   0.124   0.011   0.027   0.004   0.114   0.053   1.398   1.732
  -121.15    38.73    1970   0.120   0.015   0.036   0.005   0.112   0.054   1.373   1.714
  -121.15    38.73    1971   0.122   0.006   0.017   0.003   0.106   0.057   1.349   1.661
  -121.15    38.73    1972   0.127   0.006   0.015   0.005   0.107   0.053   1.316   1.629
  -121.15    38.73    1973   0.133   0.008   0.022   0.006   0.110   0.050   1.284   1.613
  -121.15    38.73    1974   0.134   0.012   0.028   0.008   0.114   0.050   1.264   1.609
  -121.15    38.73    1975   0.137   0.008   0.019   0.007   0.118   0.053   1.248   1.590
  -121.15    38.73    1976   0.128   0.005   0.011   0.006   0.118   0.051   1.220   1.537
  -121.15    38.73    1977   0.122   0.011   0.032   0.005   0.113   0.046   1.183   1.511
  -121.15    38.73    1978   0.116   0.011   0.098   0.005   0.109   0.048   1.169   1.556
  -121.15    38.73    1979   0.110   0.025   0.064   0.003   0.101   0.049   1.215   1.566
  -121.15    38.73    1980   0.113   0.021   0.066   0.005   0.099   0.063   1.233   1.601
  -121.15    38.73    1981   0.093   0.029   0.101   0.006   0.098   0.073   1.255   1.656
  -121.15    38.73    1982   0.091   0.014   0.036   0.004   0.090   0.086   1.305   1.627
  -121.15    38.73    1983   0.113   0.010   0.022   0.003   0.086   0.083   1.289   1.607
  -121.15    38.73    1984   0.120   0.016   0.039   0.005   0.090   0.078   1.264   1.611
  -121.15    38.73    1985   0.112   0.007   0.017   0.006   0.092   0.079   1.257   1.571
  -121.15    38.73    1986   0.115   0.014   0.037   0.004   0.092   0.071   1.226   1.561
  -121.15    38.73    1987   0.100   0.016   0.040   0.003   0.089   0.070   1.212   1.531
  -121.15    38.73    1988   0.097   0.012   0.038   0.006   0.089   0.073   1.211   1.527
  -121.15    38.73    1989   0.104   0.008   0.018   0.004   0.087   0.072   1.202   1.493
  -121.15    38.73    1990   0.104   0.008   0.019   0.003   0.083   0.064   1.167   1.448
  -121.15    38.73    1991   0.109   0.006   0.015   0.004   0.083   0.060   1.140   1.417
  -121.15    38.73    1992   0.111   0.016   0.024   0.004   0.084   0.054   1.110   1.402
  -121.15    38.73    1993   0.119   0.021   0.039   0.005   0.087   0.060   1.093   1.423
  -121.15    38.73    1994   0.128   0.014   0.033   0.005   0.093   0.069   1.091   1.432
  -121.15    38.73    1995   0.120   0.015   0.035   0.004   0.094   0.068   1.081   1.417
  -121.15    38.73    1996   0.147   0.253   0.783   0.003   0.090   0.068   1.067   2.411
  -121.15    38.73    1997   0.097   0.010   0.023   0.002   0.095   0.270   1.774   2.272
  -121.15    38.73    1998   0.089   0.010   0.025   0.003   0.086   0.205   1.700   2.119
  -121.15    38.73    1999   0.140   0.019   0.065   0.003   0.082   0.181   1.663   2.154
  -121.15    38.73    2000   0.111   0.010   0.033   0.004   0.088   0.162   1.656   2.064
  -121.15    38.73    2001   0.125   0.020   0.070   0.005   0.090   0.144   1.627   2.080
  -121.15    38.73    2002   0.116   0.020   0.065   0.004   0.092   0.135   1.633   2.065
  -121.15    38.73    2003   0.117   0.010   0.023   0.006   0.095   0.131   1.639   2.021
  -121.15    38.73    2004   0.115   0.018   0.027   0.004   0.095   0.116   1.598   1.974
  -121.15    38.73    2005   0.109   0.013   0.029   0.003   0.090   0.109   1.554   1.907
  -121.15    38.73    2006   0.095   0.005   0.013   0.002   0.081   0.095   1.504   1.795
  -121.15    38.73    2007   0.103   0.007   0.012   0.003   0.079   0.082   1.458   1.743
  -121.15    38.73    2008   0.106   0.007   0.015   0.003   0.077   0.072   1.408   1.686
  -121.15    38.73    2009   0.128   0.016   0.023   0.003   0.076   0.064   1.362   1.671
  -121.15    38.73    2010   0.129   0.016   0.045   0.004   0.081   0.066   1.329   1.669
  -121.15    38.73    2011   0.109   0.011   0.019   0.004   0.083   0.067   1.316   1.608
