      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.897   2.831   7.780    12.508
  -121.15    38.73    1951   2.036   2.812   7.761    12.609
  -121.15    38.73    1952   1.985   2.750   7.756    12.490
  -121.15    38.73    1953   2.269   2.667   7.740    12.676
  -121.15    38.73    1954   2.538   2.603   7.723    12.864
  -121.15    38.73    1955   2.538   2.543   7.706    12.788
  -121.15    38.73    1956   2.463   2.466   7.705    12.635
  -121.15    38.73    1957   2.666   2.365   7.694    12.726
  -121.15    38.73    1958   2.853   2.334   7.686    12.873
  -121.15    38.73    1959   2.888   2.297   7.675    12.860
  -121.15    38.73    1960   2.892   2.221   7.670    12.783
  -121.15    38.73    1961   3.103   2.154   7.657    12.914
  -121.15    38.73    1962   3.009   2.127   7.653    12.789
  -121.15    38.73    1963   2.965   2.109   7.645    12.720
  -121.15    38.73    1964   3.215   2.052   7.636    12.904
  -121.15    38.73    1965   3.502   2.024   7.625    13.151
  -121.15    38.73    1966   3.443   2.024   7.617    13.084
  -121.15    38.73    1967   3.466   1.971   7.615    13.052
  -121.15    38.73    1968   3.563   1.931   7.605    13.100
  -121.15    38.73    1969   3.533   1.878   7.586    12.997
  -121.15    38.73    1970   3.600   1.860   7.572    13.032
  -121.15    38.73    1971   3.739   1.795   7.547    13.081
  -121.15    38.73    1972   3.961   1.764   7.532    13.257
  -121.15    38.73    1973   3.980   1.762   7.521    13.263
  -121.15    38.73    1974   4.191   1.766   7.520    13.477
  -121.15    38.73    1975   4.268   1.743   7.519    13.529
  -121.15    38.73    1976   4.239   1.696   7.508    13.442
  -121.15    38.73    1977   4.300   1.667   7.495    13.462
  -121.15    38.73    1978   4.159   1.706   7.484    13.349
  -121.15    38.73    1979   4.229   1.708   7.461    13.399
  -121.15    38.73    1980   4.013   1.747   7.451    13.211
  -121.15    38.73    1981   3.853   1.797   7.445    13.095
  -121.15    38.73    1982   4.149   1.743   7.427    13.320
  -121.15    38.73    1983   4.367   1.723   7.401    13.491
  -121.15    38.73    1984   4.327   1.750   7.387    13.464
  -121.15    38.73    1985   4.490   1.714   7.382    13.586
  -121.15    38.73    1986   4.332   1.703   7.372    13.407
  -121.15    38.73    1987   4.357   1.665   7.356    13.377
  -121.15    38.73    1988   4.450   1.651   7.351    13.451
  -121.15    38.73    1989   4.539   1.620   7.332    13.491
  -121.15    38.73    1990   4.624   1.573   7.308    13.505
  -121.15    38.73    1991   4.671   1.545   7.293    13.509
  -121.15    38.73    1992   4.785   1.523   7.278    13.586
  -121.15    38.73    1993   5.066   1.550   7.268    13.884
  -121.15    38.73    1994   5.082   1.571   7.262    13.916
  -121.15    38.73    1995   5.099   1.561   7.255    13.915
  -121.15    38.73    1996   4.216   2.565   7.241    14.021
  -121.15    38.73    1997   4.255   2.377   7.244    13.876
  -121.15    38.73    1998   4.427   2.226   7.238    13.891
  -121.15    38.73    1999   4.313   2.325   7.230    13.868
  -121.15    38.73    2000   4.516   2.197   7.242    13.954
  -121.15    38.73    2001   4.378   2.221   7.244    13.844
  -121.15    38.73    2002   4.460   2.209   7.247    13.916
  -121.15    38.73    2003   4.523   2.164   7.255    13.941
  -121.15    38.73    2004   4.576   2.130   7.256    13.962
  -121.15    38.73    2005   4.495   2.063   7.252    13.810
  -121.15    38.73    2006   4.639   1.925   7.237    13.801
  -121.15    38.73    2007   4.666   1.882   7.229    13.777
  -121.15    38.73    2008   4.911   1.826   7.219    13.957
  -121.15    38.73    2009   5.137   1.816   7.208    14.160
  -121.15    38.73    2010   5.033   1.829   7.207    14.069
  -121.15    38.73    2011   5.036   1.766   7.207    14.009
  -121.15    38.73    2012   4.499   2.238   7.207    13.944
  -121.15    38.73    2013   4.556   2.009   7.212    13.777
  -121.15    38.73    2014   4.940   1.875   7.187    14.002
  -121.15    38.73    2015   5.038   1.965   7.165    14.168
  -121.15    38.73    2016   5.195   1.935   7.183    14.313
  -121.15    38.73    2017   5.279   1.895   7.195    14.369
  -121.15    38.73    2018   5.573   1.853   7.198    14.625
  -121.15    38.73    2019   5.602   1.830   7.211    14.643
  -121.15    38.73    2020   5.813   1.870   7.209    14.892
  -121.15    38.73    2021   5.795   1.859   7.222    14.876
  -121.15    38.73    2022   5.821   1.799   7.220    14.840
  -121.15    38.73    2023   4.305   3.115   7.221    14.641
  -121.15    38.73    2024   4.223   2.963   7.238    14.423
  -121.15    38.73    2025   4.538   2.779   7.232    14.549
  -121.15    38.73    2026   4.795   2.828   7.209    14.832
  -121.15    38.73    2027   4.927   2.695   7.225    14.847
  -121.15    38.73    2028   5.000   2.674   7.235    14.908
  -121.15    38.73    2029   3.536   3.969   7.248    14.753
  -121.15    38.73    2030   3.573   3.750   7.274    14.597
  -121.15    38.73    2031   3.771   3.576   7.281    14.629
  -121.15    38.73    2032   3.232   4.223   7.283    14.738
  -121.15    38.73    2033   3.316   3.846   7.330    14.492
  -121.15    38.73    2034   3.839   3.562   7.325    14.726
  -121.15    38.73    2035   3.945   3.551   7.331    14.827
  -121.15    38.73    2036   4.028   3.392   7.367    14.787
  -121.15    38.73    2037   4.148   3.329   7.383    14.860
  -121.15    38.73    2038   4.344   3.195   7.396    14.935
  -121.15    38.73    2039   4.360   3.111   7.405    14.877
  -121.15    38.73    2040   4.200   3.034   7.418    14.653
  -121.15    38.73    2041   4.263   3.025   7.420    14.708
  -121.15    38.73    2042   4.121   2.923   7.412    14.456
  -121.15    38.73    2043   4.216   2.799   7.407    14.423
  -121.15    38.73    2044   4.695   2.641   7.392    14.728
  -121.15    38.73    2045   4.952   2.575   7.377    14.903
  -121.15    38.73    2046   5.127   2.586   7.376    15.089
  -121.15    38.73    2047   4.911   2.550   7.381    14.842
  -121.15    38.73    2048   4.792   2.419   7.378    14.589
  -121.15    38.73    2049   4.997   2.269   7.365    14.631
  -121.15    38.73    2050   4.884   2.254   7.343    14.481
  -121.15    38.73    2051   4.954   2.222   7.314    14.490
  -121.15    38.73    2052   5.105   2.154   7.297    14.556
  -121.15    38.73    2053   5.121   2.129   7.281    14.532
  -121.15    38.73    2054   5.143   2.073   7.272    14.488
  -121.15    38.73    2055   5.481   1.980   7.251    14.712
  -121.15    38.73    2056   5.689   1.973   7.241    14.902
  -121.15    38.73    2057   5.663   1.942   7.235    14.840
  -121.15    38.73    2058   5.702   1.896   7.222    14.820
  -121.15    38.73    2059   5.908   1.861   7.215    14.984
  -121.15    38.73    2060   6.135   1.856   7.178    15.169
  -121.15    38.73    2061   6.178   1.879   7.170    15.226
  -121.15    38.73    2062   6.021   1.802   7.160    14.983
  -121.15    38.73    2063   6.082   1.848   7.149    15.078
  -121.15    38.73    2064   6.219   1.785   7.131    15.135
  -121.15    38.73    2065   6.264   1.803   7.118    15.186
  -121.15    38.73    2066   6.293   1.745   7.100    15.138
  -121.15    38.73    2067   6.329   1.747   7.095    15.171
  -121.15    38.73    2068   6.241   1.711   7.085    15.037
  -121.15    38.73    2069   6.214   1.724   7.073    15.011
  -121.15    38.73    2070   6.363   1.671   7.052    15.086
  -121.15    38.73    2071   6.433   1.702   7.044    15.179
  -121.15    38.73    2072   6.293   1.717   7.034    15.043
  -121.15    38.73    2073   6.379   1.595   7.020    14.994
  -121.15    38.73    2074   6.427   1.558   7.004    14.989
  -121.15    38.73    2075   6.463   1.803   6.981    15.247
  -121.15    38.73    2076   6.591   1.743   6.972    15.306
  -121.15    38.73    2077   6.757   1.734   6.968    15.460
  -121.15    38.73    2078   6.858   1.715   6.964    15.537
  -121.15    38.73    2079   6.955   1.749   6.964    15.667
  -121.15    38.73    2080   7.087   1.781   6.961    15.829
  -121.15    38.73    2081   7.217   1.765   6.952    15.934
  -121.15    38.73    2082   7.257   1.768   6.938    15.963
  -121.15    38.73    2083   7.261   1.675   6.937    15.874
  -121.15    38.73    2084   7.283   1.613   6.942    15.838
  -121.15    38.73    2085   7.190   1.655   6.940    15.785
  -121.15    38.73    2086   6.979   1.740   6.922    15.641
  -121.15    38.73    2087   6.841   1.832   6.916    15.589
  -121.15    38.73    2088   6.927   1.874   6.910    15.711
  -121.15    38.73    2089   7.116   1.880   6.905    15.901
  -121.15    38.73    2090   7.308   1.878   6.898    16.085
  -121.15    38.73    2091   7.200   1.926   6.901    16.027
  -121.15    38.73    2092   7.239   1.863   6.904    16.006
  -121.15    38.73    2093   7.342   1.774   6.901    16.017
  -121.15    38.73    2094   7.339   1.725   6.887    15.951
  -121.15    38.73    2095   7.249   1.753   6.882    15.884
  -121.15    38.73    2096   7.404   1.701   6.879    15.983
  -121.15    38.73    2097   7.589   1.808   6.867    16.264
  -121.15    38.73    2098   7.530   1.856   6.864    16.250
  -121.15    38.73    2099   7.550   1.860   6.864    16.274
  -121.11    38.85    1950   4.293   4.012   8.705    17.010
  -121.11    38.85    1951   4.636   3.782   8.715    17.133
  -121.11    38.85    1952   4.669   3.771   8.696    17.136
  -121.11    38.85    1953   4.998   3.600   8.719    17.318
  -121.11    38.85    1954   5.204   3.553   8.718    17.476
  -121.11    38.85    1955   3.583   5.109   8.718    17.410
  -121.11    38.85    1956   3.587   4.744   8.756    17.087
  -121.11    38.85    1957   3.928   4.541   8.753    17.222
  -121.11    38.85    1958   4.035   4.517   8.756    17.308
  -121.11    38.85    1959   4.193   4.326   8.785    17.304
  -121.11    38.85    1960   4.275   4.170   8.791    17.237
  -121.11    38.85    1961   3.874   4.638   8.794    17.306
  -121.11    38.85    1962   3.840   4.311   8.834    16.986
  -121.11    38.85    1963   3.911   4.208   8.832    16.951
  -121.11    38.85    1964   3.295   4.787   8.837    16.920
  -121.11    38.85    1965   3.687   4.577   8.858    17.123
  -121.11    38.85    1966   3.725   4.480   8.868    17.073
  -121.11    38.85    1967   3.830   4.309   8.887    17.026
  -121.11    38.85    1968   4.004   4.160   8.889    17.054
  -121.11    38.85    1969   3.862   4.149   8.884    16.895
  -121.11    38.85    1970   3.889   4.102   8.884    16.874
  -121.11    38.85    1971   4.006   3.946   8.871    16.823
  -121.11    38.85    1972   4.120   3.916   8.863    16.899
  -121.11    38.85    1973   4.184   3.833   8.861    16.879
  -121.11    38.85    1974   4.433   3.773   8.862    17.068
  -121.11    38.85    1975   4.570   3.673   8.863    17.106
  -121.11    38.85    1976   4.538   3.641   8.850    17.030
  -121.11    38.85    1977   4.608   3.564   8.841    17.013
  -121.11    38.85    1978   4.689   3.421   8.824    16.934
