      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.948   1.415   3.890     6.254
  -121.15    38.73    1951   1.018   1.406   3.880     6.304
  -121.15    38.73    1952   0.992   1.375   3.878     6.245
  -121.15    38.73    1953   1.134   1.333   3.870     6.338
  -121.15    38.73    1954   1.269   1.302   3.861     6.432
  -121.15    38.73    1955   1.269   1.272   3.853     6.394
  -121.15    38.73    1956   1.232   1.233   3.853     6.317
  -121.15    38.73    1957   1.333   1.183   3.847     6.363
  -121.15    38.73    1958   1.427   1.167   3.843     6.437
  -121.15    38.73    1959   1.444   1.149   3.837     6.430
  -121.15    38.73    1960   1.446   1.110   3.835     6.391
  -121.15    38.73    1961   1.551   1.077   3.829     6.457
  -121.15    38.73    1962   1.505   1.063   3.827     6.395
  -121.15    38.73    1963   1.483   1.055   3.823     6.360
  -121.15    38.73    1964   1.608   1.026   3.818     6.452
  -121.15    38.73    1965   1.751   1.012   3.813     6.576
  -121.15    38.73    1966   1.722   1.012   3.809     6.542
  -121.15    38.73    1967   1.733   0.986   3.807     6.526
  -121.15    38.73    1968   1.782   0.966   3.803     6.550
  -121.15    38.73    1969   1.767   0.939   3.793     6.498
  -121.15    38.73    1970   1.800   0.930   3.786     6.516
  -121.15    38.73    1971   1.869   0.898   3.774     6.541
  -121.15    38.73    1972   1.981   0.882   3.766     6.629
  -121.15    38.73    1973   1.990   0.881   3.761     6.631
  -121.15    38.73    1974   2.095   0.883   3.760     6.739
  -121.15    38.73    1975   2.134   0.871   3.759     6.765
  -121.15    38.73    1976   2.119   0.848   3.754     6.721
  -121.15    38.73    1977   2.150   0.834   3.747     6.731
  -121.15    38.73    1978   2.079   0.853   3.742     6.674
  -121.15    38.73    1979   2.115   0.854   3.731     6.699
  -121.15    38.73    1980   2.007   0.873   3.726     6.606
  -121.15    38.73    1981   1.926   0.899   3.723     6.547
  -121.15    38.73    1982   2.074   0.872   3.714     6.660
  -121.15    38.73    1983   2.184   0.861   3.701     6.746
  -121.15    38.73    1984   2.164   0.875   3.693     6.732
  -121.15    38.73    1985   2.245   0.857   3.691     6.793
  -121.15    38.73    1986   2.166   0.851   3.686     6.704
  -121.15    38.73    1987   2.178   0.832   3.678     6.689
  -121.15    38.73    1988   2.225   0.825   3.675     6.725
  -121.15    38.73    1989   2.270   0.810   3.666     6.746
  -121.15    38.73    1990   2.312   0.787   3.654     6.753
  -121.15    38.73    1991   2.336   0.772   3.647     6.755
  -121.15    38.73    1992   2.392   0.762   3.639     6.793
  -121.15    38.73    1993   2.533   0.775   3.634     6.942
  -121.15    38.73    1994   2.541   0.786   3.631     6.958
  -121.15    38.73    1995   2.550   0.780   3.627     6.957
  -121.15    38.73    1996   2.108   1.282   3.620     7.011
  -121.15    38.73    1997   2.128   1.188   3.622     6.938
  -121.15    38.73    1998   2.213   1.113   3.619     6.945
  -121.15    38.73    1999   2.156   1.162   3.615     6.934
  -121.15    38.73    2000   2.258   1.098   3.621     6.977
  -121.15    38.73    2001   2.189   1.111   3.622     6.922
  -121.15    38.73    2002   2.230   1.104   3.623     6.958
  -121.15    38.73    2003   2.261   1.082   3.627     6.971
  -121.15    38.73    2004   2.288   1.065   3.628     6.981
  -121.15    38.73    2005   2.248   1.031   3.626     6.905
  -121.15    38.73    2006   2.319   0.963   3.618     6.901
  -121.15    38.73    2007   2.333   0.941   3.614     6.889
  -121.15    38.73    2008   2.456   0.913   3.610     6.978
  -121.15    38.73    2009   2.568   0.908   3.604     7.080
  -121.15    38.73    2010   2.517   0.914   3.604     7.035
  -121.15    38.73    2011   2.518   0.883   3.604     7.005
  -121.15    38.73    2012   2.250   1.119   3.603     6.972
  -121.15    38.73    2013   2.278   1.004   3.606     6.889
  -121.15    38.73    2014   2.470   0.937   3.594     7.001
  -121.15    38.73    2015   2.519   0.982   3.583     7.084
  -121.15    38.73    2016   2.598   0.968   3.591     7.157
  -121.15    38.73    2017   2.640   0.948   3.597     7.185
  -121.15    38.73    2018   2.787   0.926   3.599     7.312
  -121.15    38.73    2019   2.801   0.915   3.605     7.321
  -121.15    38.73    2020   2.906   0.935   3.604     7.446
  -121.15    38.73    2021   2.898   0.930   3.611     7.438
  -121.15    38.73    2022   2.910   0.900   3.610     7.420
  -121.15    38.73    2023   2.153   1.558   3.610     7.320
  -121.15    38.73    2024   2.111   1.482   3.619     7.212
  -121.15    38.73    2025   2.269   1.389   3.616     7.274
  -121.15    38.73    2026   2.398   1.414   3.605     7.416
  -121.15    38.73    2027   2.464   1.348   3.613     7.424
  -121.15    38.73    2028   2.500   1.337   3.618     7.454
  -121.15    38.73    2029   1.768   1.984   3.624     7.376
  -121.15    38.73    2030   1.787   1.875   3.637     7.298
  -121.15    38.73    2031   1.886   1.788   3.641     7.314
  -121.15    38.73    2032   1.616   2.111   3.641     7.369
  -121.15    38.73    2033   1.658   1.923   3.665     7.246
  -121.15    38.73    2034   1.920   1.781   3.662     7.363
  -121.15    38.73    2035   1.972   1.776   3.666     7.414
  -121.15    38.73    2036   2.014   1.696   3.683     7.394
  -121.15    38.73    2037   2.074   1.664   3.691     7.430
  -121.15    38.73    2038   2.172   1.598   3.698     7.467
  -121.15    38.73    2039   2.180   1.556   3.703     7.438
  -121.15    38.73    2040   2.100   1.517   3.709     7.326
  -121.15    38.73    2041   2.131   1.512   3.710     7.354
  -121.15    38.73    2042   2.060   1.461   3.706     7.228
  -121.15    38.73    2043   2.108   1.400   3.704     7.211
  -121.15    38.73    2044   2.347   1.321   3.696     7.364
  -121.15    38.73    2045   2.476   1.287   3.688     7.452
  -121.15    38.73    2046   2.564   1.293   3.688     7.544
  -121.15    38.73    2047   2.455   1.275   3.691     7.421
  -121.15    38.73    2048   2.396   1.209   3.689     7.294
  -121.15    38.73    2049   2.499   1.135   3.682     7.316
  -121.15    38.73    2050   2.442   1.127   3.672     7.240
  -121.15    38.73    2051   2.477   1.111   3.657     7.245
  -121.15    38.73    2052   2.552   1.077   3.649     7.278
  -121.15    38.73    2053   2.561   1.065   3.640     7.266
  -121.15    38.73    2054   2.571   1.037   3.636     7.244
  -121.15    38.73    2055   2.740   0.990   3.625     7.356
  -121.15    38.73    2056   2.844   0.986   3.620     7.451
  -121.15    38.73    2057   2.832   0.971   3.618     7.420
  -121.15    38.73    2058   2.851   0.948   3.611     7.410
  -121.15    38.73    2059   2.954   0.930   3.608     7.492
  -121.15    38.73    2060   3.068   0.928   3.589     7.584
  -121.15    38.73    2061   3.089   0.939   3.585     7.613
  -121.15    38.73    2062   3.011   0.901   3.580     7.491
  -121.15    38.73    2063   3.041   0.924   3.575     7.539
  -121.15    38.73    2064   3.110   0.892   3.566     7.568
  -121.15    38.73    2065   3.132   0.902   3.559     7.593
  -121.15    38.73    2066   3.147   0.873   3.550     7.569
  -121.15    38.73    2067   3.164   0.874   3.547     7.585
  -121.15    38.73    2068   3.120   0.856   3.543     7.519
  -121.15    38.73    2069   3.107   0.862   3.536     7.505
  -121.15    38.73    2070   3.182   0.836   3.526     7.543
  -121.15    38.73    2071   3.217   0.851   3.522     7.590
  -121.15    38.73    2072   3.146   0.858   3.517     7.522
  -121.15    38.73    2073   3.190   0.797   3.510     7.497
  -121.15    38.73    2074   3.214   0.779   3.502     7.495
  -121.15    38.73    2075   3.232   0.901   3.491     7.624
  -121.15    38.73    2076   3.296   0.871   3.486     7.653
  -121.15    38.73    2077   3.379   0.867   3.484     7.730
  -121.15    38.73    2078   3.429   0.858   3.482     7.769
  -121.15    38.73    2079   3.477   0.874   3.482     7.834
  -121.15    38.73    2080   3.543   0.890   3.480     7.914
  -121.15    38.73    2081   3.609   0.882   3.476     7.967
  -121.15    38.73    2082   3.629   0.884   3.469     7.981
  -121.15    38.73    2083   3.631   0.838   3.469     7.937
  -121.15    38.73    2084   3.641   0.807   3.471     7.919
  -121.15    38.73    2085   3.595   0.827   3.470     7.893
  -121.15    38.73    2086   3.490   0.870   3.461     7.821
  -121.15    38.73    2087   3.420   0.916   3.458     7.794
  -121.15    38.73    2088   3.463   0.937   3.455     7.855
  -121.15    38.73    2089   3.558   0.940   3.452     7.950
  -121.15    38.73    2090   3.654   0.939   3.449     8.042
  -121.15    38.73    2091   3.600   0.963   3.450     8.014
  -121.15    38.73    2092   3.620   0.931   3.452     8.003
  -121.15    38.73    2093   3.671   0.887   3.451     8.008
  -121.15    38.73    2094   3.670   0.862   3.443     7.975
  -121.15    38.73    2095   3.624   0.877   3.441     7.942
  -121.15    38.73    2096   3.702   0.850   3.439     7.992
  -121.15    38.73    2097   3.795   0.904   3.433     8.132
  -121.15    38.73    2098   3.765   0.928   3.432     8.125
  -121.15    38.73    2099   3.775   0.930   3.432     8.137
  -121.11    38.85    1950   2.146   2.006   4.353     8.505
  -121.11    38.85    1951   2.318   1.891   4.358     8.567
  -121.11    38.85    1952   2.334   1.885   4.348     8.568
  -121.11    38.85    1953   2.499   1.800   4.360     8.659
