      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950   286.0     3.8     2.4   292.2
  -121.15    38.73    1951   230.5    23.4     5.7   259.6
  -121.15    38.73    1952   167.0     3.9     3.5   174.4
  -121.15    38.73    1953   235.5     1.9     3.1   240.6
  -121.15    38.73    1954    62.4     0.0     0.7    63.0
  -121.15    38.73    1955    57.5     0.0     0.0    57.5
  -121.15    38.73    1956   158.9     0.0     0.0   158.9
  -121.15    38.73    1957   247.2     0.0     0.1   247.3
  -121.15    38.73    1958   148.1     0.0     0.0   148.2
  -121.15    38.73    1959    77.8     0.0     0.0    77.8
  -121.15    38.73    1960   161.4     0.0     0.5   161.9
  -121.15    38.73    1961   302.9     0.0     0.3   303.2
  -121.15    38.73    1962     3.7     0.0     0.0     3.7
  -121.15    38.73    1963   548.3     0.0     0.2   548.4
  -121.15    38.73    1964   156.1     0.0     0.5   156.6
  -121.15    38.73    1965    65.5     0.0     0.4    65.9
  -121.15    38.73    1966    50.0     0.0     0.0    50.0
  -121.15    38.73    1967    52.2     0.0     0.1    52.2
  -121.15    38.73    1968   208.0     0.0     0.2   208.1
  -121.15    38.73    1969    79.6     0.0     0.0    79.6
  -121.15    38.73    1970   102.7     0.0     0.0   102.8
  -121.15    38.73    1971   140.7     0.0     0.2   140.9
  -121.15    38.73    1972   238.8     0.0     1.9   240.7
  -121.15    38.73    1973   154.2     0.0     0.0   154.3
  -121.15    38.73    1974   240.3     0.0     1.0   241.2
  -121.15    38.73    1975   195.1     0.0     0.4   195.5
  -121.15    38.73    1976   135.2     0.0     0.2   135.5
  -121.15    38.73    1977   146.3     0.0     0.4   146.6
  -121.15    38.73    1978    14.2     0.0     0.0    14.2
  -121.15    38.73    1979   120.8     0.0     0.0   120.9
  -121.15    38.73    1980   347.4     0.0     0.1   347.6
  -121.15    38.73    1981   211.5     0.0     0.1   211.5
  -121.15    38.73    1982   242.1     0.0     1.2   243.3
  -121.15    38.73    1983    36.0     0.0     0.2    36.2
  -121.15    38.73    1984     0.0     0.0     0.0     0.0
  -121.15    38.73    1985   582.1     0.0     0.6   582.7
  -121.15    38.73    1986    24.0     0.0     0.0    24.0
