      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.035   0.005   0.037   0.003   0.052   0.088   1.159   1.379
  -121.15    38.73    1951   0.056   0.006   0.028   0.002   0.046   0.079   1.154   1.372
  -121.15    38.73    1952   0.050   0.005   0.013   0.002   0.045   0.070   1.136   1.321
  -121.15    38.73    1953   0.064   0.002   0.003   0.001   0.045   0.060   1.100   1.276
  -121.15    38.73    1954   0.081   0.003   0.003   0.002   0.050   0.051   1.059   1.248
  -121.15    38.73    1955   0.085   0.001   0.002   0.004   0.058   0.045   1.025   1.220
  -121.15    38.73    1956   0.081   0.001   0.003   0.004   0.064   0.039   0.991   1.183
  -121.15    38.73    1957   0.069   0.004   0.006   0.005   0.068   0.034   0.960   1.146
  -121.15    38.73    1958   0.057   0.003   0.006   0.004   0.067   0.032   0.933   1.102
  -121.15    38.73    1959   0.053   0.004   0.008   0.003   0.063   0.029   0.906   1.066
  -121.15    38.73    1960   0.054   0.004   0.008   0.002   0.058   0.028   0.878   1.030
  -121.15    38.73    1961   0.055   0.009   0.023   0.003   0.057   0.027   0.856   1.030
  -121.15    38.73    1962   0.046   0.002   0.006   0.003   0.055   0.031   0.849   0.992
  -121.15    38.73    1963   0.049   0.002   0.006   0.002   0.053   0.028   0.825   0.966
  -121.15    38.73    1964   0.056   0.004   0.010   0.003   0.052   0.026   0.804   0.955
  -121.15    38.73    1965   0.050   0.007   0.050   0.003   0.052   0.025   0.786   0.974
  -121.15    38.73    1966   0.047   0.002   0.006   0.002   0.049   0.027   0.805   0.939
  -121.15    38.73    1967   0.050   0.003   0.008   0.002   0.048   0.025   0.781   0.917
  -121.15    38.73    1968   0.052   0.009   0.021   0.003   0.048   0.024   0.763   0.918
  -121.15    38.73    1969   0.057   0.006   0.017   0.002   0.046   0.027   0.753   0.909
  -121.15    38.73    1970   0.058   0.003   0.005   0.002   0.049   0.029   0.742   0.889
  -121.15    38.73    1971   0.057   0.004   0.011   0.003   0.051   0.026   0.721   0.872
  -121.15    38.73    1972   0.050   0.006   0.017   0.002   0.049   0.025   0.703   0.853
  -121.15    38.73    1973   0.055   0.089   0.331   0.002   0.046   0.026   0.692   1.241
  -121.15    38.73    1974   0.041   0.006   0.014   0.001   0.045   0.097   0.984   1.188
  -121.15    38.73    1975   0.044   0.004   0.008   0.002   0.042   0.078   0.950   1.127
  -121.15    38.73    1976   0.075   0.004   0.008   0.002   0.041   0.068   0.922   1.120
  -121.15    38.73    1977   0.065   0.004   0.008   0.002   0.047   0.059   0.892   1.076
  -121.15    38.73    1978   0.070   0.004   0.007   0.002   0.050   0.051   0.865   1.049
  -121.15    38.73    1979   0.075   0.007   0.013   0.003   0.054   0.046   0.841   1.039
  -121.15    38.73    1980   0.065   0.003   0.008   0.003   0.058   0.045   0.824   1.005
  -121.15    38.73    1981   0.065   0.005   0.009   0.003   0.058   0.041   0.803   0.984
  -121.15    38.73    1982   0.059   0.004   0.009   0.003   0.059   0.038   0.784   0.957
  -121.15    38.73    1983   0.052   0.007   0.018   0.003   0.057   0.035   0.766   0.938
  -121.15    38.73    1984   0.053   0.008   0.021   0.002   0.053   0.035   0.752   0.924
  -121.15    38.73    1985   0.058   0.008   0.015   0.002   0.050   0.036   0.743   0.911
  -121.15    38.73    1986   0.059   0.006   0.018   0.002   0.048   0.036   0.727   0.896
  -121.15    38.73    1987   0.048   0.004   0.012   0.003   0.049   0.035   0.718   0.868
  -121.15    38.73    1988   0.047   0.004   0.010   0.003   0.047   0.033   0.705   0.848
  -121.15    38.73    1989   0.053   0.007   0.017   0.002   0.044   0.030   0.688   0.841
  -121.15    38.73    1990   0.055   0.006   0.014   0.003   0.046   0.032   0.682   0.838
  -121.15    38.73    1991   0.055   0.004   0.009   0.002   0.045   0.031   0.671   0.817
  -121.15    38.73    1992   0.055   0.004   0.010   0.002   0.045   0.029   0.653   0.798
  -121.15    38.73    1993   0.056   0.005   0.012   0.003   0.046   0.028   0.640   0.789
  -121.15    38.73    1994   0.053   0.005   0.017   0.002   0.046   0.027   0.627   0.778
  -121.15    38.73    1995   0.054   0.006   0.015   0.001   0.043   0.026   0.616   0.760
  -121.15    38.73    1996   0.058   0.006   0.015   0.002   0.044   0.026   0.608   0.760
  -121.15    38.73    1997   0.060   0.006   0.047   0.002   0.044   0.026   0.598   0.782
  -121.15    38.73    1998   0.057   0.006   0.019   0.002   0.043   0.027   0.617   0.770
  -121.15    38.73    1999   0.054   0.005   0.016   0.002   0.043   0.028   0.613   0.760
  -121.15    38.73    2000   0.053   0.006   0.017   0.002   0.042   0.027   0.603   0.750
  -121.15    38.73    2001   0.052   0.007   0.019   0.002   0.041   0.028   0.596   0.746
  -121.15    38.73    2002   0.049   0.006   0.038   0.002   0.041   0.029   0.592   0.758
  -121.15    38.73    2003   0.042   0.019   0.168   0.003   0.041   0.030   0.609   0.912
  -121.15    38.73    2004   0.035   0.009   0.041   0.002   0.038   0.042   0.750   0.917
  -121.15    38.73    2005   0.040   0.010   0.036   0.001   0.034   0.042   0.759   0.921
  -121.15    38.73    2006   0.042   0.003   0.008   0.002   0.033   0.044   0.766   0.898
  -121.15    38.73    2007   0.048   0.128   0.346   0.002   0.034   0.039   0.746   1.344
  -121.15    38.73    2008   0.026   0.004   0.213   0.002   0.034   0.149   1.057   1.485
  -121.15    38.73    2009   0.063   0.066   0.201   0.001   0.030   0.125   1.223   1.709
  -121.15    38.73    2010   0.055   0.003   0.004   0.001   0.036   0.158   1.365   1.622
  -121.15    38.73    2011   0.050   0.008   0.006   0.003   0.036   0.128   1.306   1.537
  -121.15    38.73    2012   0.079   0.009   0.011   0.002   0.036   0.113   1.264   1.515
  -121.15    38.73    2013   0.064   0.006   0.008   0.002   0.043   0.100   1.221   1.443
  -121.15    38.73    2014   0.068   0.001   0.001   0.002   0.044   0.086   1.178   1.380
  -121.15    38.73    2015   0.067   0.005   0.012   0.003   0.048   0.071   1.134   1.341
  -121.15    38.73    2016   0.066   0.007   0.017   0.002   0.048   0.062   1.096   1.297
  -121.15    38.73    2017   0.054   0.007   0.031   0.002   0.047   0.056   1.065   1.261
  -121.15    38.73    2018   0.052   0.002   0.002   0.001   0.042   0.049   1.043   1.191
  -121.15    38.73    2019   0.061   0.003   0.006   0.001   0.041   0.041   1.001   1.155
  -121.15    38.73    2020   0.050   0.011   0.036   0.001   0.040   0.035   0.961   1.134
  -121.15    38.73    2021   0.042   0.009   0.024   0.001   0.036   0.036   0.949   1.097
  -121.15    38.73    2022   0.052   0.008   0.037   0.001   0.034   0.038   0.934   1.104
  -121.15    38.73    2023   0.039   0.012   0.048   0.001   0.034   0.037   0.930   1.102
  -121.15    38.73    2024   0.043   0.009   0.020   0.001   0.031   0.041   0.937   1.081
  -121.15    38.73    2025   0.049   0.003   0.009   0.001   0.030   0.040   0.916   1.048
  -121.15    38.73    2026   0.047   0.006   0.015   0.002   0.031   0.035   0.887   1.023
  -121.15    38.73    2027   0.038   0.002   0.005   0.001   0.030   0.033   0.861   0.970
  -121.15    38.73    2028   0.044   0.001   0.002   0.001   0.029   0.028   0.831   0.936
  -121.15    38.73    2029   0.036   0.004   0.020   0.001   0.029   0.024   0.798   0.914
  -121.15    38.73    2030   0.039   0.003   0.004   0.001   0.027   0.023   0.784   0.881
