      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.710   2.891   7.783    12.384
  -121.15    38.73    1951   1.548   2.911   7.761    12.221
  -121.15    38.73    1952   1.819   2.753   7.749    12.322
  -121.15    38.73    1953   2.208   2.651   7.711    12.570
  -121.15    38.73    1954   2.643   2.617   7.683    12.943
  -121.15    38.73    1955   2.913   2.590   7.678    13.182
  -121.15    38.73    1956   2.845   2.545   7.682    13.072
  -121.15    38.73    1957   2.748   2.483   7.694    12.925
  -121.15    38.73    1958   2.726   2.375   7.700    12.800
  -121.15    38.73    1959   2.735   2.294   7.691    12.720
  -121.15    38.73    1960   3.014   2.201   7.672    12.887
  -121.15    38.73    1961   2.801   2.213   7.660    12.673
  -121.15    38.73    1962   2.979   2.130   7.651    12.760
  -121.15    38.73    1963   3.210   2.062   7.637    12.909
  -121.15    38.73    1964   3.170   2.066   7.622    12.858
  -121.15    38.73    1965   3.056   2.093   7.613    12.763
  -121.15    38.73    1966   3.137   2.008   7.591    12.736
  -121.15    38.73    1967   3.239   1.966   7.569    12.774
  -121.15    38.73    1968   3.328   1.968   7.553    12.849
  -121.15    38.73    1969   3.475   1.955   7.530    12.960
  -121.15    38.73    1970   3.629   1.907   7.518    13.054
  -121.15    38.73    1971   3.599   1.880   7.503    12.982
  -121.15    38.73    1972   3.431   1.846   7.485    12.762
  -121.15    38.73    1973   2.691   2.634   7.465    12.790
  -121.15    38.73    1974   2.760   2.481   7.459    12.700
  -121.15    38.73    1975   3.098   2.354   7.438    12.890
  -121.15    38.73    1976   3.135   2.407   7.418    12.960
  -121.15    38.73    1977   3.333   2.284   7.426    13.043
  -121.15    38.73    1978   3.583   2.236   7.418    13.237
  -121.15    38.73    1979   3.689   2.229   7.420    13.338
  -121.15    38.73    1980   3.740   2.174   7.426    13.341
  -121.15    38.73    1981   3.872   2.138   7.433    13.443
  -121.15    38.73    1982   3.658   2.078   7.441    13.178
  -121.15    38.73    1983   3.732   2.041   7.443    13.216
  -121.15    38.73    1984   3.894   1.989   7.434    13.317
  -121.15    38.73    1985   4.039   1.973   7.418    13.430
  -121.15    38.73    1986   3.920   1.948   7.407    13.275
  -121.15    38.73    1987   3.947   1.878   7.407    13.231
  -121.15    38.73    1988   4.030   1.836   7.399    13.265
  -121.15    38.73    1989   4.324   1.811   7.383    13.517
  -121.15    38.73    1990   4.367   1.805   7.375    13.548
  -121.15    38.73    1991   4.439   1.783   7.362    13.584
  -121.15    38.73    1992   4.618   1.730   7.352    13.699
  -121.15    38.73    1993   4.635   1.715   7.345    13.696
  -121.15    38.73    1994   4.678   1.701   7.334    13.713
  -121.15    38.73    1995   4.833   1.656   7.313    13.802
  -121.15    38.73    1996   5.055   1.656   7.307    14.019
  -121.15    38.73    1997   4.984   1.699   7.290    13.973
  -121.15    38.73    1998   5.050   1.679   7.273    14.003
  -121.15    38.73    1999   5.055   1.655   7.268    13.977
  -121.15    38.73    2000   5.118   1.640   7.254    14.012
  -121.15    38.73    2001   5.134   1.625   7.245    14.004
  -121.15    38.73    2002   4.934   1.649   7.235    13.817
  -121.15    38.73    2003   4.400   1.960   7.230    13.591
  -121.15    38.73    2004   4.497   1.943   7.220    13.660
  -121.15    38.73    2005   4.543   1.940   7.196    13.678
  -121.15    38.73    2006   4.723   1.904   7.180    13.806
  -121.15    38.73    2007   3.570   2.825   7.170    13.566
  -121.15    38.73    2008   3.422   3.071   7.176    13.668
  -121.15    38.73    2009   3.145   3.602   7.166    13.913
  -121.15    38.73    2010   3.311   3.416   7.199    13.925
  -121.15    38.73    2011   3.744   3.227   7.227    14.197
  -121.15    38.73    2012   3.832   3.243   7.240    14.315
  -121.15    38.73    2013   4.055   3.049   7.276    14.380
  -121.15    38.73    2014   4.266   2.926   7.285    14.476
  -121.15    38.73    2015   4.426   2.860   7.300    14.587
  -121.15    38.73    2016   4.359   2.775   7.309    14.444
  -121.15    38.73    2017   4.354   2.693   7.317    14.364
  -121.15    38.73    2018   4.757   2.539   7.311    14.606
  -121.15    38.73    2019   4.613   2.468   7.308    14.388
  -121.15    38.73    2020   4.404   2.441   7.300    14.145
  -121.15    38.73    2021   4.629   2.330   7.288    14.248
  -121.15    38.73    2022   4.385   2.365   7.278    14.028
  -121.15    38.73    2023   4.464   2.354   7.272    14.090
  -121.15    38.73    2024   4.723   2.288   7.259    14.270
  -121.15    38.73    2025   4.845   2.231   7.240    14.316
  -121.15    38.73    2026   4.694   2.192   7.232    14.117
  -121.15    38.73    2027   4.912   2.071   7.217    14.200
  -121.15    38.73    2028   4.792   1.994   7.202    13.989
  -121.15    38.73    2029   4.882   1.950   7.188    14.020
  -121.15    38.73    2030   5.221   1.882   7.167    14.270
  -121.15    38.73    2031   5.331   1.871   7.153    14.356
  -121.15    38.73    2032   5.200   1.825   7.144    14.168
  -121.15    38.73    2033   5.406   1.779   7.133    14.318
  -121.15    38.73    2034   5.510   1.714   7.113    14.337
  -121.15    38.73    2035   5.696   1.718   7.094    14.509
  -121.15    38.73    2036   6.060   1.701   7.083    14.844
  -121.15    38.73    2037   6.033   1.691   7.069    14.793
  -121.15    38.73    2038   6.096   1.646   7.059    14.801
  -121.15    38.73    2039   6.038   1.640   7.047    14.724
  -121.15    38.73    2040   6.292   1.587   7.036    14.915
  -121.15    38.73    2041   6.395   1.603   7.019    15.018
  -121.15    38.73    2042   6.375   1.679   7.015    15.069
  -121.15    38.73    2043   0.167   7.229   7.018    14.414
  -121.15    38.73    2044   0.180   6.686   7.075    13.941
  -121.15    38.73    2045   0.290   6.112   7.108    13.510
  -121.15    38.73    2046   0.922   5.708   7.115    13.745
  -121.15    38.73    2047   1.193   5.699   7.124    14.016
  -121.15    38.73    2048   1.626   5.385   7.200    14.211
  -121.15    38.73    2049   2.143   5.215   7.244    14.602
  -121.15    38.73    2050   2.599   5.044   7.304    14.948
  -121.15    38.73    2051   2.852   4.839   7.368    15.059
  -121.15    38.73    2052   2.555   4.679   7.429    14.663
  -121.15    38.73    2053   2.186   4.556   7.466    14.208
