      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    85.8     0.0     0.2    85.9
  -121.15    38.73    1951     0.0     0.0     0.0     0.0
  -121.15    38.73    1952   322.6     0.0     2.1   324.7
  -121.15    38.73    1953   278.0     0.0     6.7   284.6
  -121.15    38.73    1954   717.3     9.1    11.9   738.3
  -121.15    38.73    1955   219.9     0.0     2.7   222.6
  -121.15    38.73    1956   306.4     0.0     0.3   306.7
  -121.15    38.73    1957   113.6     0.0     0.1   113.8
  -121.15    38.73    1958   143.2     0.0     0.0   143.3
  -121.15    38.73    1959   219.5     0.0     0.0   219.5
  -121.15    38.73    1960   102.4     0.0     0.5   102.9
  -121.15    38.73    1961   159.9     0.0     0.0   159.9
  -121.15    38.73    1962   260.8     0.0     0.6   261.3
  -121.15    38.73    1963    28.3     0.0     0.1    28.4
  -121.15    38.73    1964    84.2     0.0     0.0    84.2
  -121.15    38.73    1965    34.2     0.0     0.0    34.2
  -121.15    38.73    1966     0.0     0.0     0.0     0.0
  -121.15    38.73    1967   224.3     0.0     0.0   224.3
  -121.15    38.73    1968    63.0     0.0     0.0    63.0
  -121.15    38.73    1969   132.0     0.0     0.1   132.0
  -121.15    38.73    1970   192.2     0.0     0.2   192.4
  -121.15    38.73    1971    90.8     0.0     0.0    90.9
  -121.15    38.73    1972     0.0     0.0     0.0     0.0
  -121.15    38.73    1973   109.5     0.0     0.0   109.5
  -121.15    38.73    1974     0.0     0.0     0.0     0.0
  -121.15    38.73    1975    64.3     0.0     0.1    64.4
  -121.15    38.73    1976   119.0     5.9     2.2   127.0
  -121.15    38.73    1977   134.8     0.0     4.1   138.9
  -121.15    38.73    1978   250.9     0.0     5.2   256.1
  -121.15    38.73    1979   555.3     0.0     0.3   555.6
  -121.15    38.73    1980   285.5     0.0     1.1   286.6
  -121.15    38.73    1981   351.8     0.0     1.6   353.4
  -121.15    38.73    1982     5.6     0.0     0.0     5.6
  -121.15    38.73    1983    51.5     0.0     0.0    51.5
  -121.15    38.73    1984   176.1     0.0     0.0   176.1
  -121.15    38.73    1985     0.3     0.0     0.0     0.3
  -121.15    38.73    1986   103.5     0.0     0.0   103.5
  -121.15    38.73    1987   180.9     0.0     0.2   181.1
  -121.15    38.73    1988   266.2     0.0     0.1   266.3
  -121.15    38.73    1989   308.2     0.0     0.9   309.0
  -121.15    38.73    1990   302.2     0.0     1.4   303.6
  -121.15    38.73    1991   114.4     0.0     0.0   114.4
  -121.15    38.73    1992   216.0     0.0     0.2   216.2
  -121.15    38.73    1993    84.2     0.0     0.1    84.3
  -121.15    38.73    1994   192.0     0.0     0.2   192.3
  -121.15    38.73    1995   206.7     0.0     0.3   207.0
  -121.15    38.73    1996   407.0     0.0     1.0   408.0
  -121.15    38.73    1997   264.7     0.0     2.1   266.8
  -121.15    38.73    1998   301.8     0.0     0.7   302.4
  -121.15    38.73    1999    43.2     0.0     0.1    43.3
  -121.15    38.73    2000   227.2     0.0     0.0   227.3
  -121.15    38.73    2001   135.8     0.0     0.4   136.2
  -121.15    38.73    2002    77.3     0.0     0.0    77.3
  -121.15    38.73    2003   102.4     0.0     0.0   102.4
  -121.15    38.73    2004    21.0     0.0     0.0    21.0
  -121.15    38.73    2005   117.9     0.0     0.0   117.9
  -121.15    38.73    2006    23.6     0.0     0.1    23.6
  -121.15    38.73    2007     0.0     0.0     0.0     0.0
  -121.15    38.73    2008    54.2     0.0     0.0    54.2
  -121.15    38.73    2009   149.4     0.0     0.3   149.7
  -121.15    38.73    2010   545.0     0.0     2.3   547.3
  -121.15    38.73    2011   150.9    26.3     6.1   183.3
  -121.15    38.73    2012   328.7    16.6     8.2   353.4
  -121.15    38.73    2013   226.0     2.5     5.3   233.8
  -121.15    38.73    2014    88.1     0.0     1.0    89.1
  -121.15    38.73    2015   466.3     0.0     1.5   467.7
  -121.15    38.73    2016   452.9     0.0     0.2   453.0
  -121.15    38.73    2017   229.3     0.0     0.5   229.8
  -121.15    38.73    2018   132.0     0.0     4.1   136.1
  -121.15    38.73    2019    43.0     0.0     0.0    43.1
  -121.15    38.73    2020   139.8     0.0     0.0   139.8
  -121.15    38.73    2021    48.3     0.0     0.1    48.4
  -121.15    38.73    2022    49.4     0.0     0.0    49.4
  -121.15    38.73    2023   334.7     0.0     1.2   335.9
  -121.15    38.73    2024   287.5     0.0     0.6   288.1
  -121.15    38.73    2025   157.4     0.0     0.3   157.8
  -121.15    38.73    2026    29.2     0.0     0.0    29.2
  -121.15    38.73    2027    49.1     0.0     0.1    49.1
  -121.15    38.73    2028   212.5     0.0     0.0   212.5
  -121.15    38.73    2029   104.2     0.0     0.1   104.4
  -121.15    38.73    2030   231.6     0.0     0.5   232.1
  -121.15    38.73    2031   156.6     0.0     0.1   156.7
  -121.15    38.73    2032    70.2     0.0     0.0    70.2
  -121.15    38.73    2033    74.3     0.0     0.2    74.6
  -121.15    38.73    2034   267.0     0.0     0.2   267.2
  -121.15    38.73    2035   707.9     0.0     0.6   708.5
  -121.15    38.73    2036   368.9     0.0     2.4   371.3
