      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.15    38.73    1979  -0.226   0.023   0.393   0.000  -0.166   0.000    0.000     0.000    0.000    0.000   0.02397
  -121.15    38.73    1980  -0.513   0.051   0.287   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.17460
  -121.15    38.73    1981  -0.351   0.035   0.374   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05858
  -121.15    38.73    1982  -0.758   0.076   0.348   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.33421
  -121.15    38.73    1983  -0.803   0.080   0.337   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.38567
  -121.15    38.73    1984  -0.335   0.033   0.367   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.06438
  -121.15    38.73    1985  -0.201   0.020   0.423   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.24293
  -121.15    38.73    1986  -0.443   0.044   0.446   0.000  -0.196   0.000    0.000     0.000    0.000    0.000  -0.14857
  -121.15    38.73    1987  -0.150   0.016   0.425   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.29062
  -121.15    38.73    1988  -0.218   0.022   0.490   0.000  -0.198   0.000    0.000     0.000    0.000    0.000   0.09553
  -121.15    38.73    1989  -0.545   0.056   0.378   0.000  -0.002   0.000    0.000     0.000    0.000    0.000  -0.11265
  -121.15    38.73    1990  -0.504   0.051   0.412   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04182
  -121.15    38.73    1991  -0.403   0.040   0.455   0.000  -0.010   0.000    0.000     0.000    0.000    0.000   0.08245
  -121.15    38.73    1992  -0.201   0.020   0.447   0.000  -0.189   0.000    0.000     0.000    0.000    0.000   0.07771
  -121.15    38.73    1993  -0.443   0.045   0.374   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.02500
  -121.15    38.73    1994  -0.347   0.035   0.405   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.09293
  -121.15    38.73    1995  -0.490   0.049   0.404   0.000  -0.002   0.000    0.000     0.000    0.000    0.000  -0.03951
  -121.15    38.73    1996  -0.455   0.046   0.409   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00129
  -121.15    38.73    1997  -0.285   0.028   0.384   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.12512
  -121.15    38.73    1998  -0.732   0.073   0.365   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.29407
  -121.15    38.73    1999  -0.343   0.034   0.341   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03206
  -121.15    38.73    2000  -0.442   0.044   0.401   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.00038
  -121.15    38.73    2001  -0.347   0.035   0.362   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04908
  -121.15    38.73    2002  -0.378   0.038   0.357   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.01191
  -121.15    38.73    2003  -0.348   0.035   0.336   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02289
  -121.15    38.73    2004  -0.263   0.026   0.350   0.000  -0.014   0.000    0.000     0.000    0.000    0.000   0.09985
  -121.15    38.73    2005  -0.631   0.063   0.357   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.21115
  -121.15    38.73    2006  -0.369   0.037   0.327   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00442
  -121.15    38.73    2007  -0.280   0.028   0.320   0.000  -0.006   0.000    0.000     0.000    0.000    0.000   0.06156
  -121.15    38.73    2008  -0.061   0.007   0.293   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.23830
  -121.15    38.73    2009  -0.308   0.031   0.341   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.05814
  -121.15    38.73    2010  -0.570   0.057   0.312   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.20101
  -121.15    38.73    2011  -0.689   0.069   0.304   0.000  -0.008   0.000    0.000     0.000    0.000    0.000  -0.32357
  -121.15    38.73    2012  -0.268   0.027   0.309   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06874
  -121.15    38.73    2013  -0.285   0.029   0.320   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.06180
  -121.15    38.73    2014  -0.283   0.028   0.335   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.07803
  -121.15    38.73    2015  -0.277   0.028   0.383   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.12856
  -121.15    38.73    2016  -0.321   0.032   0.359   0.000  -0.213   0.000    0.000     0.000    0.000    0.000  -0.14299
  -121.15    38.73    2017  -0.700   0.072   0.299   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.32806
  -121.15    38.73    2018  -0.565   0.057   0.367   0.000  -0.002   0.000    0.000     0.000    0.000    0.000  -0.14385
  -121.15    38.73    2019  -0.693   0.069   0.358   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.26566
  -121.15    38.73    2020  -0.230   0.024   0.373   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.16668
  -121.15    38.73    2021  -0.165   0.017   0.349   0.000  -0.007   0.000    0.000     0.000    0.000    0.000   0.19431
  -121.11    38.85    1979  -0.423   0.044   0.501   0.000  -0.012   0.000    0.000     0.000    0.000    0.000   0.10980
  -121.11    38.85    1980  -0.618   0.062   0.472   0.000  -0.220   0.000    0.000     0.000    0.000    0.000  -0.30468
  -121.11    38.85    1981  -0.480   0.051   0.455   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.02483
  -121.11    38.85    1982  -0.852   0.085   0.566   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.20026
  -121.11    38.85    1983  -0.767   0.077   0.469   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.22267
  -121.11    38.85    1984  -0.624   0.063   0.493   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06806
  -121.11    38.85    1985  -0.519   0.052   0.466   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00162
  -121.11    38.85    1986  -0.440   0.044   0.619   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.22236
  -121.11    38.85    1987  -0.174   0.020   0.565   0.000  -0.212   0.000    0.000     0.000    0.000    0.000   0.19978
  -121.11    38.85    1988  -0.411   0.043   0.533   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.16476
  -121.11    38.85    1989  -0.744   0.075   0.588   0.000  -0.005   0.000    0.000     0.000    0.000    0.000  -0.08709
  -121.11    38.85    1990  -0.689   0.069   0.542   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.07838
  -121.11    38.85    1991  -0.571   0.057   0.515   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.00100
  -121.11    38.85    1992  -0.315   0.032   0.525   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.24094
  -121.11    38.85    1993  -0.597   0.060   0.518   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01857
  -121.11    38.85    1994  -0.355   0.036   0.465   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14514
  -121.11    38.85    1995  -0.487   0.049   0.593   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.15481
  -121.11    38.85    1996  -0.428   0.043   0.539   0.000  -0.186   0.000    0.000     0.000    0.000    0.000  -0.03156
  -121.11    38.85    1997  -0.447   0.046   0.438   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03668
  -121.11    38.85    1998  -0.745   0.075   0.502   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.16856
  -121.11    38.85    1999  -0.591   0.059   0.457   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.07475
  -121.11    38.85    2000  -0.620   0.062   0.513   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04480
  -121.11    38.85    2001  -0.472   0.047   0.545   0.363  -0.000   0.000    0.000     0.000    0.000    0.000   0.48339
  -121.11    38.85    2002  -0.464   0.047   0.493   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07600
  -121.11    38.85    2003  -0.464   0.046   0.510   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.09302
  -121.11    38.85    2004  -0.289   0.029   0.590   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.33048
  -121.11    38.85    2005  -0.494   0.049   0.579   0.000  -0.208   0.000    0.000     0.000    0.000    0.000  -0.07354
  -121.11    38.85    2006  -0.562   0.058   0.508   0.000  -0.044   0.000    0.000     0.000    0.000    0.000  -0.03848
  -121.11    38.85    2007  -0.631   0.063   0.526   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04158
  -121.11    38.85    2008  -0.508   0.051   0.490   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03226
  -121.11    38.85    2009  -0.532   0.054   0.549   0.000  -0.013   0.000    0.000     0.000    0.000    0.000   0.05771
  -121.11    38.85    2010  -0.744   0.074   0.523   0.000  -0.013   0.000    0.000     0.000    0.000    0.000  -0.15888
  -121.11    38.85    2011  -0.790   0.079   0.507   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.20352
  -121.11    38.85    2012  -0.382   0.040   0.519   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.17699
  -121.11    38.85    2013  -0.374   0.037   0.500   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.16326
  -121.11    38.85    2014  -0.445   0.045   0.513   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11269
  -121.11    38.85    2015  -0.429   0.043   0.476   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.09059
  -121.11    38.85    2016  -0.517   0.052   0.503   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03778
  -121.11    38.85    2017  -0.670   0.067   0.512   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.09135
  -121.11    38.85    2018  -0.588   0.059   0.477   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05273
  -121.11    38.85    2019  -0.659   0.066   0.486   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10743
  -121.11    38.85    2020  -0.368   0.037   0.496   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.16483
  -121.11    38.85    2021  -0.278   0.028   0.458   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.20796
  -121.11    38.81    1979  -0.411   0.041   0.474   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10463
  -121.11    38.81    1980  -0.533   0.053   0.381   0.000  -0.216   0.000    0.000     0.000    0.000    0.000  -0.31466
  -121.11    38.81    1981  -0.274   0.030   0.357   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11300
  -121.11    38.81    1982  -0.781   0.078   0.517   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.18601
  -121.11    38.81    1983  -0.744   0.074   0.404   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.26571
  -121.11    38.81    1984  -0.628   0.063   0.430   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13527
  -121.11    38.81    1985  -0.417   0.042   0.497   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.12208
  -121.11    38.81    1986  -0.482   0.048   0.461   0.000  -0.211   0.000    0.000     0.000    0.000    0.000  -0.18359
  -121.11    38.81    1987  -0.256   0.029   0.386   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.15904
  -121.11    38.81    1988  -0.424   0.043   0.499   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11852
  -121.11    38.81    1989  -0.736   0.074   0.505   0.000  -0.006   0.000    0.000     0.000    0.000    0.000  -0.16282
  -121.11    38.81    1990  -0.525   0.053   0.435   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.03731
  -121.11    38.81    1991  -0.465   0.047   0.584   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.16548
  -121.11    38.81    1992  -0.325   0.032   0.595   0.000  -0.193   0.000    0.000     0.000    0.000    0.000   0.10952
  -121.11    38.81    1993  -0.710   0.072   0.514   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.12380
  -121.11    38.81    1994  -0.429   0.043   0.508   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12155
  -121.11    38.81    1995  -0.720   0.072   0.616   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03187
  -121.11    38.81    1996  -0.599   0.060   0.563   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.02347
  -121.11    38.81    1997  -0.394   0.039   0.654   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.29967
  -121.11    38.81    1998  -0.522   0.052   0.522   0.000  -0.196   0.000    0.000     0.000    0.000    0.000  -0.14440
  -121.11    38.81    1999  -0.562   0.058   0.432   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.07200
  -121.11    38.81    2000  -0.629   0.063   0.560   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00654
  -121.11    38.81    2001  -0.572   0.058   0.548   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.03387
  -121.11    38.81    2002  -0.593   0.059   0.516   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01735
  -121.11    38.81    2003  -0.517   0.052   0.513   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04753
  -121.11    38.81    2004  -0.348   0.035   0.470   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.15666
  -121.11    38.81    2005  -0.619   0.062   0.527   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03022
  -121.11    38.81    2006  -0.572   0.057   0.502   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01295
  -121.11    38.81    2007  -0.444   0.045   0.436   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03705
  -121.11    38.81    2008  -0.156   0.018   0.394   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.25669
  -121.11    38.81    2009  -0.477   0.048   0.472   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04260
  -121.11    38.81    2010  -0.739   0.074   0.474   0.000  -0.011   0.000    0.000     0.000    0.000    0.000  -0.20250
  -121.11    38.81    2011  -0.721   0.072   0.471   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.17740
