      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.15    38.73    1979   0.018  -0.003  -0.037  -0.044  -0.048  -0.022   0.095   0.097   0.078   0.018   0.010   0.005
  -121.15    38.73    1980   0.015  -0.008  -0.056  -0.068  -0.088  -0.093  -0.036   0.061   0.051   0.005  -0.007  -0.003
  -121.15    38.73    1981   0.020  -0.001  -0.043  -0.062  -0.065   0.008   0.076   0.073   0.011  -0.009   0.009   0.006
  -121.15    38.73    1982   0.010  -0.013  -0.044  -0.082  -0.086  -0.089  -0.063  -0.027  -0.022   0.012  -0.004  -0.002
  -121.15    38.73    1983   0.006  -0.013  -0.044  -0.096  -0.107  -0.098  -0.088  -0.019  -0.010  -0.002   0.002   0.002
  -121.15    38.73    1984   0.007  -0.017  -0.051  -0.087  -0.086  -0.060   0.123   0.106   0.104  -0.004   0.002  -0.005
  -121.15    38.73    1985   0.021  -0.000  -0.028  -0.039  -0.056   0.051   0.140   0.117   0.020  -0.007   0.005  -0.000
  -121.15    38.73    1986   0.021   0.002  -0.026  -0.053  -0.055  -0.047   0.024   0.131  -0.009   0.009   0.003   0.002
  -121.15    38.73    1987   0.031   0.005  -0.022  -0.026  -0.028   0.046   0.078   0.081   0.070   0.016   0.013   0.011
  -121.15    38.73    1988   0.021   0.006  -0.008  -0.020  -0.035  -0.022   0.094   0.092   0.069   0.060   0.014  -0.000
  -121.15    38.73    1989   0.014  -0.003  -0.027  -0.049  -0.083  -0.079   0.053   0.030  -0.027   0.004   0.003  -0.001
  -121.15    38.73    1990   0.013  -0.016  -0.035  -0.034  -0.055  -0.058   0.017   0.048   0.074   0.001  -0.016  -0.031
  -121.15    38.73    1991   0.018   0.017  -0.027  -0.053  -0.059  -0.044   0.043   0.051   0.090   0.012   0.003   0.001
  -121.15    38.73    1992   0.018  -0.001  -0.026  -0.039  -0.039  -0.026   0.122   0.124   0.096   0.018  -0.001   0.001
  -121.15    38.73    1993   0.012  -0.007  -0.030  -0.066  -0.077  -0.071   0.020   0.090   0.067  -0.005  -0.003   0.002
  -121.15    38.73    1994   0.018  -0.008  -0.033  -0.052  -0.073  -0.042   0.092   0.084   0.049   0.049  -0.013  -0.013
  -121.15    38.73    1995   0.022  -0.009  -0.041  -0.069  -0.080  -0.063  -0.043   0.069   0.063   0.046   0.015   0.004
  -121.15    38.73    1996   0.016  -0.005  -0.041  -0.059  -0.078  -0.068  -0.012   0.126   0.084  -0.019   0.006   0.005
  -121.15    38.73    1997   0.012  -0.015  -0.035  -0.052  -0.077  -0.005   0.122   0.082   0.082  -0.013   0.007  -0.010
  -121.15    38.73    1998   0.019  -0.005  -0.048  -0.075  -0.093  -0.080  -0.050  -0.034   0.019  -0.021   0.003  -0.003
  -121.15    38.73    1999   0.011  -0.013  -0.050  -0.088  -0.113  -0.067   0.104   0.127   0.100   0.001  -0.006  -0.010
  -121.15    38.73    2000   0.025  -0.007  -0.054  -0.078  -0.087  -0.052   0.008   0.123   0.090  -0.000  -0.006  -0.002
  -121.15    38.73    2001   0.017  -0.020  -0.054  -0.091  -0.061  -0.058   0.121   0.124   0.043  -0.007   0.009  -0.009
  -121.15    38.73    2002   0.012  -0.020  -0.058  -0.083  -0.099  -0.076   0.012   0.128   0.090   0.061   0.004   0.007
  -121.15    38.73    2003   0.015  -0.016  -0.054  -0.087  -0.111  -0.083   0.110   0.083   0.092   0.044  -0.006   0.001
  -121.15    38.73    2004   0.015  -0.013  -0.047  -0.072  -0.104   0.011   0.123   0.124   0.054  -0.000  -0.001  -0.002
  -121.15    38.73    2005   0.015  -0.015  -0.050  -0.091  -0.090  -0.084  -0.045   0.044   0.036  -0.003  -0.001   0.010
  -121.15    38.73    2006   0.012  -0.023  -0.054  -0.086  -0.101  -0.066   0.005   0.139   0.079   0.059  -0.007   0.002
  -121.15    38.73    2007   0.021  -0.014  -0.058  -0.090  -0.084  -0.026   0.133   0.127   0.035  -0.006  -0.003   0.006
  -121.15    38.73    2008   0.019  -0.020  -0.067  -0.098  -0.081   0.120   0.126   0.125   0.087   0.006   0.007   0.008
  -121.15    38.73    2009   0.028  -0.012  -0.067  -0.088  -0.070  -0.023   0.104   0.102   0.044   0.004   0.003   0.007
  -121.15    38.73    2010   0.014  -0.017  -0.062  -0.094  -0.113  -0.091  -0.071   0.098   0.063   0.013   0.001   0.002
  -121.15    38.73    2011   0.006  -0.023  -0.052  -0.096  -0.124  -0.103  -0.103   0.048   0.068   0.002  -0.003  -0.005
  -121.15    38.73    2012   0.014  -0.017  -0.062  -0.106  -0.110  -0.035   0.126   0.130   0.089  -0.000   0.009   0.004
  -121.15    38.73    2013   0.014  -0.020  -0.052  -0.084  -0.100  -0.008   0.140   0.121   0.017   0.015  -0.003  -0.004
  -121.15    38.73    2014   0.015  -0.012  -0.066  -0.093  -0.084   0.036   0.120   0.110   0.011   0.002   0.009   0.005
  -121.15    38.73    2015   0.022  -0.005  -0.030  -0.062  -0.069  -0.006   0.086   0.091   0.057   0.018  -0.002   0.006
  -121.15    38.73    2016   0.015  -0.012  -0.041  -0.065  -0.066  -0.057   0.079   0.099   0.064   0.017   0.003   0.003
