      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.076   0.011   0.074   0.005   0.106   0.183   2.326   2.781
  -121.15    38.73    1951   0.114   0.007   0.012   0.005   0.100   0.167   2.326   2.731
  -121.15    38.73    1952   0.114   0.008   0.016   0.005   0.100   0.145   2.252   2.640
  -121.15    38.73    1953   0.119   0.004   0.007   0.008   0.106   0.131   2.198   2.573
  -121.15    38.73    1954   0.150   0.004   0.006   0.006   0.107   0.113   2.127   2.513
  -121.15    38.73    1955   0.141   0.004   0.007   0.008   0.119   0.099   2.060   2.438
  -121.15    38.73    1956   0.154   0.003   0.006   0.005   0.118   0.085   1.988   2.358
  -121.15    38.73    1957   0.152   0.196   0.456   0.007   0.125   0.073   1.922   2.930
  -121.15    38.73    1958   0.106   0.005   0.006   0.007   0.127   0.234   2.297   2.782
  -121.15    38.73    1959   0.106   0.005   0.007   0.005   0.117   0.184   2.206   2.630
  -121.15    38.73    1960   0.148   0.004   0.008   0.005   0.113   0.161   2.138   2.577
  -121.15    38.73    1961   0.129   0.007   0.015   0.007   0.119   0.139   2.071   2.486
  -121.15    38.73    1962   0.124   0.007   0.014   0.008   0.120   0.124   2.018   2.415
  -121.15    38.73    1963   0.138   0.007   0.012   0.009   0.124   0.112   1.969   2.370
  -121.15    38.73    1964   0.130   0.011   0.025   0.009   0.131   0.102   1.921   2.330
  -121.15    38.73    1965   0.104   0.017   0.051   0.007   0.128   0.096   1.880   2.285
  -121.15    38.73    1966   0.089   0.004   0.010   0.005   0.118   0.096   1.861   2.183
  -121.15    38.73    1967   0.094   0.024   0.194   0.005   0.110   0.084   1.808   2.319
  -121.15    38.73    1968   0.089   0.016   0.038   0.006   0.106   0.093   1.939   2.287
  -121.15    38.73    1969   0.096   0.005   0.010   0.005   0.101   0.093   1.909   2.218
  -121.15    38.73    1970   0.099   0.005   0.010   0.006   0.101   0.083   1.857   2.161
  -121.15    38.73    1971   0.127   0.006   0.009   0.005   0.096   0.074   1.799   2.115
  -121.15    38.73    1972   0.124   0.006   0.011   0.007   0.104   0.068   1.747   2.066
  -121.15    38.73    1973   0.148   0.011   0.016   0.004   0.104   0.061   1.687   2.031
  -121.15    38.73    1974   0.156   0.007   0.012   0.006   0.116   0.060   1.640   1.995
  -121.15    38.73    1975   0.152   0.010   0.079   0.007   0.122   0.056   1.594   2.020
  -121.15    38.73    1976   0.150   0.007   0.013   0.005   0.121   0.054   1.605   1.954
  -121.15    38.73    1977   0.148   0.005   0.014   0.008   0.129   0.052   1.564   1.921
  -121.15    38.73    1978   0.142   0.010   0.022   0.010   0.134   0.049   1.528   1.895
  -121.15    38.73    1979   0.125   0.012   0.031   0.010   0.136   0.051   1.501   1.866
  -121.15    38.73    1980   0.113   0.023   0.113   0.006   0.128   0.053   1.478   1.916
  -121.15    38.73    1981   0.100   0.005   0.014   0.005   0.119   0.065   1.534   1.842
  -121.15    38.73    1982   0.123   0.009   0.022   0.003   0.108   0.057   1.485   1.807
  -121.15    38.73    1983   0.137   0.013   0.031   0.008   0.111   0.057   1.459   1.816
  -121.15    38.73    1984   0.111   0.005   0.125   0.007   0.111   0.059   1.438   1.856
  -121.15    38.73    1985   0.105   0.011   0.021   0.006   0.108   0.054   1.512   1.817
  -121.15    38.73    1986   0.115   0.008   0.023   0.004   0.101   0.055   1.474   1.780
  -121.15    38.73    1987   0.117   0.010   0.030   0.006   0.100   0.053   1.446   1.762
  -121.15    38.73    1988   0.112   0.009   0.028   0.008   0.102   0.054   1.430   1.744
  -121.15    38.73    1989   0.103   0.017   0.345   0.007   0.101   0.054   1.410   2.039
  -121.15    38.73    1990   0.099   0.019   0.324   0.005   0.097   0.061   1.699   2.304
  -121.15    38.73    1991   0.094   0.022   0.331   0.004   0.091   0.067   1.951   2.560
  -121.15    38.73    1992   0.102   0.009   0.027   0.004   0.088   0.076   2.205   2.511
  -121.15    38.73    1993   0.115   0.008   0.018   0.006   0.089   0.073   2.160   2.468
  -121.15    38.73    1994   0.131   0.026   0.059   0.007   0.091   0.068   2.106   2.488
  -121.15    38.73    1995   0.111   0.006   0.012   0.007   0.096   0.081   2.092   2.404
  -121.15    38.73    1996   0.103   0.006   0.013   0.004   0.091   0.071   2.022   2.310
  -121.15    38.73    1997   0.105   0.012   0.032   0.005   0.089   0.065   1.962   2.268
  -121.15    38.73    1998   0.094   0.029   0.083   0.004   0.085   0.064   1.916   2.276
  -121.15    38.73    1999   0.094   0.029   0.098   0.003   0.080   0.079   1.922   2.306
  -121.15    38.73    2000   0.094   0.022   0.309   0.005   0.080   0.093   1.953   2.556
  -121.15    38.73    2001   0.099   0.017   0.040   0.004   0.077   0.096   2.180   2.514
  -121.15    38.73    2002   0.115   0.004   0.006   0.003   0.076   0.094   2.131   2.429
  -121.15    38.73    2003   0.118   0.007   0.011   0.005   0.080   0.081   2.059   2.361
  -121.15    38.73    2004   0.102   0.023   0.041   0.005   0.082   0.073   1.994   2.322
  -121.15    38.73    2005   0.133   0.245   0.502   0.004   0.079   0.081   1.955   2.997
  -121.15    38.73    2006   0.095   0.037   0.070   0.004   0.085   0.280   2.365   2.937
  -121.15    38.73    2007   0.103   0.025   0.053   0.004   0.081   0.249   2.330   2.845
  -121.15    38.73    2008   0.144   0.014   0.029   0.005   0.081   0.233   2.301   2.807
  -121.15    38.73    2009   0.128   0.004   0.004   0.004   0.085   0.199   2.229   2.653
  -121.15    38.73    2010   0.147   0.040   0.112   0.004   0.090   0.165   2.142   2.700
  -121.15    38.73    2011   0.142   0.027   0.059   0.004   0.094   0.169   2.160   2.655
  -121.15    38.73    2012   0.160   0.275   0.814   0.005   0.099   0.163   2.137   3.654
  -121.15    38.73    2013   0.097   0.015   0.033   0.005   0.104   0.374   2.843   3.471
  -121.15    38.73    2014   0.087   0.019   0.091   0.004   0.094   0.302   2.746   3.342
  -121.15    38.73    2015   0.138   0.007   0.018   0.002   0.083   0.263   2.721   3.232
  -121.15    38.73    2016   0.126   0.012   0.027   0.004   0.087   0.218   2.623   3.097
  -121.15    38.73    2017   0.133   0.001   0.000   0.005   0.091   0.192   2.551   2.974
  -121.15    38.73    2018   0.134   0.002   0.002   0.006   0.094   0.160   2.457   2.854
  -121.15    38.73    2019   0.116   0.009   0.019   0.006   0.097   0.135   2.369   2.752
  -121.15    38.73    2020   0.114   0.027   0.100   0.006   0.095   0.121   2.302   2.765
  -121.15    38.73    2021   0.098   0.005   0.006   0.004   0.091   0.123   2.310   2.637
  -121.15    38.73    2022   0.116   0.196   0.904   0.004   0.085   0.105   2.226   3.636
  -121.15    38.73    2023   0.078   0.011   0.027   0.005   0.086   0.262   3.028   3.497
  -121.15    38.73    2024   0.068   0.005   0.050   0.002   0.074   0.209   2.906   3.313
  -121.15    38.73    2025   0.133   0.003   0.002   0.002   0.066   0.176   2.839   3.221
  -121.15    38.73    2026   0.135   0.006   0.021   0.004   0.075   0.144   2.723   3.107
  -121.15    38.73    2027   0.133   0.004   0.008   0.003   0.082   0.120   2.626   2.976
  -121.15    38.73    2028   0.118   0.001   0.003   0.004   0.086   0.101   2.527   2.839
  -121.15    38.73    2029   0.151   0.225   0.949   0.004   0.086   0.083   2.432   3.931
  -121.15    38.73    2030   0.093   0.017   0.043   0.004   0.091   0.262   3.250   3.761
  -121.15    38.73    2031   0.088   0.003   0.057   0.002   0.080   0.210   3.126   3.565
  -121.15    38.73    2032   0.154   0.006   0.005   0.003   0.076   0.177   3.064   3.484
  -121.15    38.73    2033   0.133   0.010   0.012   0.005   0.086   0.148   2.942   3.336
  -121.15    38.73    2034   0.138   0.008   0.017   0.002   0.083   0.125   2.806   3.180
  -121.15    38.73    2035   0.155   0.008   0.018   0.005   0.091   0.110   2.712   3.098
  -121.15    38.73    2036   0.153   0.012   0.135   0.002   0.090   0.092   2.591   3.075
  -121.15    38.73    2037   0.148   0.040   0.105   0.003   0.094   0.084   2.607   3.080
  -121.15    38.73    2038   0.119   0.002   0.001   0.003   0.092   0.101   2.587   2.904
  -121.15    38.73    2039   0.128   0.026   0.166   0.003   0.085   0.082   2.473   2.963
  -121.15    38.73    2040   0.116   0.007   0.005   0.002   0.079   0.086   2.510   2.806
  -121.15    38.73    2041   0.136   0.048   0.075   0.002   0.075   0.075   2.399   2.810
  -121.15    38.73    2042   0.174   0.335   0.189   0.003   0.076   0.101   2.362   3.240
  -121.15    38.73    2043   0.146   0.372   0.415   0.002   0.082   0.363   2.424   3.804
  -121.15    38.73    2044   0.080   0.005   0.006   0.002   0.080   0.581   2.690   3.443
  -121.15    38.73    2045   0.135   0.007   0.008   0.002   0.070   0.445   2.564   3.230
  -121.15    38.73    2046   0.174   0.011   0.019   0.003   0.075   0.364   2.459   3.105
  -121.15    38.73    2047   0.174   0.014   0.022   0.003   0.090   0.298   2.366   2.967
  -121.15    38.73    2048   0.192   0.016   0.023   0.003   0.099   0.245   2.268   2.847
  -121.15    38.73    2049   0.247   0.349   0.107   0.003   0.110   0.207   2.182   3.204
  -121.15    38.73    2050   0.134   0.013   0.019   0.002   0.126   0.449   2.163   2.905
  -121.15    38.73    2051   0.124   0.040   0.096   0.002   0.107   0.332   2.058   2.760
  -121.15    38.73    2052   0.162   0.024   0.045   0.002   0.096   0.297   2.052   2.678
  -121.15    38.73    2053   0.142   0.016   0.033   0.006   0.103   0.267   2.016   2.582
  -121.15    38.73    2054   0.143   0.009   0.013   0.002   0.095   0.219   1.946   2.427
  -121.15    38.73    2055   0.149   0.018   0.032   0.002   0.091   0.174   1.856   2.321
  -121.15    38.73    2056   0.224   0.607   0.652   0.002   0.089   0.148   1.785   3.506
  -121.15    38.73    2057   0.088   0.040   0.069   0.002   0.109   0.625   2.319   3.252
  -121.15    38.73    2058   0.087   0.000   0.002   0.001   0.082   0.474   2.243   2.888
  -121.15    38.73    2059   0.199   0.015   0.021   0.001   0.072   0.379   2.141   2.829
  -121.15    38.73    2060   0.186   0.010   0.033   0.003   0.091   0.306   2.053   2.682
  -121.15    38.73    2061   0.191   0.015   0.040   0.002   0.098   0.239   1.975   2.559
  -121.15    38.73    2062   0.205   0.019   0.033   0.002   0.104   0.194   1.899   2.455
  -121.15    38.73    2063   0.203   0.018   0.028   0.003   0.117   0.168   1.838   2.376
  -121.15    38.73    2064   0.188   0.010   0.071   0.001   0.115   0.140   1.757   2.282
  -121.15    38.73    2065   0.154   0.008   0.009   0.003   0.116   0.116   1.735   2.140
  -121.15    38.73    2066   0.150   0.044   0.175   0.002   0.103   0.095   1.652   2.222
  -121.15    38.73    2067   0.147   0.006   0.010   0.003   0.099   0.113   1.743   2.121
  -121.15    38.73    2068   0.119   0.021   0.029   0.001   0.085   0.088   1.646   1.987
  -121.15    38.73    2069   0.129   0.014   0.016   0.001   0.073   0.083   1.580   1.896
  -121.15    38.73    2070   0.137   0.030   0.047   0.001   0.069   0.075   1.509   1.868
  -121.15    38.73    2071   0.131   0.019   0.028   0.003   0.072   0.086   1.485   1.824
  -121.15    38.73    2072   0.110   0.026   0.106   0.001   0.066   0.079   1.425   1.813
  -121.15    38.73    2073   0.106   0.016   0.026   0.000   0.053   0.076   1.424   1.701
  -121.15    38.73    2074   0.127   0.024   0.037   0.000   0.047   0.067   1.353   1.654
  -121.15    38.73    2075   0.143   0.025   0.069   0.001   0.050   0.070   1.312   1.670
  -121.15    38.73    2076   0.142   0.038   0.057   0.001   0.053   0.070   1.297   1.659
  -121.15    38.73    2077   0.144   0.030   0.060   0.002   0.059   0.086   1.285   1.666
  -121.15    38.73    2078   0.164   0.362   0.701   0.001   0.060   0.090   1.267   2.644
  -121.15    38.73    2079   0.109   0.028   0.072   0.000   0.059   0.353   1.845   2.467
  -121.15    38.73    2080   0.112   0.031   0.049   0.000   0.051   0.264   1.783   2.290
  -121.15    38.73    2081   0.181   0.047   0.047   0.000   0.046   0.225   1.719   2.265
  -121.15    38.73    2082   0.183   0.022   0.025   0.001   0.063   0.207   1.663   2.163
  -121.15    38.73    2083   0.203   0.024   0.073   0.002   0.078   0.177   1.598   2.154
  -121.15    38.73    2084   0.180   0.020   0.040   0.001   0.089   0.151   1.575   2.057
  -121.15    38.73    2085   0.158   0.024   0.033   0.000   0.081   0.119   1.497   1.912
  -121.15    38.73    2086   0.151   0.044   0.106   0.000   0.070   0.099   1.417   1.888
  -121.15    38.73    2087   0.143   0.027   0.044   0.000   0.061   0.101   1.410   1.786
  -121.15    38.73    2088   0.147   0.026   0.054   0.000   0.057   0.092   1.354   1.731
  -121.15    38.73    2089   0.146   0.021   0.070   0.000   0.053   0.084   1.306   1.681
  -121.15    38.73    2090   0.143   0.016   0.022   0.002   0.060   0.082   1.304   1.628
  -121.15    38.73    2091   0.128   0.021   0.034   0.000   0.051   0.067   1.221   1.522
  -121.15    38.73    2092   0.129   0.036   0.067   0.000   0.045   0.061   1.157   1.495
  -121.15    38.73    2093   0.130   0.016   0.027   0.000   0.043   0.070   1.134   1.419
  -121.15    38.73    2094   0.135   0.033   0.069   0.000   0.039   0.056   1.064   1.397
  -121.15    38.73    2095   0.132   0.040   0.069   0.000   0.041   0.064   1.049   1.396
  -121.15    38.73    2096   0.137   0.013   0.016   0.000   0.038   0.073   1.029   1.306
