      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.042   0.003   0.009   0.003   0.044   0.031   0.826   0.959
  -121.15    38.73    1951   0.041   0.004   0.013   0.003   0.042   0.029   0.808   0.941
  -121.15    38.73    1952   0.050   0.003   0.022   0.002   0.040   0.028   0.791   0.935
  -121.15    38.73    1953   0.051   0.002   0.003   0.003   0.041   0.027   0.787   0.914
  -121.15    38.73    1954   0.059   0.004   0.010   0.002   0.041   0.024   0.761   0.901
  -121.15    38.73    1955   0.062   0.003   0.010   0.004   0.044   0.023   0.747   0.892
  -121.15    38.73    1956   0.051   0.003   0.077   0.002   0.044   0.022   0.728   0.927
  -121.15    38.73    1957   0.048   0.001   0.004   0.002   0.036   0.056   0.819   0.966
  -121.15    38.73    1958   0.050   0.006   0.012   0.003   0.037   0.048   0.795   0.949
  -121.15    38.73    1959   0.055   0.003   0.006   0.002   0.037   0.045   0.777   0.925
  -121.15    38.73    1960   0.054   0.001   0.021   0.003   0.040   0.040   0.757   0.916
  -121.15    38.73    1961   0.055   0.002   0.006   0.003   0.040   0.035   0.751   0.892
  -121.15    38.73    1962   0.044   0.003   0.010   0.004   0.042   0.031   0.733   0.868
  -121.15    38.73    1963   0.048   0.003   0.007   0.004   0.042   0.030   0.721   0.855
  -121.15    38.73    1964   0.054   0.004   0.015   0.004   0.042   0.029   0.705   0.854
  -121.15    38.73    1965   0.055   0.083   0.276   0.003   0.043   0.028   0.696   1.184
  -121.15    38.73    1966   0.031   0.006   0.019   0.002   0.042   0.096   0.939   1.136
  -121.15    38.73    1967   0.036   0.003   0.023   0.002   0.037   0.081   0.920   1.102
  -121.15    38.73    1968   0.063   0.009   0.024   0.002   0.036   0.072   0.914   1.121
  -121.15    38.73    1969   0.052   0.004   0.006   0.003   0.041   0.068   0.906   1.081
  -121.15    38.73    1970   0.061   0.001   0.002   0.003   0.043   0.062   0.883   1.055
  -121.15    38.73    1971   0.066   0.000   0.000   0.003   0.044   0.052   0.853   1.018
  -121.15    38.73    1972   0.060   0.001   0.002   0.004   0.045   0.074   0.925   1.111
  -121.15    38.73    1973   0.067   0.096   0.161   0.002   0.037   0.080   0.875   1.319
  -121.15    38.73    1974   0.051   0.012   0.049   0.002   0.042   0.149   0.998   1.303
  -121.15    38.73    1975   0.071   0.024   0.024   0.003   0.041   0.128   1.003   1.293
  -121.15    38.73    1976   0.043   0.005   0.013   0.002   0.042   0.122   0.982   1.210
  -121.15    38.73    1977   0.047   0.000   0.000   0.003   0.040   0.101   0.957   1.148
  -121.15    38.73    1978   0.072   0.002   0.004   0.003   0.041   0.087   0.928   1.137
  -121.15    38.73    1979   0.056   0.010   0.029   0.005   0.047   0.077   0.902   1.126
