      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.733   1.042   3.725     6.500
  -121.15    38.73    1951   1.824   1.012   3.722     6.558
  -121.15    38.73    1952   1.855   1.013   3.711     6.580
  -121.15    38.73    1953   1.979   0.996   3.710     6.686
  -121.15    38.73    1954   2.091   0.982   3.706     6.779
  -121.15    38.73    1955   2.058   0.978   3.707     6.743
  -121.15    38.73    1956   2.042   1.010   3.703     6.755
  -121.15    38.73    1957   1.931   1.036   3.700     6.667
  -121.15    38.73    1958   2.009   1.025   3.695     6.729
  -121.15    38.73    1959   2.029   0.998   3.689     6.716
  -121.15    38.73    1960   2.075   0.996   3.687     6.758
  -121.15    38.73    1961   2.013   0.973   3.685     6.671
  -121.15    38.73    1962   2.085   0.945   3.687     6.717
  -121.15    38.73    1963   2.194   0.929   3.686     6.808
  -121.15    38.73    1964   2.121   0.929   3.684     6.733
  -121.15    38.73    1965   1.705   1.279   3.680     6.664
  -121.15    38.73    1966   1.733   1.198   3.683     6.613
  -121.15    38.73    1967   1.815   1.164   3.674     6.653
  -121.15    38.73    1968   1.800   1.218   3.671     6.690
  -121.15    38.73    1969   1.927   1.164   3.682     6.773
  -121.15    38.73    1970   2.053   1.144   3.685     6.883
  -121.15    38.73    1971   2.123   1.104   3.688     6.915
  -121.15    38.73    1972   2.039   1.195   3.694     6.928
  -121.15    38.73    1973   1.790   1.421   3.692     6.903
  -121.15    38.73    1974   1.798   1.375   3.703     6.875
  -121.15    38.73    1975   1.777   1.409   3.702     6.888
  -121.15    38.73    1976   1.832   1.282   3.714     6.829
  -121.15    38.73    1977   1.994   1.216   3.712     6.922
  -121.15    38.73    1978   1.983   1.243   3.712     6.937
  -121.15    38.73    1979   1.951   1.214   3.727     6.892
  -121.15    38.73    1980   1.903   1.190   3.726     6.820
  -121.15    38.73    1981   2.058   1.128   3.723     6.910
  -121.15    38.73    1982   2.227   1.093   3.713     7.032
  -121.15    38.73    1983   2.168   1.133   3.712     7.013
  -121.15    38.73    1984   2.129   1.131   3.715     6.975
  -121.15    38.73    1985   2.166   1.130   3.718     7.013
  -121.15    38.73    1986   2.226   1.098   3.712     7.037
  -121.15    38.73    1987   2.291   1.097   3.713     7.101
  -121.15    38.73    1988   2.224   1.126   3.715     7.064
  -121.15    38.73    1989   2.234   1.093   3.719     7.046
  -121.15    38.73    1990   2.186   1.077   3.718     6.981
  -121.15    38.73    1991   2.250   1.091   3.714     7.054
  -121.15    38.73    1992   2.378   1.074   3.709     7.161
  -121.15    38.73    1993   2.526   1.072   3.708     7.306
  -121.15    38.73    1994   2.518   1.061   3.710     7.290
  -121.15    38.73    1995   2.475   1.029   3.712     7.215
  -121.15    38.73    1996   2.508   0.996   3.708     7.213
