      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.076   0.011   0.075   0.005   0.106   0.183   2.326   2.782
  -121.15    38.73    1951   0.114   0.007   0.012   0.005   0.100   0.167   2.326   2.731
  -121.15    38.73    1952   0.114   0.008   0.016   0.005   0.100   0.145   2.252   2.640
  -121.15    38.73    1953   0.119   0.004   0.007   0.008   0.105   0.131   2.198   2.572
  -121.15    38.73    1954   0.149   0.004   0.006   0.006   0.107   0.113   2.127   2.512
  -121.15    38.73    1955   0.140   0.004   0.007   0.008   0.119   0.099   2.061   2.437
  -121.15    38.73    1956   0.153   0.003   0.007   0.005   0.117   0.085   1.988   2.359
  -121.15    38.73    1957   0.131   0.008   0.016   0.007   0.125   0.073   1.923   2.283
  -121.15    38.73    1958   0.133   0.008   0.014   0.007   0.122   0.069   1.872   2.223
  -121.15    38.73    1959   0.135   0.008   0.018   0.006   0.122   0.064   1.817   2.170
  -121.15    38.73    1960   0.124   0.005   0.012   0.006   0.122   0.061   1.770   2.101
  -121.15    38.73    1961   0.122   0.018   0.043   0.006   0.120   0.056   1.720   2.085
  -121.15    38.73    1962   0.104   0.008   0.022   0.008   0.119   0.064   1.706   2.030
  -121.15    38.73    1963   0.115   0.006   0.014   0.008   0.116   0.062   1.675   1.996
  -121.15    38.73    1964   0.117   0.014   0.040   0.008   0.118   0.059   1.637   1.994
  -121.15    38.73    1965   0.096   0.017   0.056   0.007   0.115   0.062   1.621   1.974
  -121.15    38.73    1966   0.090   0.009   0.024   0.004   0.105   0.067   1.616   1.916
  -121.15    38.73    1967   0.091   0.011   0.028   0.005   0.100   0.065   1.584   1.884
  -121.15    38.73    1968   0.092   0.024   0.194   0.005   0.097   0.065   1.560   2.038
  -121.15    38.73    1969   0.098   0.011   0.021   0.005   0.095   0.076   1.696   2.002
  -121.15    38.73    1970   0.100   0.005   0.010   0.006   0.096   0.075   1.662   1.954
  -121.15    38.73    1971   0.128   0.009   0.015   0.004   0.093   0.066   1.611   1.926
  -121.15    38.73    1972   0.122   0.008   0.016   0.007   0.102   0.064   1.572   1.891
  -121.15    38.73    1973   0.142   0.006   0.010   0.004   0.102   0.060   1.525   1.849
  -121.15    38.73    1974   0.147   0.014   0.022   0.006   0.112   0.055   1.479   1.834
  -121.15    38.73    1975   0.144   0.008   0.015   0.007   0.116   0.058   1.448   1.797
  -121.15    38.73    1976   0.146   0.007   0.070   0.004   0.114   0.054   1.401   1.797
  -121.15    38.73    1977   0.149   0.011   0.021   0.008   0.124   0.052   1.424   1.789
  -121.15    38.73    1978   0.143   0.020   0.039   0.010   0.130   0.055   1.400   1.797
  -121.15    38.73    1979   0.124   0.011   0.035   0.010   0.133   0.065   1.394   1.772
  -121.15    38.73    1980   0.116   0.014   0.041   0.006   0.125   0.064   1.378   1.745
  -121.15    38.73    1981   0.108   0.009   0.024   0.005   0.118   0.066   1.366   1.696
  -121.15    38.73    1982   0.125   0.017   0.042   0.004   0.111   0.062   1.337   1.699
  -121.15    38.73    1983   0.127   0.011   0.038   0.008   0.114   0.068   1.336   1.702
  -121.15    38.73    1984   0.113   0.007   0.229   0.007   0.112   0.067   1.327   1.861
  -121.15    38.73    1985   0.105   0.003   0.010   0.006   0.109   0.063   1.505   1.801
  -121.15    38.73    1986   0.124   0.012   0.034   0.004   0.103   0.055   1.458   1.791
  -121.15    38.73    1987   0.122   0.025   0.057   0.006   0.104   0.057   1.442   1.813
  -121.15    38.73    1988   0.114   0.012   0.042   0.008   0.107   0.071   1.452   1.805
  -121.15    38.73    1989   0.123   0.203   0.559   0.007   0.105   0.071   1.446   2.516
  -121.15    38.73    1990   0.081   0.017   0.307   0.005   0.104   0.239   1.938   2.691
  -121.15    38.73    1991   0.078   0.015   0.327   0.003   0.092   0.202   2.153   2.870
  -121.15    38.73    1992   0.134   0.015   0.037   0.004   0.087   0.185   2.402   2.865
  -121.15    38.73    1993   0.124   0.045   0.103   0.009   0.097   0.172   2.362   2.913
  -121.15    38.73    1994   0.141   0.018   0.043   0.007   0.102   0.187   2.385   2.883
  -121.15    38.73    1995   0.127   0.015   0.037   0.007   0.108   0.172   2.345   2.812
  -121.15    38.73    1996   0.119   0.009   0.019   0.005   0.106   0.156   2.293   2.708
  -121.15    38.73    1997   0.108   0.018   0.040   0.006   0.106   0.139   2.231   2.648
  -121.15    38.73    1998   0.098   0.027   0.077   0.004   0.100   0.129   2.183   2.617
  -121.15    38.73    1999   0.097   0.016   0.035   0.003   0.093   0.130   2.172   2.547
  -121.15    38.73    2000   0.099   0.020   0.058   0.005   0.090   0.124   2.131   2.528
  -121.15    38.73    2001   0.103   0.017   0.032   0.004   0.087   0.120   2.107   2.471
  -121.15    38.73    2002   0.118   0.028   0.079   0.003   0.083   0.112   2.049   2.472
  -121.15    38.73    2003   0.118   0.010   0.038   0.005   0.086   0.118   2.052   2.428
  -121.15    38.73    2004   0.104   0.015   0.038   0.005   0.088   0.108   2.014   2.371
  -121.15    38.73    2005   0.115   0.009   0.018   0.004   0.083   0.101   1.970   2.300
  -121.15    38.73    2006   0.129   0.034   0.071   0.004   0.085   0.092   1.912   2.328
  -121.15    38.73    2007   0.141   0.012   0.031   0.006   0.089   0.107   1.912   2.298
  -121.15    38.73    2008   0.124   0.018   0.078   0.006   0.094   0.100   1.873   2.293
  -121.15    38.73    2009   0.113   0.014   0.032   0.003   0.090   0.096   1.867   2.216
  -121.15    38.73    2010   0.124   0.006   0.009   0.004   0.087   0.091   1.824   2.145
  -121.15    38.73    2011   0.116   0.048   0.179   0.003   0.084   0.079   1.754   2.262
  -121.15    38.73    2012   0.123   0.007   0.018   0.004   0.083   0.107   1.861   2.204
  -121.15    38.73    2013   0.110   0.022   0.059   0.004   0.084   0.094   1.805   2.179
  -121.15    38.73    2014   0.110   0.035   0.088   0.004   0.083   0.097   1.793   2.210
  -121.15    38.73    2015   0.104   0.011   0.026   0.003   0.078   0.109   1.802   2.133
  -121.15    38.73    2016   0.110   0.022   0.075   0.003   0.075   0.098   1.752   2.135
  -121.15    38.73    2017   0.114   0.012   0.027   0.005   0.076   0.101   1.759   2.095
  -121.15    38.73    2018   0.110   0.010   0.034   0.005   0.077   0.094   1.719   2.050
  -121.15    38.73    2019   0.103   0.005   0.010   0.005   0.078   0.088   1.689   1.978
  -121.15    38.73    2020   0.115   0.010   0.027   0.005   0.077   0.077   1.637   1.948
  -121.15    38.73    2021   0.108   0.019   0.071   0.004   0.077   0.072   1.601   1.952
  -121.15    38.73    2022   0.101   0.034   0.151   0.004   0.076   0.075   1.607   2.048
  -121.15    38.73    2023   0.110   0.006   0.022   0.005   0.076   0.094   1.700   2.012
  -121.15    38.73    2024   0.093   0.007   0.175   0.003   0.073   0.081   1.648   2.080
  -121.15    38.73    2025   0.101   0.002   0.003   0.003   0.070   0.071   1.752   2.002
  -121.15    38.73    2026   0.115   0.002   0.003   0.003   0.069   0.060   1.684   1.937
  -121.15    38.73    2027   0.112   0.005   0.022   0.003   0.070   0.050   1.617   1.880
  -121.15    38.73    2028   0.086   0.004   0.007   0.004   0.070   0.046   1.573   1.789
  -121.15    38.73    2029   0.115   0.052   0.213   0.004   0.067   0.041   1.520   2.011
  -121.15    38.73    2030   0.114   0.004   0.008   0.004   0.069   0.080   1.666   1.946
  -121.15    38.73    2031   0.110   0.006   0.021   0.003   0.069   0.068   1.601   1.877
  -121.15    38.73    2032   0.129   0.027   0.086   0.005   0.071   0.062   1.561   1.940
  -121.15    38.73    2033   0.100   0.004   0.009   0.004   0.075   0.074   1.582   1.848
  -121.15    38.73    2034   0.087   0.010   0.051   0.002   0.068   0.061   1.516   1.794
  -121.15    38.73    2035   0.132   0.022   0.098   0.004   0.065   0.059   1.508   1.888
  -121.15    38.73    2036   0.129   0.036   0.094   0.002   0.065   0.065   1.527   1.918
  -121.15    38.73    2037   0.146   0.013   0.059   0.003   0.067   0.083   1.550   1.922
  -121.15    38.73    2038   0.114   0.042   0.133   0.003   0.072   0.077   1.537   1.978
  -121.15    38.73    2039   0.122   0.007   0.033   0.003   0.070   0.099   1.601   1.935
  -121.15    38.73    2040   0.106   0.011   0.032   0.002   0.068   0.083   1.553   1.855
  -121.15    38.73    2041   0.127   0.047   0.130   0.003   0.066   0.076   1.517   1.966
  -121.15    38.73    2042   0.133   0.033   0.082   0.004   0.069   0.103   1.580   2.003
  -121.15    38.73    2043   0.146   0.056   0.151   0.003   0.069   0.109   1.585   2.119
  -121.15    38.73    2044   0.121   0.022   0.071   0.003   0.072   0.134   1.655   2.077
  -121.15    38.73    2045   0.116   0.000   0.000   0.003   0.073   0.128   1.654   1.975
  -121.15    38.73    2046   0.125   0.028   0.107   0.003   0.071   0.101   1.579   2.013
