      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.859   1.458   3.893     6.211
  -121.15    38.73    1951   0.918   1.442   3.886     6.247
  -121.15    38.73    1952   0.988   1.387   3.881     6.257
  -121.15    38.73    1953   1.127   1.355   3.878     6.359
  -121.15    38.73    1954   1.261   1.325   3.871     6.456
  -121.15    38.73    1955   1.295   1.295   3.868     6.458
  -121.15    38.73    1956   1.337   1.267   3.862     6.466
  -121.15    38.73    1957   1.322   1.222   3.863     6.407
  -121.15    38.73    1958   1.422   1.196   3.860     6.477
  -121.15    38.73    1959   1.410   1.164   3.856     6.430
  -121.15    38.73    1960   1.471   1.131   3.852     6.454
  -121.15    38.73    1961   1.389   1.122   3.848     6.359
  -121.15    38.73    1962   1.452   1.092   3.846     6.390
  -121.15    38.73    1963   1.568   1.073   3.843     6.484
  -121.15    38.73    1964   1.482   1.071   3.841     6.394
  -121.15    38.73    1965   1.417   1.062   3.834     6.313
  -121.15    38.73    1966   1.454   1.022   3.825     6.301
  -121.15    38.73    1967   1.462   1.000   3.814     6.276
  -121.15    38.73    1968   1.401   1.079   3.804     6.283
  -121.15    38.73    1969   1.482   1.059   3.794     6.335
  -121.15    38.73    1970   1.591   1.035   3.786     6.411
  -121.15    38.73    1971   1.627   1.026   3.774     6.428
  -121.15    38.73    1972   1.671   1.008   3.771     6.449
  -121.15    38.73    1973   1.870   0.985   3.760     6.615
  -121.15    38.73    1974   1.939   0.980   3.753     6.672
  -121.15    38.73    1975   1.920   0.974   3.750     6.643
  -121.15    38.73    1976   1.996   0.971   3.744     6.710
  -121.15    38.73    1977   2.083   0.965   3.746     6.794
  -121.15    38.73    1978   2.066   0.973   3.748     6.787
  -121.15    38.73    1979   2.033   0.964   3.750     6.747
  -121.15    38.73    1980   1.962   0.950   3.748     6.660
  -121.15    38.73    1981   2.111   0.912   3.743     6.766
  -121.15    38.73    1982   2.221   0.909   3.733     6.863
  -121.15    38.73    1983   2.172   0.918   3.731     6.821
  -121.15    38.73    1984   2.061   1.002   3.728     6.791
  -121.15    38.73    1985   2.191   0.960   3.725     6.876
  -121.15    38.73    1986   2.236   0.962   3.715     6.914
  -121.15    38.73    1987   2.263   0.972   3.714     6.949
  -121.15    38.73    1988   2.228   0.968   3.713     6.909
  -121.15    38.73    1989   1.838   1.341   3.711     6.890
  -121.15    38.73    1990   1.687   1.398   3.715     6.801
  -121.15    38.73    1991   1.702   1.481   3.706     6.889
  -121.15    38.73    1992   1.751   1.503   3.700     6.954
  -121.15    38.73    1993   1.861   1.521   3.709     7.090
  -121.15    38.73    1994   1.874   1.505   3.712     7.091
  -121.15    38.73    1995   1.841   1.475   3.715     7.032
  -121.15    38.73    1996   1.849   1.425   3.717     6.990
  -121.15    38.73    1997   1.790   1.388   3.719     6.897
  -121.15    38.73    1998   1.807   1.371   3.715     6.893
  -121.15    38.73    1999   1.841   1.331   3.710     6.883
  -121.15    38.73    2000   1.850   1.329   3.708     6.887
  -121.15    38.73    2001   1.972   1.296   3.705     6.974
  -121.15    38.73    2002   2.017   1.299   3.697     7.013
  -121.15    38.73    2003   1.951   1.286   3.697     6.934
  -121.15    38.73    2004   2.033   1.259   3.699     6.991
  -121.15    38.73    2005   2.144   1.220   3.696     7.060
  -121.15    38.73    2006   2.267   1.234   3.694     7.195
  -121.15    38.73    2007   2.311   1.227   3.696     7.234
  -121.15    38.73    2008   2.245   1.222   3.700     7.168
  -121.15    38.73    2009   2.329   1.180   3.696     7.205
  -121.15    38.73    2010   2.337   1.144   3.693     7.174
  -121.15    38.73    2011   2.362   1.204   3.688     7.254
  -121.15    38.73    2012   2.366   1.172   3.687     7.225
  -121.15    38.73    2013   2.361   1.165   3.685     7.211
  -121.15    38.73    2014   2.353   1.172   3.685     7.210
  -121.15    38.73    2015   2.384   1.138   3.678     7.200
  -121.15    38.73    2016   2.380   1.135   3.674     7.189
  -121.15    38.73    2017   2.452   1.123   3.672     7.246
  -121.15    38.73    2018   2.420   1.103   3.672     7.195
  -121.15    38.73    2019   2.469   1.064   3.673     7.205
  -121.15    38.73    2020   2.468   1.052   3.672     7.192
  -121.15    38.73    2021   2.403   1.059   3.671     7.133
  -121.15    38.73    2022   2.367   1.103   3.669     7.139
  -121.15    38.73    2023   2.398   1.095   3.671     7.163
  -121.15    38.73    2024   2.374   1.124   3.669     7.167
  -121.15    38.73    2025   2.501   1.073   3.665     7.240
  -121.15    38.73    2026   2.554   1.042   3.660     7.256
  -121.15    38.73    2027   2.427   1.023   3.654     7.105
  -121.15    38.73    2028   2.547   0.968   3.653     7.168
  -121.15    38.73    2029   2.539   1.086   3.648     7.272
  -121.15    38.73    2030   2.637   1.052   3.646     7.336
  -121.15    38.73    2031   2.753   1.011   3.641     7.405
  -121.15    38.73    2032   2.664   1.052   3.639     7.355
  -121.15    38.73    2033   2.585   1.005   3.640     7.230
  -121.15    38.73    2034   2.725   0.972   3.631     7.328
  -121.15    38.73    2035   2.780   1.032   3.628     7.440
  -121.15    38.73    2036   2.851   1.051   3.622     7.524
  -121.15    38.73    2037   2.836   1.055   3.623     7.515
  -121.15    38.73    2038   2.883   1.073   3.625     7.581
  -121.15    38.73    2039   2.879   1.049   3.623     7.551
  -121.15    38.73    2040   2.991   1.004   3.616     7.611
  -121.15    38.73    2041   3.044   1.058   3.612     7.713
  -121.15    38.73    2042   3.133   1.084   3.610     7.828
  -121.15    38.73    2043   3.106   1.145   3.608     7.859
  -121.15    38.73    2044   3.131   1.106   3.609     7.846
  -121.15    38.73    2045   3.250   1.049   3.606     7.904
  -121.15    38.73    2046   3.109   1.075   3.598     7.782
  -121.15    38.73    2047   3.136   1.026   3.594     7.756
  -121.15    38.73    2048   3.147   1.024   3.583     7.754
  -121.15    38.73    2049   3.233   1.006   3.571     7.810
  -121.15    38.73    2050   3.311   1.025   3.559     7.895
  -121.15    38.73    2051   3.403   1.000   3.557     7.960
