      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.074   0.010   0.073   0.005   0.104   0.180   2.320   2.765
  -121.15    38.73    1951   0.120   0.006   0.010   0.004   0.096   0.162   2.314   2.712
  -121.15    38.73    1952   0.110   0.009   0.015   0.007   0.102   0.143   2.247   2.633
  -121.15    38.73    1953   0.128   0.004   0.011   0.006   0.102   0.128   2.185   2.564
  -121.15    38.73    1954   0.135   0.006   0.011   0.006   0.107   0.111   2.119   2.495
  -121.15    38.73    1955   0.126   0.003   0.007   0.007   0.113   0.099   2.057   2.412
  -121.15    38.73    1956   0.127   0.005   0.012   0.009   0.116   0.087   2.001   2.357
  -121.15    38.73    1957   0.120   0.009   0.017   0.006   0.114   0.076   1.938   2.280
  -121.15    38.73    1958   0.133   0.010   0.014   0.006   0.115   0.072   1.887   2.237
  -121.15    38.73    1959   0.144   0.003   0.009   0.006   0.119   0.069   1.835   2.185
  -121.15    38.73    1960   0.143   0.002   0.006   0.007   0.122   0.061   1.779   2.120
  -121.15    38.73    1961   0.133   0.010   0.020   0.009   0.129   0.054   1.727   2.081
  -121.15    38.73    1962   0.123   0.006   0.016   0.006   0.125   0.054   1.684   2.015
  -121.15    38.73    1963   0.117   0.014   0.025   0.007   0.122   0.051   1.642   1.978
  -121.15    38.73    1964   0.129   0.009   0.016   0.006   0.120   0.056   1.611   1.947
  -121.15    38.73    1965   0.124   0.006   0.016   0.007   0.121   0.055   1.572   1.901
  -121.15    38.73    1966   0.125   0.009   0.018   0.006   0.118   0.051   1.532   1.859
  -121.15    38.73    1967   0.127   0.007   0.018   0.006   0.117   0.050   1.496   1.821
  -121.15    38.73    1968   0.119   0.011   0.026   0.007   0.117   0.049   1.464   1.794
  -121.15    38.73    1969   0.116   0.008   0.021   0.006   0.114   0.051   1.439   1.755
  -121.15    38.73    1970   0.117   0.012   0.032   0.006   0.112   0.050   1.409   1.739
  -121.15    38.73    1971   0.117   0.019   0.041   0.005   0.108   0.052   1.387   1.730
  -121.15    38.73    1972   0.114   0.014   0.032   0.006   0.108   0.061   1.379   1.714
  -121.15    38.73    1973   0.118   0.004   0.010   0.004   0.104   0.063   1.357   1.662
  -121.15    38.73    1974   0.129   0.011   0.023   0.006   0.106   0.056   1.320   1.652
  -121.15    38.73    1975   0.132   0.002   0.009   0.006   0.108   0.056   1.295   1.608
  -121.15    38.73    1976   0.128   0.004   0.014   0.006   0.110   0.049   1.258   1.568
  -121.15    38.73    1977   0.119   0.011   0.041   0.006   0.109   0.044   1.226   1.556
  -121.15    38.73    1978   0.115   0.010   0.100   0.005   0.105   0.047   1.220   1.603
  -121.15    38.73    1979   0.115   0.024   0.067   0.005   0.102   0.048   1.274   1.635
