      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.037   0.005   0.037   0.002   0.052   0.090   1.160   1.383
  -121.15    38.73    1951   0.060   0.003   0.005   0.002   0.048   0.081   1.157   1.356
  -121.15    38.73    1952   0.055   0.004   0.007   0.003   0.051   0.071   1.124   1.316
  -121.15    38.73    1953   0.064   0.002   0.006   0.003   0.051   0.064   1.092   1.282
  -121.15    38.73    1954   0.067   0.003   0.005   0.003   0.053   0.056   1.060   1.247
  -121.15    38.73    1955   0.063   0.001   0.003   0.003   0.057   0.049   1.028   1.206
  -121.15    38.73    1956   0.064   0.002   0.006   0.005   0.058   0.044   1.000   1.178
  -121.15    38.73    1957   0.060   0.004   0.008   0.003   0.057   0.038   0.969   1.140
  -121.15    38.73    1958   0.067   0.005   0.007   0.003   0.057   0.036   0.943   1.119
  -121.15    38.73    1959   0.072   0.002   0.004   0.003   0.059   0.035   0.918   1.093
  -121.15    38.73    1960   0.071   0.001   0.003   0.003   0.061   0.030   0.889   1.060
  -121.15    38.73    1961   0.066   0.005   0.010   0.004   0.065   0.027   0.864   1.040
  -121.15    38.73    1962   0.062   0.003   0.008   0.003   0.063   0.027   0.842   1.008
  -121.15    38.73    1963   0.059   0.007   0.013   0.003   0.061   0.025   0.821   0.989
  -121.15    38.73    1964   0.064   0.004   0.008   0.003   0.060   0.028   0.806   0.973
  -121.15    38.73    1965   0.062   0.003   0.008   0.004   0.060   0.027   0.786   0.950
  -121.15    38.73    1966   0.063   0.004   0.009   0.003   0.059   0.025   0.766   0.929
  -121.15    38.73    1967   0.063   0.003   0.009   0.003   0.058   0.025   0.748   0.910
  -121.15    38.73    1968   0.060   0.006   0.013   0.004   0.059   0.024   0.732   0.897
  -121.15    38.73    1969   0.058   0.004   0.010   0.003   0.057   0.026   0.719   0.877
  -121.15    38.73    1970   0.059   0.006   0.016   0.003   0.056   0.025   0.704   0.869
  -121.15    38.73    1971   0.058   0.010   0.021   0.002   0.054   0.026   0.694   0.865
  -121.15    38.73    1972   0.057   0.007   0.016   0.003   0.054   0.031   0.689   0.857
  -121.15    38.73    1973   0.059   0.002   0.005   0.002   0.052   0.032   0.679   0.831
  -121.15    38.73    1974   0.065   0.005   0.012   0.003   0.053   0.028   0.660   0.826
  -121.15    38.73    1975   0.066   0.001   0.004   0.003   0.054   0.028   0.648   0.804
  -121.15    38.73    1976   0.064   0.002   0.007   0.003   0.055   0.024   0.629   0.784
  -121.15    38.73    1977   0.059   0.006   0.021   0.003   0.054   0.022   0.613   0.778
  -121.15    38.73    1978   0.057   0.005   0.050   0.003   0.052   0.023   0.610   0.801
  -121.15    38.73    1979   0.057   0.012   0.033   0.003   0.051   0.024   0.637   0.817
  -121.15    38.73    1980   0.056   0.005   0.019   0.004   0.052   0.031   0.650   0.816
  -121.15    38.73    1981   0.055   0.010   0.030   0.002   0.050   0.030   0.643   0.819
  -121.15    38.73    1982   0.055   0.007   0.017   0.002   0.048   0.034   0.648   0.811
  -121.15    38.73    1983   0.055   0.012   0.033   0.003   0.048   0.034   0.641   0.826
  -121.15    38.73    1984   0.056   0.006   0.013   0.002   0.046   0.039   0.648   0.809
  -121.15    38.73    1985   0.061   0.006   0.019   0.003   0.047   0.038   0.638   0.811
  -121.15    38.73    1986   0.060   0.005   0.011   0.003   0.048   0.037   0.633   0.798
  -121.15    38.73    1987   0.058   0.004   0.011   0.003   0.049   0.036   0.622   0.781
  -121.15    38.73    1988   0.058   0.005   0.012   0.003   0.048   0.033   0.609   0.769
  -121.15    38.73    1989   0.060   0.008   0.019   0.003   0.049   0.033   0.600   0.773
  -121.15    38.73    1990   0.059   0.011   0.027   0.002   0.049   0.034   0.596   0.779
  -121.15    38.73    1991   0.055   0.005   0.014   0.002   0.048   0.038   0.599   0.762
  -121.15    38.73    1992   0.055   0.008   0.035   0.004   0.049   0.037   0.594   0.782
  -121.15    38.73    1993   0.051   0.011   0.067   0.003   0.048   0.039   0.609   0.829
  -121.15    38.73    1994   0.046   0.028   0.372   0.003   0.048   0.043   0.655   1.194
