      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.732   2.899   7.782    12.412
  -121.15    38.73    1951   1.923   2.877   7.764    12.565
  -121.15    38.73    1952   2.166   2.761   7.767    12.694
  -121.15    38.73    1953   2.257   2.708   7.750    12.715
  -121.15    38.73    1954   2.449   2.645   7.741    12.835
  -121.15    38.73    1955   2.518   2.561   7.736    12.815
  -121.15    38.73    1956   2.396   2.537   7.736    12.668
  -121.15    38.73    1957   2.573   2.435   7.731    12.738
  -121.15    38.73    1958   2.864   2.381   7.720    12.964
  -121.15    38.73    1959   2.932   2.337   7.708    12.977
  -121.15    38.73    1960   3.089   2.277   7.701    13.067
  -121.15    38.73    1961   3.119   2.236   7.701    13.055
  -121.15    38.73    1962   2.985   2.182   7.689    12.857
  -121.15    38.73    1963   3.222   2.134   7.684    13.041
  -121.15    38.73    1964   3.345   2.091   7.675    13.112
  -121.15    38.73    1965   3.422   2.053   7.665    13.140
  -121.15    38.73    1966   3.572   2.017   7.653    13.241
  -121.15    38.73    1967   3.559   1.974   7.643    13.176
  -121.15    38.73    1968   3.575   1.953   7.637    13.164
  -121.15    38.73    1969   3.675   1.902   7.627    13.204
  -121.15    38.73    1970   3.704   1.885   7.613    13.202
  -121.15    38.73    1971   3.733   1.875   7.595    13.203
  -121.15    38.73    1972   3.814   1.850   7.583    13.247
  -121.15    38.73    1973   4.055   1.798   7.562    13.414
  -121.15    38.73    1974   4.256   1.790   7.549    13.594
  -121.15    38.73    1975   4.361   1.753   7.535    13.649
  -121.15    38.73    1976   4.327   1.719   7.526    13.572
  -121.15    38.73    1977   4.335   1.710   7.517    13.562
  -121.15    38.73    1978   4.283   1.750   7.504    13.537
  -121.15    38.73    1979   4.347   1.774   7.492    13.614
  -121.15    38.73    1980   4.324   1.767   7.487    13.578
  -121.15    38.73    1981   4.374   1.779   7.467    13.620
  -121.15    38.73    1982   4.430   1.744   7.453    13.627
  -121.15    38.73    1983   4.376   1.780   7.437    13.593
  -121.15    38.73    1984   4.682   1.743   7.417    13.843
  -121.15    38.73    1985   4.699   1.738   7.406    13.843
  -121.15    38.73    1986   4.727   1.730   7.393    13.850
  -121.15    38.73    1987   4.830   1.688   7.386    13.904
  -121.15    38.73    1988   4.938   1.660   7.374    13.971
  -121.15    38.73    1989   4.996   1.680   7.367    14.042
  -121.15    38.73    1990   4.951   1.686   7.355    13.992
  -121.15    38.73    1991   5.101   1.644   7.342    14.087
  -121.15    38.73    1992   4.976   1.698   7.338    14.012
  -121.15    38.73    1993   4.776   1.794   7.336    13.906
  -121.15    38.73    1994   3.893   2.511   7.332    13.736
  -121.15    38.73    1995   3.994   2.497   7.324    13.814
  -121.15    38.73    1996   3.842   2.668   7.305    13.815
