      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.743   1.038   3.723     6.505
  -121.15    38.73    1951   1.863   1.006   3.718     6.587
  -121.15    38.73    1952   2.006   1.000   3.710     6.717
  -121.15    38.73    1953   1.519   1.459   3.707     6.685
  -121.15    38.73    1954   1.588   1.349   3.715     6.652
  -121.15    38.73    1955   1.691   1.284   3.710     6.685
  -121.15    38.73    1956   1.659   1.309   3.706     6.674
  -121.15    38.73    1957   1.789   1.234   3.713     6.736
  -121.15    38.73    1958   1.920   1.227   3.711     6.858
  -121.15    38.73    1959   1.949   1.205   3.713     6.867
  -121.15    38.73    1960   1.996   1.180   3.716     6.892
  -121.15    38.73    1961   1.995   1.144   3.724     6.863
  -121.15    38.73    1962   1.903   1.122   3.722     6.747
  -121.15    38.73    1963   2.003   1.106   3.722     6.832
  -121.15    38.73    1964   2.003   1.123   3.719     6.844
  -121.15    38.73    1965   2.041   1.098   3.716     6.855
  -121.15    38.73    1966   2.084   1.087   3.712     6.884
  -121.15    38.73    1967   2.091   1.056   3.708     6.855
  -121.15    38.73    1968   2.131   1.038   3.706     6.875
  -121.15    38.73    1969   2.154   1.026   3.703     6.883
  -121.15    38.73    1970   1.668   1.516   3.700     6.884
  -121.15    38.73    1971   1.688   1.424   3.705     6.817
  -121.15    38.73    1972   1.815   1.368   3.700     6.883
  -121.15    38.73    1973   1.913   1.373   3.693     6.979
  -121.15    38.73    1974   2.023   1.333   3.703     7.059
  -121.15    38.73    1975   2.035   1.354   3.705     7.094
  -121.15    38.73    1976   2.046   1.341   3.707     7.094
  -121.15    38.73    1977   2.043   1.299   3.711     7.053
  -121.15    38.73    1978   2.020   1.286   3.711     7.018
  -121.15    38.73    1979   2.033   1.285   3.711     7.030
  -121.15    38.73    1980   1.968   1.312   3.713     6.993
  -121.15    38.73    1981   2.038   1.268   3.708     7.013
  -121.15    38.73    1982   2.064   1.236   3.705     7.005
  -121.15    38.73    1983   2.065   1.204   3.702     6.970
  -121.15    38.73    1984   2.165   1.217   3.696     7.078
  -121.15    38.73    1985   2.168   1.193   3.695     7.056
  -121.15    38.73    1986   2.181   1.177   3.694     7.052
  -121.15    38.73    1987   2.271   1.131   3.693     7.095
  -121.15    38.73    1988   2.041   1.369   3.690     7.099
  -121.15    38.73    1989   2.083   1.265   3.702     7.050
  -121.15    38.73    1990   2.176   1.181   3.695     7.053
  -121.15    38.73    1991   2.183   1.204   3.689     7.076
  -121.15    38.73    1992   1.596   1.733   3.702     7.031
  -121.15    38.73    1993   1.521   1.715   3.713     6.948
  -121.15    38.73    1994   1.422   1.777   3.714     6.912
  -121.15    38.73    1995   1.496   1.771   3.712     6.979
  -121.15    38.73    1996   1.592   1.689   3.718     7.000
  -121.15    38.73    1997   1.703   1.641   3.721     7.066
  -121.15    38.73    1998   1.566   1.800   3.727     7.092
  -121.15    38.73    1999   1.556   1.819   3.731     7.107
  -121.15    38.73    2000   1.564   1.789   3.738     7.091
  -121.15    38.73    2001   1.562   1.709   3.748     7.018
  -121.15    38.73    2002   1.589   1.655   3.753     6.997
  -121.15    38.73    2003   1.593   1.586   3.753     6.932
  -121.15    38.73    2004   1.634   1.529   3.751     6.914
  -121.15    38.73    2005   1.527   1.513   3.753     6.793
  -121.15    38.73    2006   1.621   1.440   3.748     6.810
  -121.15    38.73    2007   1.697   1.406   3.745     6.848
  -121.15    38.73    2008   1.848   1.383   3.740     6.971
  -121.15    38.73    2009   1.908   1.389   3.740     7.036
  -121.15    38.73    2010   1.891   1.364   3.743     6.998
  -121.15    38.73    2011   1.817   1.378   3.747     6.943
  -121.15    38.73    2012   1.916   1.313   3.742     6.970
  -121.15    38.73    2013   1.548   1.601   3.741     6.891
  -121.15    38.73    2014   1.658   1.535   3.732     6.925
  -121.15    38.73    2015   1.715   1.516   3.731     6.962
  -121.15    38.73    2016   1.721   1.472   3.734     6.926
  -121.15    38.73    2017   1.775   1.424   3.737     6.936
  -121.15    38.73    2018   1.845   1.423   3.737     7.005
  -121.15    38.73    2019   1.849   1.449   3.738     7.036
  -121.15    38.73    2020   1.830   1.439   3.740     7.009
  -121.15    38.73    2021   1.867   1.396   3.742     7.006
  -121.15    38.73    2022   1.965   1.344   3.739     7.048
  -121.15    38.73    2023   1.913   0.985   3.737     6.634
  -121.15    38.73    2024   1.871   0.996   3.733     6.600
  -121.15    38.73    2025   1.850   1.016   3.731     6.597
  -121.15    38.73    2026   1.955   0.992   3.725     6.672
  -121.15    38.73    2027   1.904   0.969   3.721     6.594
  -121.15    38.73    2028   1.882   0.949   3.712     6.543
  -121.15    38.73    2029   1.948   0.913   3.703     6.565
  -121.15    38.73    2030   2.054   0.889   3.691     6.634
  -121.15    38.73    2031   2.132   0.897   3.678     6.707
  -121.15    38.73    2032   2.254   0.875   3.672     6.801
  -121.15    38.73    2033   2.304   0.858   3.666     6.828
  -121.15    38.73    2034   2.316   0.836   3.661     6.813
  -121.15    38.73    2035   2.307   0.831   3.654     6.792
  -121.15    38.73    2036   2.295   0.816   3.650     6.761
  -121.15    38.73    2037   1.276   1.784   3.643     6.703
  -121.15    38.73    2038   1.169   1.707   3.658     6.534
  -121.15    38.73    2039   1.422   1.574   3.651     6.646
  -121.15    38.73    2040   1.338   1.679   3.640     6.657
  -121.15    38.73    2041   1.576   1.552   3.664     6.792
  -121.15    38.73    2042   1.766   1.527   3.668     6.962
  -121.15    38.73    2043   1.687   1.521   3.678     6.886
  -121.15    38.73    2044   1.710   1.453   3.686     6.849
  -121.15    38.73    2045   1.668   1.436   3.693     6.797
  -121.15    38.73    2046   1.757   1.390   3.694     6.841
  -121.15    38.73    2047   1.795   1.349   3.692     6.835
  -121.15    38.73    2048   1.853   1.316   3.689     6.858
  -121.15    38.73    2049   2.031   1.254   3.682     6.967
