      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    87.4     0.0     0.8    88.2
  -121.15    38.73    1951   407.9    11.2     4.8   424.0
  -121.15    38.73    1952   189.8    17.3     6.1   213.2
  -121.15    38.73    1953   153.7     0.0     0.2   153.9
  -121.15    38.73    1954   145.9     0.0     1.2   147.1
  -121.15    38.73    1955   154.9     0.0     0.2   155.1
  -121.15    38.73    1956   117.8     0.0     0.0   117.8
  -121.15    38.73    1957   209.0     0.0     0.1   209.1
  -121.15    38.73    1958   230.6     0.0     0.6   231.1
  -121.15    38.73    1959    20.1     0.0     0.0    20.1
  -121.15    38.73    1960   194.7     0.0     0.6   195.3
  -121.15    38.73    1961   250.0     0.0     0.3   250.3
  -121.15    38.73    1962    85.2     0.0     0.0    85.3
  -121.15    38.73    1963   434.5     0.0     1.2   435.7
  -121.15    38.73    1964    87.5     0.0     0.1    87.6
  -121.15    38.73    1965   166.6     0.0     0.1   166.7
  -121.15    38.73    1966    77.8     0.0     0.1    78.0
  -121.15    38.73    1967   228.2     0.0     0.2   228.5
  -121.15    38.73    1968   225.9     0.0     0.4   226.2
  -121.15    38.73    1969   264.5     0.0     0.0   264.5
  -121.15    38.73    1970   128.7     0.0     0.0   128.7
  -121.15    38.73    1971    22.0     0.0     0.0    22.0
  -121.15    38.73    1972   274.1     0.0     0.5   274.6
  -121.15    38.73    1973   253.8     0.0     0.2   254.1
  -121.15    38.73    1974   374.5     0.0     1.5   376.0
  -121.15    38.73    1975    36.3     0.0     0.4    36.7
  -121.15    38.73    1976   169.5     0.0     0.0   169.5
  -121.15    38.73    1977   198.3     0.0     0.7   199.0
  -121.15    38.73    1978   107.1     0.0     0.1   107.1
  -121.15    38.73    1979   217.5     0.0     0.1   217.5
  -121.15    38.73    1980   104.1     0.0     0.0   104.2
  -121.15    38.73    1981   673.5     0.0     0.5   674.1
  -121.15    38.73    1982    57.3     0.0     0.0    57.3
  -121.15    38.73    1983    61.8     0.0     0.0    61.8
  -121.15    38.73    1984   525.4     0.0     1.0   526.4
  -121.15    38.73    1985   114.9     0.0     0.0   115.0
  -121.15    38.73    1986   328.2     0.0     0.5   328.7
  -121.15    38.73    1987   369.3     0.0     2.4   371.7
  -121.15    38.73    1988   107.0     0.0     0.0   107.0
  -121.15    38.73    1989   248.9     0.0     0.0   248.9
  -121.15    38.73    1990   103.9     0.0     0.1   104.0
  -121.15    38.73    1991   268.4     0.0     0.1   268.6
  -121.15    38.73    1992    85.6     0.0     0.1    85.7
  -121.15    38.73    1993    21.0     0.0     0.0    21.0
  -121.15    38.73    1994   301.9     0.0     0.0   301.9
  -121.15    38.73    1995   146.6     0.0     0.5   147.1
  -121.15    38.73    1996    86.7     0.0     0.0    86.8
  -121.15    38.73    1997   228.6     0.0     0.4   229.0
  -121.15    38.73    1998    12.8     0.0     0.3    13.1
  -121.15    38.73    1999   199.8     0.0     0.0   199.8
  -121.15    38.73    2000    77.8     0.0     0.1    77.9
  -121.15    38.73    2001     0.0     0.0     0.0     0.0
  -121.15    38.73    2002   165.3     0.0     0.2   165.5
  -121.15    38.73    2003    49.3     0.0     0.0    49.3
  -121.15    38.73    2004   138.1     0.0     0.0   138.2
  -121.15    38.73    2005     0.0     0.0     0.0     0.0
  -121.15    38.73    2006   108.1     0.0     0.0   108.1
  -121.15    38.73    2007   412.4     0.0     0.9   413.3
  -121.15    38.73    2008   411.4     0.0     2.9   414.4
  -121.15    38.73    2009   168.8     0.0     1.8   170.6
  -121.15    38.73    2010    41.4     0.0     0.0    41.4
  -121.15    38.73    2011     5.9     0.0     0.0     5.9
  -121.15    38.73    2012   285.9     0.0     0.3   286.2
  -121.15    38.73    2013    68.5     0.0     0.1    68.6
  -121.15    38.73    2014    89.5     0.0     0.0    89.5
  -121.15    38.73    2015   113.8     0.0     0.2   114.0
  -121.15    38.73    2016   185.1     0.0     0.3   185.4
  -121.15    38.73    2017   338.9     0.0     1.2   340.1
  -121.15    38.73    2018   228.9     0.0     0.7   229.6
  -121.15    38.73    2019   204.6     0.0     0.2   204.8
  -121.15    38.73    2020   167.7     0.0     0.8   168.5
  -121.15    38.73    2021   216.5     0.0     0.3   216.8
  -121.15    38.73    2022   124.1     0.0     0.1   124.2
  -121.15    38.73    2023   109.3     0.0     0.1   109.4
  -121.15    38.73    2024     0.4     0.0     0.0     0.4
  -121.15    38.73    2025    77.3     0.0     0.0    77.3
  -121.15    38.73    2026   170.1     0.0     0.8   171.0
  -121.15    38.73    2027   248.0     0.0     0.1   248.1
  -121.15    38.73    2028   125.7     0.0     0.0   125.7
  -121.15    38.73    2029   252.4     0.0     0.5   252.8
  -121.15    38.73    2030   151.8     0.0     0.3   152.2
  -121.15    38.73    2031   650.0     0.0     0.9   650.9
  -121.15    38.73    2032   548.0    29.9     6.4   584.4
  -121.15    38.73    2033    42.2    21.4     3.1    66.7
  -121.15    38.73    2034   173.7     0.6     2.1   176.4
  -121.15    38.73    2035    76.3     0.0     1.6    77.9
  -121.15    38.73    2036   124.8     0.0     0.5   125.3
  -121.15    38.73    2037   227.1     0.0     0.4   227.5
  -121.15    38.73    2038    80.9     0.0     0.0    80.9
  -121.15    38.73    2039     0.0     0.0     0.0     0.0
  -121.15    38.73    2040   133.0     0.0     0.0   133.0
  -121.15    38.73    2041   230.5     0.0     0.3   230.8
  -121.15    38.73    2042    99.0     0.0     1.2   100.1
  -121.15    38.73    2043    81.3     0.0     0.1    81.3
  -121.15    38.73    2044   289.7    12.3     3.0   305.0
  -121.15    38.73    2045   118.9    20.7     3.4   143.0
  -121.15    38.73    2046   305.2     1.6     5.1   311.8
  -121.15    38.73    2047   153.1     3.4     2.3   158.8
  -121.15    38.73    2048   278.8     0.0     2.0   280.8
  -121.15    38.73    2049   463.7     0.0     1.1   464.9
  -121.15    38.73    2050   367.6     0.0     1.6   369.2
  -121.15    38.73    2051    64.5     0.0     0.0    64.5
  -121.15    38.73    2052   105.0     0.0     0.1   105.1
  -121.15    38.73    2053    97.5     0.0     0.0    97.6
  -121.15    38.73    2054   122.9     0.0     0.0   122.9
  -121.15    38.73    2055    96.5     0.0     0.0    96.5
  -121.15    38.73    2056   303.1     0.0     0.4   303.6
  -121.15    38.73    2057   253.8     0.0     0.3   254.1
  -121.15    38.73    2058   273.8     0.0     0.2   274.0
  -121.15    38.73    2059   322.5     0.0     0.2   322.8
  -121.15    38.73    2060   174.8     0.0     0.2   175.0
  -121.15    38.73    2061   371.1     0.0     1.3   372.5
  -121.15    38.73    2062   780.1     0.0     1.5   781.6
  -121.15    38.73    2063   288.1     0.0     0.3   288.4
  -121.15    38.73    2064    78.9     0.0     0.0    78.9
  -121.15    38.73    2065   168.5     0.0     0.0   168.5
  -121.15    38.73    2066   484.2     0.0     0.8   485.0
  -121.15    38.73    2067    37.7     0.0     0.0    37.7
  -121.15    38.73    2068   343.4     0.0     0.7   344.2
  -121.15    38.73    2069   106.4     0.0     0.5   106.9
  -121.15    38.73    2070   300.7     0.0     0.4   301.1
  -121.15    38.73    2071   201.1     0.0     0.2   201.2
  -121.15    38.73    2072    28.9     0.0     0.1    29.0
  -121.15    38.73    2073    39.3     0.0     0.0    39.3
  -121.15    38.73    2074    88.6     0.0     0.2    88.8
  -121.15    38.73    2075   137.7     0.0     0.4   138.0
  -121.15    38.73    2076    23.4     0.0     0.0    23.4
  -121.15    38.73    2077    27.0     0.0     0.0    27.0
  -121.15    38.73    2078   140.2     0.0     0.3   140.5
  -121.15    38.73    2079   320.3     0.0     0.0   320.4
  -121.15    38.73    2080    59.7     0.0     0.0    59.7
  -121.15    38.73    2081   127.7     0.0     0.3   128.0
  -121.15    38.73    2082   252.0     0.0     0.3   252.3
  -121.15    38.73    2083    58.1     0.0     0.0    58.1
  -121.15    38.73    2084   260.2     0.0     0.1   260.3
  -121.15    38.73    2085    69.8     0.0     0.0    69.8
  -121.15    38.73    2086    76.8     0.0     0.1    76.9
  -121.15    38.73    2087   350.4     0.0     0.4   350.9
  -121.15    38.73    2088   514.1     0.0     3.0   517.1
