      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.734   2.899   7.782    12.415
  -121.15    38.73    1951   1.925   2.880   7.764    12.569
  -121.15    38.73    1952   2.170   2.760   7.767    12.698
  -121.15    38.73    1953   2.264   2.707   7.750    12.722
  -121.15    38.73    1954   2.459   2.643   7.741    12.843
  -121.15    38.73    1955   2.528   2.558   7.736    12.822
  -121.15    38.73    1956   2.404   2.535   7.736    12.676
  -121.15    38.73    1957   2.584   2.431   7.731    12.747
  -121.15    38.73    1958   2.873   2.377   7.720    12.970
  -121.15    38.73    1959   2.940   2.333   7.709    12.982
  -121.15    38.73    1960   3.096   2.274   7.701    13.071
  -121.15    38.73    1961   3.124   2.234   7.701    13.060
  -121.15    38.73    1962   3.010   2.182   7.689    12.880
  -121.15    38.73    1963   3.226   2.130   7.686    13.043
  -121.15    38.73    1964   3.342   2.083   7.677    13.102
  -121.15    38.73    1965   3.406   2.058   7.666    13.130
  -121.15    38.73    1966   3.554   2.024   7.653    13.231
  -121.15    38.73    1967   3.546   1.979   7.643    13.168
  -121.15    38.73    1968   3.563   1.957   7.637    13.157
  -121.15    38.73    1969   3.637   1.930   7.626    13.194
  -121.15    38.73    1970   3.675   1.900   7.613    13.188
  -121.15    38.73    1971   3.715   1.878   7.595    13.187
  -121.15    38.73    1972   3.804   1.845   7.582    13.232
  -121.15    38.73    1973   4.043   1.797   7.561    13.401
  -121.15    38.73    1974   4.248   1.786   7.548    13.582
  -121.15    38.73    1975   4.350   1.752   7.535    13.636
  -121.15    38.73    1976   4.334   1.720   7.525    13.579
  -121.15    38.73    1977   4.218   1.780   7.519    13.517
  -121.15    38.73    1978   3.630   2.398   7.505    13.533
  -121.15    38.73    1979   3.698   2.262   7.511    13.471
  -121.15    38.73    1980   3.829   2.195   7.500    13.525
  -121.15    38.73    1981   3.867   2.239   7.480    13.586
  -121.15    38.73    1982   3.973   2.103   7.491    13.567
  -121.15    38.73    1983   4.081   2.068   7.481    13.630
  -121.15    38.73    1984   4.409   2.023   7.468    13.899
  -121.15    38.73    1985   4.388   2.041   7.465    13.895
  -121.15    38.73    1986   4.400   2.000   7.464    13.864
  -121.15    38.73    1987   4.480   1.976   7.462    13.918
  -121.15    38.73    1988   4.510   1.981   7.455    13.947
  -121.15    38.73    1989   4.543   1.994   7.454    13.991
  -121.15    38.73    1990   4.548   1.961   7.444    13.953
  -121.15    38.73    1991   4.631   1.916   7.434    13.981
  -121.15    38.73    1992   4.550   1.917   7.432    13.899
  -121.15    38.73    1993   4.318   2.018   7.429    13.765
  -121.15    38.73    1994   3.413   2.721   7.426    13.560
  -121.15    38.73    1995   3.531   2.683   7.419    13.633
  -121.15    38.73    1996   3.466   2.768   7.396    13.629
  -121.15    38.73    1997   3.586   2.716   7.380    13.682
  -121.15    38.73    1998   3.775   2.654   7.366    13.795
  -121.15    38.73    1999   3.905   2.602   7.352    13.859
  -121.15    38.73    2000   3.935   2.611   7.342    13.888
  -121.15    38.73    2001   3.992   2.509   7.338    13.839
  -121.15    38.73    2002   4.071   2.451   7.333    13.855
  -121.15    38.73    2003   3.113   3.329   7.318    13.760
  -121.15    38.73    2004   3.110   3.148   7.323    13.582
  -121.15    38.73    2005   3.115   3.076   7.323    13.514
  -121.15    38.73    2006   3.255   3.046   7.309    13.610
  -121.15    38.73    2007   3.478   2.926   7.329    13.733
  -121.15    38.73    2008   3.800   2.869   7.326    13.995
  -121.15    38.73    2009   4.024   2.831   7.336    14.191
  -121.15    38.73    2010   3.846   2.802   7.350    13.998
  -121.15    38.73    2011   3.690   2.781   7.367    13.838
  -121.15    38.73    2012   3.890   2.649   7.363    13.902
  -121.15    38.73    2013   3.807   2.682   7.363    13.852
  -121.15    38.73    2014   3.949   2.642   7.349    13.940
  -121.15    38.73    2015   4.086   2.585   7.351    14.023
  -121.15    38.73    2016   4.169   2.561   7.362    14.092
  -121.15    38.73    2017   4.057   2.492   7.375    13.924
  -121.15    38.73    2018   4.381   2.357   7.371    14.109
  -121.15    38.73    2019   4.606   2.383   7.362    14.351
  -121.15    38.73    2020   4.496   2.658   7.353    14.507
  -121.15    38.73    2021   4.466   2.651   7.360    14.477
  -121.15    38.73    2022   4.598   2.577   7.365    14.539
  -121.15    38.73    2023   4.615   2.606   7.365    14.586
  -121.15    38.73    2024   4.548   2.538   7.367    14.453
  -121.15    38.73    2025   4.750   2.473   7.365    14.587
  -121.15    38.73    2026   4.450   2.547   7.368    14.365
  -121.15    38.73    2027   4.176   2.675   7.369    14.221
  -121.15    38.73    2028   4.282   2.575   7.360    14.216
  -121.15    38.73    2029   4.643   2.470   7.343    14.456
  -121.15    38.73    2030   4.699   2.488   7.333    14.520
  -121.15    38.73    2031   4.790   2.357   7.334    14.481
  -121.15    38.73    2032   4.856   2.393   7.333    14.582
  -121.15    38.73    2033   4.781   2.331   7.332    14.444
  -121.15    38.73    2034   4.894   2.324   7.330    14.549
  -121.15    38.73    2035   5.021   2.238   7.317    14.576
  -121.15    38.73    2036   4.909   2.196   7.310    14.416
  -121.15    38.73    2037   5.112   2.211   7.304    14.627
  -121.15    38.73    2038   3.907   3.414   7.297    14.617
  -121.15    38.73    2039   3.985   3.263   7.324    14.572
  -121.15    38.73    2040   4.314   3.051   7.325    14.690
  -121.15    38.73    2041   4.390   3.174   7.319    14.883
  -121.15    38.73    2042   4.407   3.174   7.353    14.934
  -121.15    38.73    2043   4.669   3.098   7.363    15.129
  -121.15    38.73    2044   4.667   3.004   7.383    15.054
  -121.15    38.73    2045   4.766   2.957   7.397    15.120
  -121.15    38.73    2046   4.773   2.887   7.404    15.063
  -121.15    38.73    2047   4.773   2.826   7.410    15.009
  -121.15    38.73    2048   4.726   2.742   7.412    14.881
  -121.15    38.73    2049   4.974   2.696   7.406    15.077
  -121.15    38.73    2050   4.941   2.634   7.407    14.983
  -121.15    38.73    2051   4.594   2.632   7.408    14.634
  -121.15    38.73    2052   4.815   2.618   7.399    14.833
  -121.15    38.73    2053   5.177   2.574   7.390    15.141
  -121.15    38.73    2054   5.341   2.619   7.382    15.341
  -121.15    38.73    2055   5.429   2.554   7.392    15.375
  -121.15    38.73    2056   5.330   2.597   7.399    15.326
  -121.15    38.73    2057   5.177   2.533   7.403    15.113
  -121.15    38.73    2058   5.228   2.460   7.396    15.084
  -121.15    38.73    2059   5.462   2.485   7.376    15.324
  -121.15    38.73    2060   5.828   2.472   7.372    15.672
  -121.15    38.73    2061   5.900   2.494   7.372    15.766
  -121.15    38.73    2062   6.008   2.411   7.382    15.801
  -121.15    38.73    2063   5.945   2.539   7.357    15.841
  -121.15    38.73    2064   5.850   2.518   7.350    15.718
  -121.15    38.73    2065   5.860   2.390   7.350    15.600
  -121.15    38.73    2066   5.714   2.384   7.339    15.437
  -121.15    38.73    2067   5.982   2.316   7.316    15.614
  -121.15    38.73    2068   5.942   2.398   7.307    15.648
  -121.15    38.73    2069   5.945   2.372   7.306    15.622
  -121.15    38.73    2070   6.047   2.256   7.302    15.604
  -121.15    38.73    2071   6.212   2.171   7.298    15.681
  -121.15    38.73    2072   5.067   3.597   7.294    15.957
  -121.15    38.73    2073   5.193   3.392   7.330    15.915
  -121.15    38.73    2074   5.432   3.153   7.342    15.927
  -121.15    38.73    2075   5.338   3.150   7.346    15.833
  -121.15    38.73    2076   5.607   3.061   7.370    16.038
  -121.15    38.73    2077   5.766   3.135   7.365    16.266
  -121.15    38.73    2078   4.339   4.783   7.379    16.500
  -121.15    38.73    2079   4.104   4.440   7.433    15.977
  -121.15    38.73    2080   4.304   4.139   7.456    15.899
  -121.15    38.73    2081   4.543   4.012   7.448    16.003
  -121.15    38.73    2082   4.640   3.854   7.470    15.964
  -121.15    38.73    2083   4.622   3.731   7.483    15.837
  -121.15    38.73    2084   4.808   3.542   7.484    15.835
  -121.15    38.73    2085   4.073   4.202   7.502    15.776
  -121.15    38.73    2086   4.306   4.041   7.510    15.857
  -121.15    38.73    2087   4.435   3.986   7.526    15.947
  -121.15    38.73    2088   4.627   3.793   7.537    15.957
  -121.15    38.73    2089   4.900   3.658   7.546    16.105
  -121.15    38.73    2090   5.032   3.567   7.549    16.147
  -121.15    38.73    2091   5.113   3.503   7.562    16.178
  -121.15    38.73    2092   4.980   3.507   7.569    16.055
  -121.15    38.73    2093   5.107   3.317   7.575    15.999
  -121.15    38.73    2094   5.310   3.245   7.565    16.120
  -121.15    38.73    2095   5.431   3.109   7.558    16.099
  -121.15    38.73    2096   5.518   3.068   7.553    16.139
  -121.15    38.73    2097   5.250   3.172   7.550    15.972
  -121.15    38.73    2098   5.338   3.149   7.522    16.010
  -121.15    38.73    2099   5.307   3.032   7.516    15.855
  -121.15    38.73    2100   5.287   2.898   7.502    15.687
  -121.11    38.85    1950   3.820   3.842   8.481    16.144
  -121.11    38.85    1951   4.050   3.764   8.455    16.269
  -121.11    38.85    1952   4.222   3.750   8.453    16.425
  -121.11    38.85    1953   4.360   3.598   8.450    16.409
  -121.11    38.85    1954   4.539   3.477   8.429    16.444
  -121.11    38.85    1955   4.540   3.437   8.429    16.406
  -121.11    38.85    1956   3.178   4.216   8.438    15.833
  -121.11    38.85    1957   3.291   4.116   8.436    15.843
  -121.11    38.85    1958   3.396   4.027   8.427    15.850
  -121.11    38.85    1959   3.541   3.945   8.431    15.916
  -121.11    38.85    1960   3.294   4.156   8.433    15.883
  -121.11    38.85    1961   3.466   3.982   8.454    15.903
  -121.11    38.85    1962   3.292   3.933   8.450    15.675
