      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.867   1.449   3.891     6.207
  -121.15    38.73    1951   0.962   1.440   3.882     6.284
  -121.15    38.73    1952   1.085   1.380   3.884     6.349
  -121.15    38.73    1953   1.132   1.354   3.875     6.361
  -121.15    38.73    1954   1.230   1.321   3.870     6.421
  -121.15    38.73    1955   1.264   1.279   3.868     6.411
  -121.15    38.73    1956   1.202   1.268   3.868     6.338
  -121.15    38.73    1957   1.292   1.215   3.866     6.373
  -121.15    38.73    1958   1.436   1.189   3.860     6.485
  -121.15    38.73    1959   1.470   1.166   3.854     6.491
  -121.15    38.73    1960   1.548   1.137   3.851     6.536
  -121.15    38.73    1961   1.562   1.117   3.851     6.530
  -121.15    38.73    1962   1.505   1.091   3.844     6.440
  -121.15    38.73    1963   1.613   1.065   3.843     6.521
  -121.15    38.73    1964   1.671   1.041   3.839     6.551
  -121.15    38.73    1965   1.703   1.029   3.833     6.565
  -121.15    38.73    1966   1.777   1.012   3.827     6.616
  -121.15    38.73    1967   1.773   0.989   3.822     6.584
  -121.15    38.73    1968   1.781   0.979   3.818     6.578
  -121.15    38.73    1969   1.819   0.965   3.813     6.597
  -121.15    38.73    1970   1.838   0.950   3.807     6.594
  -121.15    38.73    1971   1.857   0.939   3.798     6.594
  -121.15    38.73    1972   1.902   0.923   3.791     6.616
  -121.15    38.73    1973   2.022   0.898   3.781     6.700
  -121.15    38.73    1974   2.124   0.893   3.774     6.791
  -121.15    38.73    1975   2.175   0.876   3.767     6.818
  -121.15    38.73    1976   2.167   0.860   3.762     6.790
  -121.15    38.73    1977   2.109   0.890   3.759     6.758
  -121.15    38.73    1978   1.815   1.199   3.752     6.767
  -121.15    38.73    1979   1.849   1.131   3.756     6.735
  -121.15    38.73    1980   1.915   1.097   3.750     6.762
  -121.15    38.73    1981   1.933   1.120   3.740     6.793
  -121.15    38.73    1982   1.986   1.052   3.746     6.784
  -121.15    38.73    1983   2.041   1.034   3.740     6.815
  -121.15    38.73    1984   2.204   1.011   3.734     6.950
  -121.15    38.73    1985   2.194   1.021   3.733     6.947
  -121.15    38.73    1986   2.200   1.000   3.732     6.932
  -121.15    38.73    1987   2.240   0.988   3.731     6.959
  -121.15    38.73    1988   2.255   0.991   3.728     6.974
  -121.15    38.73    1989   2.271   0.997   3.727     6.995
  -121.15    38.73    1990   2.274   0.980   3.722     6.977
  -121.15    38.73    1991   2.315   0.958   3.717     6.991
  -121.15    38.73    1992   2.275   0.959   3.716     6.950
  -121.15    38.73    1993   2.159   1.009   3.715     6.883
  -121.15    38.73    1994   1.707   1.360   3.713     6.780
  -121.15    38.73    1995   1.766   1.342   3.709     6.817
  -121.15    38.73    1996   1.733   1.384   3.698     6.815
  -121.15    38.73    1997   1.793   1.358   3.690     6.841
  -121.15    38.73    1998   1.887   1.327   3.683     6.898
  -121.15    38.73    1999   1.953   1.301   3.676     6.930
  -121.15    38.73    2000   1.968   1.305   3.671     6.944
  -121.15    38.73    2001   1.996   1.254   3.669     6.919
  -121.15    38.73    2002   2.035   1.225   3.666     6.927
  -121.15    38.73    2003   1.556   1.664   3.659     6.880
  -121.15    38.73    2004   1.555   1.574   3.662     6.791
  -121.15    38.73    2005   1.558   1.538   3.661     6.757
  -121.15    38.73    2006   1.628   1.523   3.654     6.805
  -121.15    38.73    2007   1.739   1.463   3.664     6.867
  -121.15    38.73    2008   1.900   1.435   3.663     6.997
  -121.15    38.73    2009   2.012   1.416   3.668     7.096
  -121.15    38.73    2010   1.923   1.401   3.675     6.999
  -121.15    38.73    2011   1.845   1.390   3.683     6.919
  -121.15    38.73    2012   1.945   1.324   3.682     6.951
  -121.15    38.73    2013   1.903   1.341   3.682     6.926
  -121.15    38.73    2014   1.975   1.321   3.675     6.970
  -121.15    38.73    2015   2.043   1.293   3.676     7.011
  -121.15    38.73    2016   2.085   1.280   3.681     7.046
  -121.15    38.73    2017   2.028   1.246   3.688     6.962
  -121.15    38.73    2018   2.190   1.179   3.685     7.054
  -121.15    38.73    2019   2.303   1.192   3.681     7.175
  -121.15    38.73    2020   2.248   1.329   3.677     7.254
  -121.15    38.73    2021   2.233   1.325   3.680     7.239
  -121.15    38.73    2022   2.299   1.288   3.683     7.270
  -121.15    38.73    2023   2.307   1.303   3.683     7.293
  -121.15    38.73    2024   2.274   1.269   3.684     7.226
  -121.15    38.73    2025   2.375   1.236   3.682     7.293
  -121.15    38.73    2026   2.225   1.274   3.684     7.182
  -121.15    38.73    2027   2.088   1.338   3.685     7.110
  -121.15    38.73    2028   2.141   1.287   3.680     7.108
  -121.15    38.73    2029   2.321   1.235   3.672     7.228
  -121.15    38.73    2030   2.349   1.244   3.667     7.260
  -121.15    38.73    2031   2.395   1.179   3.667     7.241
  -121.15    38.73    2032   2.428   1.196   3.667     7.291
  -121.15    38.73    2033   2.390   1.165   3.666     7.222
  -121.15    38.73    2034   2.447   1.162   3.665     7.274
  -121.15    38.73    2035   2.510   1.119   3.659     7.288
  -121.15    38.73    2036   2.455   1.098   3.655     7.208
  -121.15    38.73    2037   2.556   1.106   3.652     7.314
  -121.15    38.73    2038   1.953   1.707   3.649     7.309
  -121.15    38.73    2039   1.993   1.632   3.662     7.286
  -121.15    38.73    2040   2.157   1.526   3.662     7.345
  -121.15    38.73    2041   2.195   1.587   3.659     7.441
  -121.15    38.73    2042   2.204   1.587   3.676     7.467
  -121.15    38.73    2043   2.334   1.549   3.682     7.565
  -121.15    38.73    2044   2.333   1.502   3.692     7.527
  -121.15    38.73    2045   2.383   1.478   3.699     7.560
  -121.15    38.73    2046   2.387   1.443   3.702     7.532
  -121.15    38.73    2047   2.386   1.413   3.705     7.504
  -121.15    38.73    2048   2.363   1.371   3.706     7.440
  -121.15    38.73    2049   2.487   1.348   3.703     7.538
  -121.15    38.73    2050   2.471   1.317   3.704     7.491
  -121.15    38.73    2051   2.297   1.316   3.704     7.317
  -121.15    38.73    2052   2.407   1.309   3.700     7.416
  -121.15    38.73    2053   2.588   1.287   3.695     7.570
  -121.15    38.73    2054   2.671   1.309   3.691     7.671
  -121.15    38.73    2055   2.715   1.277   3.696     7.688
  -121.15    38.73    2056   2.665   1.298   3.700     7.663
  -121.15    38.73    2057   2.589   1.266   3.702     7.556
  -121.15    38.73    2058   2.614   1.230   3.698     7.542
  -121.15    38.73    2059   2.731   1.243   3.688     7.662
  -121.15    38.73    2060   2.914   1.236   3.686     7.836
  -121.15    38.73    2061   2.950   1.247   3.686     7.883
  -121.15    38.73    2062   3.004   1.205   3.691     7.901
  -121.15    38.73    2063   2.973   1.269   3.679     7.920
  -121.15    38.73    2064   2.925   1.259   3.675     7.859
  -121.15    38.73    2065   2.930   1.195   3.675     7.800
  -121.15    38.73    2066   2.857   1.192   3.670     7.718
  -121.15    38.73    2067   2.991   1.158   3.658     7.807
  -121.15    38.73    2068   2.971   1.199   3.654     7.824
  -121.15    38.73    2069   2.972   1.186   3.653     7.811
  -121.15    38.73    2070   3.024   1.128   3.651     7.802
  -121.15    38.73    2071   3.106   1.085   3.649     7.840
  -121.15    38.73    2072   2.533   1.798   3.647     7.979
  -121.15    38.73    2073   2.597   1.696   3.665     7.957
