      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    87.5     0.0     0.8    88.3
  -121.15    38.73    1951   408.2    11.3     4.8   424.2
  -121.15    38.73    1952   189.5    17.4     5.9   212.7
  -121.15    38.73    1953   153.6     0.0     0.1   153.8
  -121.15    38.73    1954   145.9     0.0     1.2   147.1
  -121.15    38.73    1955   155.2     0.0     0.2   155.5
  -121.15    38.73    1956   117.7     0.0     0.0   117.7
  -121.15    38.73    1957   209.3     0.0     0.1   209.3
  -121.15    38.73    1958   230.8     0.0     0.6   231.4
  -121.15    38.73    1959    20.0     0.0     0.0    20.0
  -121.15    38.73    1960   194.8     0.0     0.6   195.4
  -121.15    38.73    1961   250.0     0.0     0.3   250.3
  -121.15    38.73    1962    86.8     0.0     0.0    86.8
  -121.15    38.73    1963   430.5     0.0     1.2   431.7
  -121.15    38.73    1964    85.7     0.0     0.1    85.8
  -121.15    38.73    1965   165.5     0.0     0.1   165.6
  -121.15    38.73    1966    78.0     0.0     0.1    78.1
  -121.15    38.73    1967   227.7     0.0     0.2   227.9
  -121.15    38.73    1968   225.7     0.0     0.4   226.0
  -121.15    38.73    1969   264.4     0.0     0.0   264.4
  -121.15    38.73    1970   128.4     0.0     0.0   128.4
  -121.15    38.73    1971    22.0     0.0     0.0    22.0
  -121.15    38.73    1972   273.9     0.0     0.5   274.4
  -121.15    38.73    1973   253.8     0.0     0.2   254.1
  -121.15    38.73    1974   374.2     0.0     1.5   375.7
  -121.15    38.73    1975    36.3     0.0     0.4    36.8
  -121.15    38.73    1976   170.9     0.0     0.1   171.0
  -121.15    38.73    1977   189.4     0.0     0.7   190.1
  -121.15    38.73    1978   114.1     0.0     0.1   114.2
  -121.15    38.73    1979   211.0     0.0     0.1   211.1
  -121.15    38.73    1980   108.2     0.5     1.1   109.8
  -121.15    38.73    1981   683.6    28.6     4.8   717.0
  -121.15    38.73    1982    53.9     1.9     1.6    57.5
  -121.15    38.73    1983    66.2     0.0     0.9    67.1
  -121.15    38.73    1984   526.7     0.0     3.0   529.8
  -121.15    38.73    1985   115.2     0.0     0.2   115.3
  -121.15    38.73    1986   328.4     0.0     0.5   328.9
  -121.15    38.73    1987   373.4     0.0     2.5   375.8
  -121.15    38.73    1988   104.8     0.0     0.0   104.8
  -121.15    38.73    1989   245.3     0.0     0.0   245.3
  -121.15    38.73    1990   105.0     0.0     0.1   105.2
