      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.072   0.010   0.073   0.005   0.104   0.180   2.321   2.766
  -121.15    38.73    1951   0.128   0.006   0.010   0.004   0.096   0.162   2.317   2.724
  -121.15    38.73    1952   0.117   0.009   0.013   0.008   0.105   0.145   2.255   2.652
  -121.15    38.73    1953   0.133   0.004   0.008   0.007   0.106   0.130   2.193   2.580
  -121.15    38.73    1954   0.161   0.201   0.243   0.008   0.111   0.113   2.128   2.965
  -121.15    38.73    1955   0.105   0.003   0.005   0.008   0.123   0.275   2.291   2.810
  -121.15    38.73    1956   0.109   0.004   0.007   0.008   0.116   0.217   2.209   2.670
  -121.15    38.73    1957   0.167   0.008   0.013   0.006   0.113   0.187   2.142   2.637
  -121.15    38.73    1958   0.145   0.005   0.009   0.009   0.126   0.166   2.083   2.543
  -121.15    38.73    1959   0.165   0.005   0.009   0.007   0.132   0.143   2.019   2.481
  -121.15    38.73    1960   0.170   0.007   0.011   0.009   0.142   0.126   1.960   2.424
  -121.15    38.73    1961   0.148   0.005   0.011   0.012   0.155   0.114   1.912   2.356
  -121.15    38.73    1962   0.134   0.007   0.014   0.007   0.148   0.100   1.854   2.264
  -121.15    38.73    1963   0.118   0.011   0.022   0.009   0.146   0.091   1.808   2.204
  -121.15    38.73    1964   0.134   0.017   0.033   0.007   0.141   0.087   1.771   2.191
  -121.15    38.73    1965   0.123   0.013   0.024   0.008   0.141   0.089   1.747   2.145
  -121.15    38.73    1966   0.125   0.007   0.015   0.007   0.136   0.087   1.711   2.088
  -121.15    38.73    1967   0.125   0.006   0.014   0.007   0.133   0.080   1.667   2.032
  -121.15    38.73    1968   0.119   0.007   0.014   0.007   0.131   0.072   1.626   1.977
  -121.15    38.73    1969   0.126   0.006   0.012   0.008   0.131   0.068   1.588   1.938
  -121.15    38.73    1970   0.125   0.011   0.026   0.007   0.131   0.063   1.547   1.910
  -121.15    38.73    1971   0.124   0.015   0.032   0.006   0.127   0.062   1.519   1.886
  -121.15    38.73    1972   0.121   0.009   0.019   0.006   0.126   0.066   1.497   1.844
  -121.15    38.73    1973   0.128   0.009   0.019   0.005   0.122   0.063   1.460   1.807
  -121.15    38.73    1974   0.155   0.276   0.658   0.007   0.124   0.062   1.430   2.713
  -121.15    38.73    1975   0.102   0.004   0.009   0.006   0.130   0.297   2.021   2.570
  -121.15    38.73    1976   0.097   0.008   0.022   0.005   0.119   0.229   1.942   2.422
  -121.15    38.73    1977   0.143   0.009   0.026   0.005   0.114   0.203   1.901   2.401
  -121.15    38.73    1978   0.136   0.263   0.648   0.006   0.117   0.178   1.859   3.206
  -121.15    38.73    1979   0.091   0.005   0.014   0.006   0.118   0.381   2.424   3.039
  -121.15    38.73    1980   0.095   0.007   0.018   0.006   0.111   0.308   2.345   2.891
  -121.15    38.73    1981   0.164   0.002   0.009   0.004   0.104   0.263   2.277   2.823
  -121.15    38.73    1982   0.133   0.010   0.018   0.008   0.118   0.224   2.209   2.720
  -121.15    38.73    1983   0.132   0.009   0.023   0.007   0.120   0.195   2.149   2.635
  -121.15    38.73    1984   0.139   0.010   0.022   0.005   0.119   0.170   2.092   2.558
  -121.15    38.73    1985   0.140   0.008   0.092   0.007   0.125   0.152   2.042   2.565
  -121.15    38.73    1986   0.127   0.005   0.011   0.006   0.125   0.134   2.058   2.467
  -121.15    38.73    1987   0.122   0.021   0.040   0.006   0.123   0.117   1.996   2.426
  -121.15    38.73    1988   0.122   0.004   0.007   0.006   0.120   0.117   1.965   2.340
  -121.15    38.73    1989   0.122   0.010   0.020   0.008   0.122   0.104   1.911   2.298
  -121.15    38.73    1990   0.119   0.008   0.022   0.006   0.119   0.096   1.862   2.232
  -121.15    38.73    1991   0.112   0.003   0.014   0.006   0.116   0.087   1.817   2.156
  -121.15    38.73    1992   0.106   0.011   0.036   0.008   0.115   0.077   1.774   2.127
  -121.15    38.73    1993   0.092   0.016   0.138   0.007   0.111   0.076   1.753   2.193
  -121.15    38.73    1994   0.084   0.050   0.340   0.006   0.105   0.079   1.833   2.498
  -121.15    38.73    1995   0.061   0.011   0.037   0.005   0.097   0.112   2.103   2.426
  -121.15    38.73    1996   0.085   0.010   0.031   0.002   0.085   0.102   2.058   2.372
  -121.15    38.73    1997   0.094   0.002   0.004   0.005   0.083   0.095   2.018   2.300
