      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.036   0.005   0.037   0.002   0.052   0.090   1.161   1.383
  -121.15    38.73    1951   0.064   0.003   0.005   0.002   0.048   0.081   1.159   1.362
  -121.15    38.73    1952   0.058   0.004   0.007   0.004   0.053   0.072   1.128   1.326
  -121.15    38.73    1953   0.066   0.002   0.004   0.003   0.053   0.065   1.096   1.290
  -121.15    38.73    1954   0.080   0.100   0.121   0.004   0.056   0.057   1.064   1.483
  -121.15    38.73    1955   0.053   0.001   0.003   0.004   0.062   0.137   1.146   1.405
  -121.15    38.73    1956   0.054   0.002   0.003   0.004   0.058   0.108   1.105   1.335
  -121.15    38.73    1957   0.083   0.004   0.006   0.003   0.057   0.094   1.071   1.318
  -121.15    38.73    1958   0.072   0.003   0.004   0.005   0.063   0.083   1.042   1.272
  -121.15    38.73    1959   0.083   0.003   0.004   0.004   0.066   0.072   1.010   1.240
  -121.15    38.73    1960   0.085   0.004   0.005   0.004   0.071   0.063   0.980   1.212
  -121.15    38.73    1961   0.074   0.002   0.005   0.006   0.077   0.057   0.956   1.178
  -121.15    38.73    1962   0.067   0.003   0.007   0.004   0.074   0.050   0.927   1.132
  -121.15    38.73    1963   0.059   0.005   0.011   0.004   0.073   0.045   0.904   1.102
  -121.15    38.73    1964   0.067   0.008   0.017   0.004   0.070   0.044   0.886   1.096
  -121.15    38.73    1965   0.061   0.006   0.012   0.004   0.071   0.045   0.873   1.072
  -121.15    38.73    1966   0.062   0.004   0.007   0.003   0.068   0.043   0.856   1.044
  -121.15    38.73    1967   0.063   0.003   0.007   0.003   0.067   0.040   0.834   1.016
  -121.15    38.73    1968   0.060   0.003   0.007   0.004   0.066   0.036   0.813   0.988
  -121.15    38.73    1969   0.063   0.003   0.006   0.004   0.065   0.034   0.794   0.969
  -121.15    38.73    1970   0.062   0.005   0.013   0.004   0.065   0.031   0.774   0.955
  -121.15    38.73    1971   0.062   0.007   0.016   0.003   0.064   0.031   0.760   0.943
  -121.15    38.73    1972   0.060   0.005   0.009   0.003   0.063   0.033   0.749   0.922
  -121.15    38.73    1973   0.064   0.005   0.010   0.002   0.061   0.031   0.730   0.903
  -121.15    38.73    1974   0.077   0.138   0.329   0.004   0.062   0.031   0.715   1.356
  -121.15    38.73    1975   0.051   0.002   0.005   0.003   0.065   0.148   1.011   1.285
  -121.15    38.73    1976   0.048   0.004   0.011   0.003   0.060   0.115   0.971   1.211
  -121.15    38.73    1977   0.072   0.004   0.013   0.003   0.057   0.102   0.950   1.200
  -121.15    38.73    1978   0.068   0.131   0.324   0.003   0.058   0.089   0.929   1.603
  -121.15    38.73    1979   0.046   0.002   0.007   0.003   0.059   0.191   1.212   1.520
  -121.15    38.73    1980   0.048   0.003   0.009   0.003   0.056   0.154   1.173   1.445
  -121.15    38.73    1981   0.082   0.001   0.005   0.002   0.052   0.131   1.138   1.411
  -121.15    38.73    1982   0.067   0.005   0.009   0.004   0.059   0.112   1.104   1.360
  -121.15    38.73    1983   0.066   0.004   0.012   0.003   0.060   0.098   1.075   1.318
  -121.15    38.73    1984   0.069   0.005   0.011   0.003   0.060   0.085   1.046   1.279
  -121.15    38.73    1985   0.070   0.004   0.046   0.003   0.062   0.076   1.021   1.283
  -121.15    38.73    1986   0.064   0.003   0.006   0.003   0.063   0.067   1.029   1.234
  -121.15    38.73    1987   0.061   0.010   0.020   0.003   0.062   0.059   0.998   1.213
  -121.15    38.73    1988   0.061   0.002   0.003   0.003   0.060   0.058   0.982   1.170
  -121.15    38.73    1989   0.061   0.005   0.010   0.004   0.061   0.052   0.955   1.149
  -121.15    38.73    1990   0.060   0.004   0.011   0.003   0.059   0.048   0.931   1.116
  -121.15    38.73    1991   0.056   0.002   0.007   0.003   0.058   0.044   0.909   1.078
  -121.15    38.73    1992   0.053   0.006   0.018   0.004   0.057   0.039   0.887   1.063
  -121.15    38.73    1993   0.046   0.008   0.069   0.003   0.056   0.038   0.876   1.097
  -121.15    38.73    1994   0.042   0.025   0.170   0.003   0.053   0.040   0.916   1.249
  -121.15    38.73    1995   0.030   0.005   0.018   0.002   0.049   0.056   1.052   1.213
  -121.15    38.73    1996   0.043   0.005   0.015   0.001   0.042   0.051   1.029   1.186
  -121.15    38.73    1997   0.047   0.001   0.002   0.002   0.041   0.047   1.009   1.150
  -121.15    38.73    1998   0.054   0.002   0.005   0.003   0.042   0.041   0.977   1.122
  -121.15    38.73    1999   0.057   0.004   0.009   0.003   0.043   0.035   0.947   1.098
  -121.15    38.73    2000   0.061   0.001   0.003   0.003   0.044   0.034   0.923   1.070
  -121.15    38.73    2001   0.061   0.004   0.008   0.003   0.047   0.029   0.893   1.044
  -121.15    38.73    2002   0.058   0.001   0.004   0.004   0.049   0.028   0.872   1.017
  -121.15    38.73    2003   0.058   0.005   0.013   0.002   0.047   0.024   0.840   0.989
  -121.15    38.73    2004   0.060   0.011   0.030   0.002   0.046   0.025   0.821   0.995
  -121.15    38.73    2005   0.058   0.006   0.021   0.003   0.048   0.030   0.821   0.989
  -121.15    38.73    2006   0.055   0.008   0.016   0.002   0.046   0.031   0.810   0.969
  -121.15    38.73    2007   0.060   0.007   0.012   0.003   0.047   0.033   0.796   0.958
  -121.15    38.73    2008   0.068   0.003   0.004   0.003   0.047   0.034   0.779   0.937
  -121.15    38.73    2009   0.074   0.006   0.011   0.004   0.052   0.031   0.758   0.936
  -121.15    38.73    2010   0.067   0.003   0.009   0.005   0.056   0.032   0.745   0.917
  -121.15    38.73    2011   0.057   0.005   0.013   0.004   0.057   0.030   0.729   0.895
  -121.15    38.73    2012   0.054   0.007   0.014   0.002   0.052   0.029   0.712   0.870
  -121.15    38.73    2013   0.058   0.008   0.013   0.003   0.051   0.030   0.700   0.863
  -121.15    38.73    2014   0.061   0.012   0.028   0.002   0.048   0.031   0.682   0.864
  -121.15    38.73    2015   0.065   0.003   0.009   0.003   0.049   0.037   0.685   0.850
  -121.15    38.73    2016   0.062   0.003   0.009   0.003   0.051   0.034   0.670   0.831
  -121.15    38.73    2017   0.059   0.008   0.018   0.003   0.052   0.031   0.655   0.825
  -121.15    38.73    2018   0.054   0.006   0.019   0.002   0.049   0.032   0.646   0.807
  -121.15    38.73    2019   0.064   0.010   0.027   0.002   0.047   0.032   0.640   0.822
  -121.15    38.73    2020   0.064   0.004   0.013   0.003   0.048   0.035   0.642   0.807
  -121.15    38.73    2021   0.061   0.003   0.020   0.003   0.049   0.032   0.632   0.802
  -121.15    38.73    2022   0.057   0.016   0.046   0.003   0.049   0.030   0.629   0.829
  -121.15    38.73    2023   0.058   0.007   0.045   0.003   0.048   0.039   0.651   0.851
  -121.15    38.73    2024   0.059   0.011   0.105   0.003   0.048   0.039   0.671   0.935
  -121.15    38.73    2025   0.055   0.004   0.022   0.003   0.047   0.043   0.749   0.923
  -121.15    38.73    2026   0.058   0.011   0.061   0.003   0.047   0.040   0.746   0.966
  -121.15    38.73    2027   0.049   0.017   0.329   0.003   0.047   0.043   0.782   1.270
  -121.15    38.73    2028   0.045   0.027   0.590   0.002   0.044   0.051   1.073   1.831
  -121.15    38.73    2029   0.047   0.001   0.005   0.002   0.040   0.065   1.605   1.764
  -121.15    38.73    2030   0.061   0.008   0.021   0.002   0.039   0.054   1.550   1.735
  -121.15    38.73    2031   0.056   0.006   0.010   0.002   0.041   0.052   1.511   1.677
  -121.15    38.73    2032   0.057   0.005   0.007   0.003   0.042   0.049   1.470   1.633
  -121.15    38.73    2033   0.057   0.002   0.004   0.003   0.043   0.045   1.425   1.579
  -121.15    38.73    2034   0.052   0.001   0.002   0.003   0.043   0.039   1.377   1.518
  -121.15    38.73    2035   0.059   0.004   0.010   0.002   0.040   0.033   1.322   1.469
  -121.15    38.73    2036   0.061   0.012   0.023   0.002   0.041   0.031   1.281   1.451
  -121.15    38.73    2037   0.055   0.028   0.089   0.003   0.042   0.036   1.257   1.510
  -121.15    38.73    2038   0.064   0.003   0.007   0.003   0.042   0.055   1.297   1.470
  -121.15    38.73    2039   0.061   0.002   0.002   0.003   0.044   0.049   1.259   1.421
  -121.15    38.73    2040   0.065   0.005   0.008   0.003   0.045   0.042   1.215   1.383
  -121.15    38.73    2041   0.069   0.016   0.028   0.003   0.045   0.039   1.177   1.378
  -121.15    38.73    2042   0.068   0.002   0.002   0.003   0.048   0.047   1.162   1.332
  -121.15    38.73    2043   0.066   0.012   0.020   0.002   0.047   0.040   1.117   1.303
  -121.15    38.73    2044   0.068   0.008   0.014   0.003   0.048   0.044   1.097   1.282
