      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.776   2.899   7.783    12.459
  -121.15    38.73    1951   1.955   2.895   7.767    12.617
  -121.15    38.73    1952   2.219   2.804   7.775    12.799
  -121.15    38.73    1953   2.296   2.742   7.768    12.807
  -121.15    38.73    1954   2.021   3.164   7.767    12.952
  -121.15    38.73    1955   2.055   2.957   7.785    12.797
  -121.15    38.73    1956   2.180   2.837   7.779    12.796
  -121.15    38.73    1957   2.267   2.849   7.777    12.893
  -121.15    38.73    1958   2.568   2.706   7.798    13.072
  -121.15    38.73    1959   2.740   2.649   7.793    13.182
  -121.15    38.73    1960   2.913   2.604   7.795    13.312
  -121.15    38.73    1961   2.887   2.542   7.810    13.238
  -121.15    38.73    1962   2.735   2.464   7.807    13.006
  -121.15    38.73    1963   2.977   2.380   7.816    13.173
  -121.15    38.73    1964   3.077   2.358   7.811    13.246
  -121.15    38.73    1965   3.142   2.317   7.806    13.265
  -121.15    38.73    1966   3.291   2.267   7.799    13.357
  -121.15    38.73    1967   3.276   2.208   7.793    13.277
  -121.15    38.73    1968   3.405   2.149   7.787    13.341
  -121.15    38.73    1969   3.552   2.111   7.782    13.445
  -121.15    38.73    1970   3.590   2.086   7.775    13.450
  -121.15    38.73    1971   3.661   2.061   7.764    13.486
  -121.15    38.73    1972   3.786   2.012   7.754    13.553
  -121.15    38.73    1973   3.991   1.977   7.736    13.704
  -121.15    38.73    1974   3.232   2.914   7.730    13.876
  -121.15    38.73    1975   3.297   2.735   7.741    13.773
  -121.15    38.73    1976   3.455   2.582   7.737    13.774
  -121.15    38.73    1977   3.343   2.627   7.731    13.700
  -121.15    38.73    1978   2.480   3.429   7.746    13.655
  -121.15    38.73    1979   2.663   3.193   7.764    13.621
  -121.15    38.73    1980   2.945   3.039   7.762    13.746
  -121.15    38.73    1981   3.042   3.044   7.748    13.835
  -121.15    38.73    1982   3.135   2.904   7.774    13.814
  -121.15    38.73    1983   3.183   2.828   7.776    13.787
  -121.15    38.73    1984   3.506   2.743   7.775    14.024
  -121.15    38.73    1985   3.411   2.751   7.778    13.941
  -121.15    38.73    1986   3.481   2.667   7.777    13.924
  -121.15    38.73    1987   3.578   2.614   7.778    13.970
  -121.15    38.73    1988   3.733   2.522   7.774    14.029
  -121.15    38.73    1989   3.826   2.492   7.776    14.095
