      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.888   1.450   3.892     6.229
  -121.15    38.73    1951   0.978   1.447   3.884     6.309
  -121.15    38.73    1952   1.110   1.402   3.888     6.399
  -121.15    38.73    1953   1.148   1.371   3.884     6.403
  -121.15    38.73    1954   1.010   1.582   3.884     6.476
  -121.15    38.73    1955   1.028   1.478   3.893     6.398
  -121.15    38.73    1956   1.090   1.418   3.890     6.398
  -121.15    38.73    1957   1.134   1.424   3.889     6.447
  -121.15    38.73    1958   1.284   1.353   3.899     6.536
  -121.15    38.73    1959   1.370   1.325   3.897     6.591
  -121.15    38.73    1960   1.456   1.302   3.898     6.656
  -121.15    38.73    1961   1.444   1.271   3.905     6.619
  -121.15    38.73    1962   1.367   1.232   3.904     6.503
  -121.15    38.73    1963   1.489   1.190   3.908     6.586
  -121.15    38.73    1964   1.538   1.179   3.905     6.623
  -121.15    38.73    1965   1.571   1.159   3.903     6.633
  -121.15    38.73    1966   1.646   1.133   3.899     6.678
  -121.15    38.73    1967   1.638   1.104   3.896     6.639
  -121.15    38.73    1968   1.703   1.074   3.894     6.670
  -121.15    38.73    1969   1.776   1.055   3.891     6.723
  -121.15    38.73    1970   1.795   1.043   3.887     6.725
  -121.15    38.73    1971   1.830   1.031   3.882     6.743
  -121.15    38.73    1972   1.893   1.006   3.877     6.776
  -121.15    38.73    1973   1.996   0.989   3.868     6.852
  -121.15    38.73    1974   1.616   1.457   3.865     6.938
  -121.15    38.73    1975   1.649   1.367   3.871     6.887
  -121.15    38.73    1976   1.727   1.291   3.868     6.887
  -121.15    38.73    1977   1.671   1.313   3.865     6.850
  -121.15    38.73    1978   1.240   1.714   3.873     6.827
  -121.15    38.73    1979   1.332   1.597   3.882     6.811
  -121.15    38.73    1980   1.472   1.520   3.881     6.873
  -121.15    38.73    1981   1.521   1.522   3.874     6.917
  -121.15    38.73    1982   1.568   1.452   3.887     6.907
  -121.15    38.73    1983   1.592   1.414   3.888     6.893
  -121.15    38.73    1984   1.753   1.371   3.887     7.012
  -121.15    38.73    1985   1.706   1.376   3.889     6.970
  -121.15    38.73    1986   1.740   1.333   3.888     6.962
  -121.15    38.73    1987   1.789   1.307   3.889     6.985
  -121.15    38.73    1988   1.866   1.261   3.887     7.014
  -121.15    38.73    1989   1.913   1.246   3.888     7.047
  -121.15    38.73    1990   1.952   1.211   3.886     7.048
  -121.15    38.73    1991   1.960   1.171   3.882     7.013
  -121.15    38.73    1992   1.897   1.163   3.882     6.942
  -121.15    38.73    1993   1.778   1.193   3.882     6.852
  -121.15    38.73    1994   1.472   1.348   3.879     6.700
  -121.15    38.73    1995   1.605   1.280   3.876     6.761
  -121.15    38.73    1996   1.679   1.249   3.857     6.785
  -121.15    38.73    1997   1.788   1.223   3.845     6.857
  -121.15    38.73    1998   1.882   1.197   3.838     6.918
  -121.15    38.73    1999   1.958   1.179   3.830     6.967
  -121.15    38.73    2000   2.027   1.156   3.826     7.008
  -121.15    38.73    2001   2.055   1.125   3.821     7.000
  -121.15    38.73    2002   2.053   1.107   3.820     6.979
  -121.15    38.73    2003   2.082   1.076   3.811     6.969
  -121.15    38.73    2004   2.112   1.076   3.804     6.992
  -121.15    38.73    2005   2.035   1.071   3.801     6.906
  -121.15    38.73    2006   2.108   1.055   3.792     6.955
  -121.15    38.73    2007   2.220   1.041   3.789     7.049
  -121.15    38.73    2008   2.455   1.021   3.783     7.259
  -121.15    38.73    2009   2.509   1.022   3.784     7.315
  -121.15    38.73    2010   2.432   1.012   3.787     7.230
  -121.15    38.73    2011   2.391   0.988   3.790     7.169
  -121.15    38.73    2012   2.487   0.950   3.781     7.218
  -121.15    38.73    2013   2.520   0.939   3.775     7.234
  -121.15    38.73    2014   2.626   0.943   3.761     7.331
  -121.15    38.73    2015   2.675   0.934   3.757     7.366
  -121.15    38.73    2016   2.713   0.921   3.756     7.390
  -121.15    38.73    2017   2.655   0.915   3.756     7.326
  -121.15    38.73    2018   2.822   0.893   3.749     7.465
  -121.15    38.73    2019   2.914   0.899   3.744     7.557
  -121.15    38.73    2020   2.967   0.890   3.737     7.594
