      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950   119.5     0.0     0.9   120.4
  -121.15    38.73    1951   434.4    11.2     5.5   451.1
  -121.15    38.73    1952   206.9    18.9    10.2   236.1
  -121.15    38.73    1953   173.8     0.0     0.2   174.0
  -121.15    38.73    1954   185.2     0.0     1.5   186.7
  -121.15    38.73    1955   197.2     0.0     0.2   197.4
  -121.15    38.73    1956   150.4     0.0     1.3   151.7
  -121.15    38.73    1957   297.9    11.2     2.7   311.8
  -121.15    38.73    1958   290.1     6.9     6.0   303.1
  -121.15    38.73    1959    59.9     0.0     0.6    60.5
  -121.15    38.73    1960   256.7     0.0     0.8   257.5
  -121.15    38.73    1961   277.7     0.0     0.2   277.9
  -121.15    38.73    1962    51.3     0.0     0.0    51.3
  -121.15    38.73    1963   486.7     0.0     1.3   488.1
  -121.15    38.73    1964   115.2     0.0     0.1   115.4
  -121.15    38.73    1965   214.8     0.0     0.1   214.9
  -121.15    38.73    1966    66.5     0.0     0.2    66.6
  -121.15    38.73    1967   305.4     0.0     0.2   305.6
  -121.15    38.73    1968   265.5     0.0     0.3   265.8
  -121.15    38.73    1969   367.5     0.0     0.0   367.5
  -121.15    38.73    1970   126.4     0.0     0.0   126.4
  -121.15    38.73    1971    44.9     0.0     0.0    45.0
  -121.15    38.73    1972   364.5     0.0     0.4   364.9
  -121.15    38.73    1973   300.0     0.0     0.3   300.2
  -121.15    38.73    1974   435.9     0.0     2.5   438.4
  -121.15    38.73    1975    53.8     0.0     0.5    54.3
  -121.15    38.73    1976   159.1    18.0     1.8   178.9
  -121.15    38.73    1977   265.6    23.6     3.6   292.8
  -121.15    38.73    1978   153.1     0.0     2.3   155.4
  -121.15    38.73    1979   129.3     3.2     2.9   135.3
  -121.15    38.73    1980   100.2     3.5     4.0   107.7
  -121.15    38.73    1981   648.4    29.1     4.5   682.0
  -121.15    38.73    1982    38.1     3.6     1.5    43.2
