      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.074   0.010   0.073   0.005   0.104   0.180   2.320   2.766
  -121.15    38.73    1951   0.120   0.006   0.010   0.004   0.096   0.162   2.314   2.712
  -121.15    38.73    1952   0.110   0.009   0.015   0.007   0.102   0.143   2.247   2.632
  -121.15    38.73    1953   0.128   0.004   0.010   0.006   0.102   0.128   2.184   2.563
  -121.15    38.73    1954   0.135   0.006   0.009   0.006   0.107   0.111   2.118   2.492
  -121.15    38.73    1955   0.127   0.003   0.006   0.007   0.113   0.098   2.054   2.409
  -121.15    38.73    1956   0.128   0.005   0.012   0.009   0.116   0.086   1.998   2.354
  -121.15    38.73    1957   0.120   0.008   0.015   0.006   0.114   0.076   1.936   2.275
  -121.15    38.73    1958   0.133   0.010   0.015   0.006   0.115   0.071   1.883   2.233
  -121.15    38.73    1959   0.144   0.003   0.009   0.006   0.119   0.068   1.832   2.181
  -121.15    38.73    1960   0.143   0.003   0.007   0.007   0.122   0.060   1.776   2.116
  -121.15    38.73    1961   0.133   0.010   0.021   0.009   0.129   0.053   1.725   2.079
  -121.15    38.73    1962   0.124   0.007   0.016   0.006   0.125   0.053   1.683   2.014
  -121.15    38.73    1963   0.117   0.011   0.021   0.007   0.123   0.051   1.642   1.971
  -121.15    38.73    1964   0.127   0.007   0.018   0.006   0.120   0.053   1.607   1.938
  -121.15    38.73    1965   0.123   0.010   0.024   0.007   0.120   0.051   1.569   1.904
  -121.15    38.73    1966   0.124   0.011   0.020   0.006   0.117   0.052   1.537   1.867
  -121.15    38.73    1967   0.126   0.006   0.017   0.006   0.116   0.053   1.502   1.827
  -121.15    38.73    1968   0.119   0.010   0.026   0.007   0.116   0.051   1.469   1.799
  -121.15    38.73    1969   0.117   0.016   0.035   0.006   0.114   0.052   1.443   1.782
  -121.15    38.73    1970   0.116   0.010   0.026   0.006   0.112   0.058   1.427   1.754
  -121.15    38.73    1971   0.115   0.015   0.035   0.005   0.108   0.056   1.399   1.733
  -121.15    38.73    1972   0.114   0.011   0.026   0.006   0.107   0.060   1.385   1.709
  -121.15    38.73    1973   0.119   0.004   0.012   0.004   0.104   0.060   1.358   1.661
  -121.15    38.73    1974   0.129   0.010   0.021   0.006   0.105   0.054   1.322   1.648
  -121.15    38.73    1975   0.133   0.003   0.010   0.006   0.107   0.054   1.294   1.607
  -121.15    38.73    1976   0.129   0.004   0.015   0.006   0.109   0.047   1.257   1.568
  -121.15    38.73    1977   0.120   0.015   0.101   0.007   0.110   0.043   1.229   1.624
  -121.15    38.73    1978   0.138   0.239   0.406   0.005   0.105   0.049   1.280   2.221
  -121.15    38.73    1979   0.095   0.013   0.046   0.005   0.106   0.251   1.626   2.142
  -121.15    38.73    1980   0.093   0.016   0.061   0.006   0.100   0.204   1.604   2.085
  -121.15    38.73    1981   0.145   0.007   0.028   0.004   0.093   0.186   1.604   2.068
  -121.15    38.73    1982   0.123   0.001   0.006   0.006   0.101   0.162   1.573   1.974
  -121.15    38.73    1983   0.131   0.012   0.030   0.005   0.103   0.136   1.521   1.939
  -121.15    38.73    1984   0.144   0.006   0.014   0.005   0.105   0.124   1.492   1.889
  -121.15    38.73    1985   0.147   0.022   0.057   0.007   0.114   0.109   1.453   1.907
  -121.15    38.73    1986   0.134   0.006   0.018   0.007   0.118   0.111   1.457   1.852
  -121.15    38.73    1987   0.123   0.019   0.050   0.006   0.118   0.098   1.423   1.837
  -121.15    38.73    1988   0.121   0.013   0.074   0.006   0.114   0.098   1.420   1.845
  -121.15    38.73    1989   0.118   0.024   0.048   0.007   0.113   0.095   1.445   1.850
  -121.15    38.73    1990   0.116   0.018   0.042   0.005   0.108   0.099   1.436   1.824
  -121.15    38.73    1991   0.110   0.010   0.035   0.005   0.104   0.098   1.423   1.785
  -121.15    38.73    1992   0.106   0.007   0.047   0.007   0.103   0.093   1.411   1.774
  -121.15    38.73    1993   0.101   0.020   0.149   0.006   0.100   0.085   1.411   1.873
  -121.15    38.73    1994   0.089   0.061   0.731   0.006   0.098   0.090   1.510   2.585
  -121.15    38.73    1995   0.072   0.020   0.085   0.005   0.091   0.130   2.173   2.575
  -121.15    38.73    1996   0.082   0.013   0.206   0.002   0.080   0.124   2.168   2.676
  -121.15    38.73    1997   0.087   0.009   0.026   0.004   0.078   0.115   2.293   2.611
  -121.15    38.73    1998   0.094   0.016   0.030   0.004   0.075   0.102   2.232   2.553
  -121.15    38.73    1999   0.100   0.012   0.026   0.004   0.075   0.098   2.177   2.492
  -121.15    38.73    2000   0.107   0.026   0.067   0.004   0.075   0.092   2.120   2.489
