      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.074   0.010   0.017   0.006   0.106   0.184   2.328   2.724
  -121.15    38.73    1951   0.125   0.010   0.083   0.005   0.100   0.167   2.274   2.766
  -121.15    38.73    1952   0.121   0.015   0.025   0.006   0.103   0.148   2.274   2.691
  -121.15    38.73    1953   0.124   0.004   0.007   0.008   0.109   0.140   2.226   2.619
  -121.15    38.73    1954   0.154   0.004   0.007   0.006   0.112   0.122   2.156   2.561
  -121.15    38.73    1955   0.138   0.002   0.004   0.009   0.126   0.107   2.092   2.478
  -121.15    38.73    1956   0.149   0.003   0.005   0.007   0.123   0.091   2.022   2.399
  -121.15    38.73    1957   0.133   0.006   0.012   0.007   0.128   0.079   1.954   2.318
  -121.15    38.73    1958   0.139   0.008   0.011   0.009   0.129   0.073   1.905   2.274
  -121.15    38.73    1959   0.141   0.008   0.013   0.007   0.130   0.068   1.848   2.215
  -121.15    38.73    1960   0.132   0.007   0.011   0.008   0.132   0.066   1.800   2.156
  -121.15    38.73    1961   0.128   0.016   0.031   0.007   0.132   0.061   1.749   2.124
  -121.15    38.73    1962   0.112   0.007   0.014   0.010   0.133   0.067   1.727   2.070
  -121.15    38.73    1963   0.144   0.222   0.528   0.009   0.129   0.064   1.690   2.787
  -121.15    38.73    1964   0.105   0.010   0.021   0.009   0.137   0.252   2.153   2.686
  -121.15    38.73    1965   0.083   0.014   0.035   0.006   0.125   0.205   2.087   2.556
  -121.15    38.73    1966   0.139   0.008   0.018   0.005   0.113   0.188   2.053   2.524
  -121.15    38.73    1967   0.120   0.006   0.018   0.007   0.120   0.166   2.002   2.438
  -121.15    38.73    1968   0.108   0.009   0.018   0.008   0.121   0.146   1.956   2.366
  -121.15    38.73    1969   0.124   0.009   0.018   0.006   0.116   0.131   1.907   2.312
  -121.15    38.73    1970   0.117   0.005   0.008   0.008   0.121   0.120   1.864   2.241
  -121.15    38.73    1971   0.142   0.008   0.013   0.006   0.117   0.105   1.807   2.198
  -121.15    38.73    1972   0.132   0.006   0.009   0.009   0.126   0.096   1.762   2.139
  -121.15    38.73    1973   0.152   0.011   0.015   0.006   0.125   0.085   1.705   2.099
  -121.15    38.73    1974   0.164   0.011   0.015   0.006   0.131   0.080   1.656   2.063
  -121.15    38.73    1975   0.155   0.010   0.017   0.009   0.138   0.077   1.614   2.020
  -121.15    38.73    1976   0.158   0.007   0.014   0.005   0.135   0.072   1.566   1.957
  -121.15    38.73    1977   0.148   0.008   0.017   0.010   0.147   0.068   1.531   1.929
  -121.15    38.73    1978   0.141   0.016   0.035   0.010   0.149   0.065   1.500   1.917
  -121.15    38.73    1979   0.118   0.019   0.047   0.012   0.152   0.072   1.491   1.911
  -121.15    38.73    1980   0.111   0.009   0.084   0.006   0.139   0.077   1.485   1.911
  -121.15    38.73    1981   0.106   0.011   0.027   0.007   0.132   0.074   1.518   1.875
  -121.15    38.73    1982   0.123   0.004   0.010   0.007   0.127   0.072   1.496   1.838
  -121.15    38.73    1983   0.145   0.201   0.294   0.008   0.128   0.065   1.458   2.299
  -121.15    38.73    1984   0.089   0.008   0.029   0.007   0.126   0.231   1.692   2.182
  -121.15    38.73    1985   0.083   0.007   0.026   0.006   0.115   0.187   1.651   2.077
  -121.15    38.73    1986   0.147   0.010   0.033   0.004   0.107   0.165   1.621   2.089
  -121.15    38.73    1987   0.123   0.010   0.030   0.009   0.116   0.151   1.602   2.041
  -121.15    38.73    1988   0.115   0.003   0.014   0.009   0.119   0.139   1.583   1.982
  -121.15    38.73    1989   0.115   0.008   0.026   0.009   0.118   0.122   1.548   1.945
