      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.830   2.859   7.788    12.477
  -121.15    38.73    1951   1.851   2.940   7.776    12.567
  -121.15    38.73    1952   1.970   2.845   7.774    12.590
  -121.15    38.73    1953   2.249   2.767   7.773    12.790
  -121.15    38.73    1954   2.521   2.709   7.764    12.993
  -121.15    38.73    1955   2.526   2.639   7.763    12.928
  -121.15    38.73    1956   2.608   2.587   7.756    12.952
  -121.15    38.73    1957   2.659   2.486   7.759    12.903
  -121.15    38.73    1958   2.819   2.458   7.761    13.038
  -121.15    38.73    1959   2.814   2.387   7.759    12.961
  -121.15    38.73    1960   2.921   2.329   7.759    13.008
  -121.15    38.73    1961   2.835   2.294   7.754    12.882
  -121.15    38.73    1962   2.884   2.247   7.757    12.888
  -121.15    38.73    1963   2.378   2.985   7.758    13.121
  -121.15    38.73    1964   2.251   2.841   7.775    12.867
  -121.15    38.73    1965   2.349   2.698   7.766    12.814
  -121.15    38.73    1966   2.440   2.716   7.751    12.907
  -121.15    38.73    1967   2.469   2.602   7.762    12.833
  -121.15    38.73    1968   2.554   2.521   7.761    12.836
  -121.15    38.73    1969   2.726   2.466   7.751    12.942
  -121.15    38.73    1970   2.908   2.391   7.747    13.046
  -121.15    38.73    1971   2.966   2.364   7.735    13.064
  -121.15    38.73    1972   3.051   2.303   7.737    13.091
  -121.15    38.73    1973   3.477   2.263   7.725    13.465
  -121.15    38.73    1974   3.582   2.231   7.716    13.529
  -121.15    38.73    1975   3.542   2.207   7.718    13.468
  -121.15    38.73    1976   3.742   2.137   7.710    13.589
  -121.15    38.73    1977   3.857   2.105   7.721    13.683
  -121.15    38.73    1978   3.859   2.105   7.724    13.689
  -121.15    38.73    1979   3.677   2.105   7.735    13.517
  -121.15    38.73    1980   3.566   2.102   7.728    13.396
  -121.15    38.73    1981   3.838   2.033   7.727    13.599
  -121.15    38.73    1982   4.058   1.994   7.714    13.766
  -121.15    38.73    1983   3.443   2.505   7.707    13.654
  -121.15    38.73    1984   3.456   2.334   7.717    13.506
  -121.15    38.73    1985   3.775   2.198   7.701    13.673
  -121.15    38.73    1986   3.826   2.281   7.677    13.784
  -121.15    38.73    1987   3.949   2.215   7.690    13.854
  -121.15    38.73    1988   3.975   2.146   7.694    13.814
  -121.15    38.73    1989   4.050   2.118   7.690    13.858
  -121.15    38.73    1990   2.989   3.081   7.684    13.754
  -121.15    38.73    1991   2.299   3.711   7.689    13.699
  -121.15    38.73    1992   2.607   3.464   7.699    13.770
  -121.15    38.73    1993   2.985   3.420   7.690    14.095
  -121.15    38.73    1994   2.892   3.407   7.711    14.011
  -121.15    38.73    1995   2.991   3.232   7.747    13.969
  -121.15    38.73    1996   3.195   3.116   7.747    14.058
  -121.15    38.73    1997   3.124   3.041   7.753    13.918
  -121.15    38.73    1998   3.099   2.951   7.752    13.802
  -121.15    38.73    1999   2.146   3.849   7.746    13.741
  -121.15    38.73    2000   2.181   3.685   7.761    13.627
  -121.15    38.73    2001   2.670   3.469   7.758    13.897
  -121.15    38.73    2002   2.800   3.485   7.743    14.027
  -121.15    38.73    2003   2.822   3.331   7.769    13.922
  -121.15    38.73    2004   2.970   3.280   7.778    14.029
  -121.15    38.73    2005   2.566   3.782   7.782    14.130
  -121.15    38.73    2006   2.841   3.513   7.812    14.166
  -121.15    38.73    2007   3.094   3.353   7.812    14.260
  -121.15    38.73    2008   2.895   3.408   7.819    14.122
  -121.15    38.73    2009   3.150   3.198   7.843    14.191
  -121.15    38.73    2010   3.280   3.052   7.842    14.174
  -121.15    38.73    2011   3.632   2.948   7.835    14.415
  -121.15    38.73    2012   3.482   2.912   7.837    14.231
  -121.15    38.73    2013   3.510   2.823   7.841    14.174
  -121.15    38.73    2014   3.549   2.709   7.843    14.101
  -121.15    38.73    2015   3.779   2.589   7.822    14.190
  -121.15    38.73    2016   3.850   2.530   7.807    14.187
  -121.15    38.73    2017   3.904   2.448   7.798    14.149
  -121.15    38.73    2018   3.705   2.558   7.789    14.052
  -121.15    38.73    2019   3.827   2.469   7.786    14.083
  -121.15    38.73    2020   3.565   2.566   7.775    13.906
  -121.15    38.73    2021   3.462   2.563   7.768    13.792
  -121.15    38.73    2022   3.676   2.472   7.753    13.900
  -121.15    38.73    2023   3.561   2.507   7.737    13.805
  -121.15    38.73    2024   3.652   2.398   7.724    13.774
  -121.15    38.73    2025   3.944   2.283   7.702    13.930
