      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    81.7     0.0     1.3    82.9
  -121.15    38.73    1951    48.3     9.9     2.3    60.6
  -121.15    38.73    1952   107.4     0.0     1.2   108.7
  -121.15    38.73    1953   133.3    10.3     4.1   147.7
  -121.15    38.73    1954    60.1     0.0     0.9    61.0
  -121.15    38.73    1955    50.8     0.0     0.1    50.9
  -121.15    38.73    1956   135.2     0.0     0.1   135.3
  -121.15    38.73    1957    42.8     0.0     0.1    42.9
  -121.15    38.73    1958   241.8     0.0     0.5   242.2
  -121.15    38.73    1959    37.8     0.0     0.0    37.8
  -121.15    38.73    1960   194.7     0.0     0.2   194.9
  -121.15    38.73    1961    47.2     0.0     0.0    47.2
  -121.15    38.73    1962   283.2     0.0     0.1   283.3
  -121.15    38.73    1963   431.9     0.0     1.5   433.4
  -121.15    38.73    1964     0.0     0.0     0.0     0.0
  -121.15    38.73    1965    38.9     0.0     0.4    39.3
  -121.15    38.73    1966     0.6     0.0     0.2     0.8
  -121.15    38.73    1967    28.6     0.0     0.2    28.8
  -121.15    38.73    1968     0.0     0.0     0.0     0.0
  -121.15    38.73    1969   165.5     0.0     0.1   165.6
  -121.15    38.73    1970   183.9     0.0     0.5   184.5
  -121.15    38.73    1971    85.7     0.0     0.0    85.7
  -121.15    38.73    1972   521.1     0.0     0.3   521.4
  -121.15    38.73    1973   138.2     0.0     1.0   139.3
  -121.15    38.73    1974   198.7     0.0     0.3   199.0
  -121.15    38.73    1975     5.7     0.0     0.0     5.7
  -121.15    38.73    1976    52.3     0.0     0.1    52.4
  -121.15    38.73    1977   317.4     0.0     0.8   318.2
  -121.15    38.73    1978   189.1     0.0     0.5   189.6
  -121.15    38.73    1979   544.0     0.0     0.1   544.1
  -121.15    38.73    1980   363.6     0.0     0.0   363.6
  -121.15    38.73    1981   395.2     0.0     1.6   396.9
  -121.15    38.73    1982   163.4     0.0     0.8   164.1
  -121.15    38.73    1983   201.5     0.0     0.1   201.6
  -121.15    38.73    1984   295.6     0.0     0.4   296.0
  -121.15    38.73    1985   105.5    11.9     2.9   120.2
  -121.15    38.73    1986   173.4    21.0     6.0   200.4
  -121.15    38.73    1987   283.3    17.2     7.2   307.7
  -121.15    38.73    1988    64.6     0.0     1.6    66.3
  -121.15    38.73    1989    75.6     0.0     0.5    76.0
  -121.15    38.73    1990   192.0     0.0     0.0   192.0
  -121.15    38.73    1991   335.0     0.0     1.3   336.3
  -121.15    38.73    1992   398.1    34.3     9.7   442.1
  -121.15    38.73    1993   373.0    67.6    20.7   461.3
  -121.15    38.73    1994    73.7    18.6     4.1    96.4
  -121.15    38.73    1995   137.3     0.0     3.7   141.0
  -121.15    38.73    1996   102.7     0.0     2.5   105.3
  -121.15    38.73    1997     0.0     0.0     0.0     0.0
  -121.15    38.73    1998   182.0     0.0     0.1   182.1
  -121.15    38.73    1999    39.8     0.0     0.0    39.8
  -121.15    38.73    2000   196.1     0.0     0.9   197.0
  -121.15    38.73    2001   264.2    23.7     6.6   294.6
  -121.15    38.73    2002   143.8    17.9     1.5   163.2
  -121.15    38.73    2003   413.5     0.0     1.5   415.0
  -121.15    38.73    2004   133.4     0.0     1.3   134.7
  -121.15    38.73    2005   380.5     0.0     0.2   380.8
  -121.15    38.73    2006   348.1     0.0     3.7   351.8
  -121.15    38.73    2007   514.2    35.5     6.6   556.3
  -121.15    38.73    2008   278.2    18.6     2.7   299.5
  -121.15    38.73    2009    27.8     0.0     0.6    28.3
  -121.15    38.73    2010   549.9     6.4     3.8   560.1
  -121.15    38.73    2011   343.1     7.5     7.7   358.3
  -121.15    38.73    2012   102.4     0.0     0.1   102.5
  -121.15    38.73    2013   299.9     0.0     0.9   300.8
  -121.15    38.73    2014    30.1     0.0     0.0    30.1
  -121.15    38.73    2015   110.3     0.0     0.1   110.3
  -121.15    38.73    2016   131.1     0.0     0.2   131.2
  -121.15    38.73    2017   234.4     0.0     0.7   235.1
  -121.15    38.73    2018     0.8     0.0     0.0     0.8
  -121.15    38.73    2019    69.3     0.0     0.0    69.4
  -121.15    38.73    2020   100.7     0.0     0.0   100.7
  -121.15    38.73    2021    88.8     0.0     0.0    88.8
  -121.15    38.73    2022    18.7     0.0     0.0    18.7
  -121.15    38.73    2023   242.2     0.0     0.5   242.7
  -121.15    38.73    2024   252.5     0.0     0.0   252.5
  -121.15    38.73    2025   427.6     0.0     1.8   429.3
  -121.15    38.73    2026     7.9     0.0     0.0     7.9
  -121.15    38.73    2027   139.2     0.0     0.0   139.2
  -121.15    38.73    2028   126.1     0.0     0.1   126.3
  -121.15    38.73    2029   371.6     0.0     0.4   371.9
  -121.15    38.73    2030   135.2     0.0     1.0   136.2
  -121.15    38.73    2031    56.6     0.0     0.2    56.7
  -121.15    38.73    2032    22.0     0.0     0.0    22.0
  -121.15    38.73    2033   123.2     0.0     0.0   123.2
  -121.15    38.73    2034    79.1     0.0     0.0    79.1
  -121.15    38.73    2035   149.4     0.0     0.4   149.9
  -121.15    38.73    2036    95.0     0.0     0.1    95.1
  -121.15    38.73    2037    23.0     0.0     0.0    23.0
  -121.15    38.73    2038    38.7     0.0     0.3    39.0
  -121.15    38.73    2039   511.8    12.0     2.5   526.2
  -121.15    38.73    2040   486.9    33.6    10.1   530.6
  -121.15    38.73    2041   440.6    42.6     7.2   490.5
  -121.15    38.73    2042   605.4    26.7     5.5   637.5
  -121.15    38.73    2043   182.7    12.6     5.1   200.4
  -121.15    38.73    2044   434.0    10.7     7.3   452.0
  -121.15    38.73    2045   283.8     0.0     3.2   287.0
  -121.15    38.73    2046    54.2     0.0     0.0    54.2
  -121.15    38.73    2047   280.2     0.0     0.5   280.7
  -121.15    38.73    2048   322.1     0.0     0.4   322.5
  -121.15    38.73    2049   282.1     0.0     0.9   283.0
  -121.15    38.73    2050   257.8    23.2     6.7   287.7
  -121.15    38.73    2051   344.9    29.2     5.4   379.6
  -121.15    38.73    2052   317.7     3.5     4.4   325.6
  -121.15    38.73    2053    19.0     0.0     0.5    19.4
  -121.15    38.73    2054     0.0     0.0     0.0     0.0
  -121.15    38.73    2055   149.9     0.0     0.0   149.9
  -121.15    38.73    2056   763.3     0.0     3.4   766.7
  -121.15    38.73    2057   330.0     0.0     5.6   335.6
  -121.15    38.73    2058    83.4     0.0     0.0    83.4
  -121.15    38.73    2059    72.3     0.0     0.3    72.6
  -121.15    38.73    2060   204.4     0.0     0.0   204.4
  -121.15    38.73    2061   196.7     0.0     0.1   196.8
  -121.15    38.73    2062    34.1     0.0     0.3    34.4
  -121.15    38.73    2063   310.9     0.0     0.4   311.2
  -121.15    38.73    2064   131.2     0.0     0.1   131.3
  -121.15    38.73    2065   500.9     0.0     1.0   501.9
  -121.15    38.73    2066   112.8     0.0     0.0   112.8
  -121.15    38.73    2067    41.5     0.0     0.0    41.5
  -121.15    38.73    2068   179.8     0.0     0.8   180.6
  -121.15    38.73    2069    40.7     0.0     0.0    40.7
  -121.15    38.73    2070    98.7     0.0     0.3    99.0
  -121.15    38.73    2071    42.1     0.0     0.0    42.1
  -121.15    38.73    2072   476.6     0.0     0.1   476.7
  -121.15    38.73    2073   259.9     0.0     3.1   263.0
  -121.15    38.73    2074    75.0     0.0     0.8    75.7
  -121.15    38.73    2075   378.8     0.0     1.4   380.2
  -121.15    38.73    2076   221.3     0.0     0.4   221.7
  -121.15    38.73    2077    56.8     0.0     0.0    56.8
  -121.15    38.73    2078   283.7     0.0     0.2   283.9
  -121.15    38.73    2079   311.1     0.0     0.8   312.0
  -121.15    38.73    2080   612.7     0.0     1.4   614.1
  -121.15    38.73    2081   673.1     0.0     7.1   680.2
  -121.15    38.73    2082   236.8     0.0     0.8   237.6
  -121.15    38.73    2083    15.8     0.0     0.0    15.8
  -121.15    38.73    2084   237.7     0.0     0.1   237.7
  -121.15    38.73    2085   412.4     0.0     1.0   413.4
  -121.15    38.73    2086   228.7     0.0     4.5   233.2
  -121.15    38.73    2087   192.2     0.0     0.4   192.7
  -121.15    38.73    2088   188.2     0.0     1.1   189.3
  -121.15    38.73    2089   219.0     0.0     0.5   219.5
  -121.15    38.73    2090    81.8     0.0     0.0    81.8
  -121.15    38.73    2091   384.4     6.5     3.0   394.0
  -121.15    38.73    2092   383.2    23.7     7.2   414.1
  -121.15    38.73    2093   380.6    19.5    14.6   414.6
  -121.15    38.73    2094   231.4    14.4     7.5   253.4
  -121.15    38.73    2095   148.4     0.0     3.0   151.4
  -121.15    38.73    2096   263.1     0.0     0.5   263.5
  -121.15    38.73    2097   663.0     0.0    21.6   684.6
  -121.15    38.73    2098     6.2     0.0     0.3     6.5
  -121.15    38.73    2099   186.6     0.0     0.5   187.1
  -121.11    38.85    1950    30.1     0.0     0.2    30.2
  -121.11    38.85    1951    69.2     0.0     0.4    69.6
  -121.11    38.85    1952    36.6     0.0     0.0    36.6
  -121.11    38.85    1953   222.3     0.0     0.3   222.6
  -121.11    38.85    1954    44.5     0.0     0.0    44.6
  -121.11    38.85    1955    13.7     0.0     0.0    13.7
  -121.11    38.85    1956   109.5     0.0     0.0   109.5
  -121.11    38.85    1957    26.8     0.0     0.0    26.8
  -121.11    38.85    1958   231.1     0.0     0.0   231.1
  -121.11    38.85    1959    10.3     0.0     0.0    10.4
  -121.11    38.85    1960   194.4     0.0     0.4   194.8
  -121.11    38.85    1961    20.3     0.0     0.2    20.5
  -121.11    38.85    1962   192.7     0.0     0.2   192.9
  -121.11    38.85    1963   430.3     0.0     0.5   430.8
  -121.11    38.85    1964     0.0     0.0     0.0     0.0
  -121.11    38.85    1965     0.0     0.0     0.0     0.0
  -121.11    38.85    1966     0.0     0.0     0.0     0.0
  -121.11    38.85    1967    33.1     0.0     0.0    33.1
  -121.11    38.85    1968     0.0     0.0     0.0     0.0
  -121.11    38.85    1969   185.5     0.0     0.0   185.6
  -121.11    38.85    1970   209.4     0.0     0.0   209.5
  -121.11    38.85    1971    38.0     0.0     0.0    38.0
  -121.11    38.85    1972   584.0     0.0     0.0   584.0
  -121.11    38.85    1973   173.2     0.0     1.5   174.7
  -121.11    38.85    1974   179.5     4.8     2.2   186.5
  -121.11    38.85    1975     2.3     0.0     0.7     3.0
  -121.11    38.85    1976    16.6     0.0     0.2    16.7
  -121.11    38.85    1977   289.8     0.0     1.4   291.2
  -121.11    38.85    1978   173.6     0.0     2.1   175.7
  -121.11    38.85    1979   594.2     0.0     1.7   595.9
  -121.11    38.85    1980   282.1     0.0     0.2   282.2
  -121.11    38.85    1981   532.5     0.0     1.3   533.8
  -121.11    38.85    1982   132.9     0.0     0.4   133.4
  -121.11    38.85    1983   187.6     0.0     1.3   188.9
  -121.11    38.85    1984   287.8     0.0     0.7   288.4
  -121.11    38.85    1985   118.6     0.0     0.2   118.7
  -121.11    38.85    1986   138.3     0.0     0.0   138.3
  -121.11    38.85    1987   349.8     0.0     0.0   349.9
  -121.11    38.85    1988    14.9     0.0     0.0    14.9
  -121.11    38.85    1989    65.1     0.0     0.0    65.1
  -121.11    38.85    1990   177.3     0.0     0.0   177.3
  -121.11    38.85    1991   400.3     0.0     0.0   400.3
  -121.11    38.85    1992   403.3     0.0     0.1   403.4
  -121.11    38.85    1993   389.5     0.0     0.8   390.3
  -121.11    38.85    1994   106.5     0.0     0.0   106.5
  -121.11    38.85    1995   109.5     0.0     0.0   109.5
  -121.11    38.85    1996    94.8     0.0     0.0    94.8
  -121.11    38.85    1997     0.0     0.0     0.0     0.0
  -121.11    38.85    1998   178.1     0.0     0.0   178.1
  -121.11    38.85    1999    20.7     0.0     0.0    20.7
  -121.11    38.85    2000   231.6     0.0     0.0   231.6
  -121.11    38.85    2001   394.8     0.0     0.1   394.9
