      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.075   0.010   0.074   0.004   0.102   0.178   2.314   2.757
  -121.15    38.73    1951   0.107   0.008   0.016   0.003   0.093   0.159   2.303   2.689
  -121.15    38.73    1952   0.108   0.013   0.026   0.003   0.089   0.135   2.221   2.596
  -121.15    38.73    1953   0.119   0.005   0.010   0.004   0.093   0.124   2.166   2.521
  -121.15    38.73    1954   0.154   0.003   0.004   0.004   0.095   0.106   2.089   2.455
  -121.15    38.73    1955   0.142   0.005   0.008   0.007   0.110   0.091   2.020   2.382
  -121.15    38.73    1956   0.151   0.003   0.007   0.004   0.107   0.078   1.942   2.291
  -121.15    38.73    1957   0.125   0.003   0.008   0.005   0.113   0.066   1.871   2.190
  -121.15    38.73    1958   0.125   0.006   0.012   0.005   0.110   0.057   1.807   2.122
  -121.15    38.73    1959   0.123   0.011   0.022   0.004   0.109   0.053   1.748   2.071
  -121.15    38.73    1960   0.119   0.008   0.015   0.004   0.106   0.052   1.700   2.004
  -121.15    38.73    1961   0.112   0.020   0.048   0.005   0.104   0.051   1.650   1.989
  -121.15    38.73    1962   0.095   0.010   0.023   0.005   0.101   0.060   1.638   1.932
  -121.15    38.73    1963   0.110   0.006   0.011   0.006   0.099   0.060   1.607   1.900
  -121.15    38.73    1964   0.122   0.015   0.028   0.006   0.102   0.056   1.565   1.894
  -121.15    38.73    1965   0.109   0.135   0.708   0.005   0.099   0.059   1.531   2.647
  -121.15    38.73    1966   0.077   0.009   0.021   0.003   0.091   0.167   2.155   2.522
  -121.15    38.73    1967   0.080   0.007   0.017   0.003   0.085   0.146   2.095   2.433
  -121.15    38.73    1968   0.133   0.259   0.631   0.004   0.083   0.128   2.038   3.276
  -121.15    38.73    1969   0.068   0.010   0.015   0.004   0.091   0.332   2.569   3.090
  -121.15    38.73    1970   0.070   0.010   0.014   0.003   0.081   0.262   2.461   2.901
  -121.15    38.73    1971   0.184   0.006   0.009   0.003   0.075   0.227   2.384   2.888
  -121.15    38.73    1972   0.139   0.002   0.003   0.007   0.099   0.194   2.305   2.749
  -121.15    38.73    1973   0.185   0.008   0.012   0.002   0.098   0.153   2.198   2.657
  -121.15    38.73    1974   0.184   0.010   0.015   0.005   0.117   0.132   2.117   2.579
  -121.15    38.73    1975   0.178   0.009   0.014   0.006   0.130   0.117   2.049   2.504
  -121.15    38.73    1976   0.165   0.003   0.005   0.003   0.124   0.099   1.962   2.360
  -121.15    38.73    1977   0.145   0.012   0.048   0.006   0.130   0.084   1.891   2.317
  -121.15    38.73    1978   0.137   0.013   0.060   0.006   0.129   0.080   1.867   2.291
  -121.15    38.73    1979   0.123   0.015   0.024   0.008   0.129   0.080   1.863   2.241
  -121.15    38.73    1980   0.116   0.021   0.041   0.006   0.121   0.080   1.819   2.202
  -121.15    38.73    1981   0.108   0.014   0.031   0.004   0.112   0.084   1.786   2.139
  -121.15    38.73    1982   0.127   0.014   0.026   0.002   0.101   0.079   1.734   2.084
  -121.15    38.73    1983   0.135   0.015   0.064   0.007   0.106   0.080   1.703   2.112
  -121.15    38.73    1984   0.116   0.011   0.029   0.005   0.104   0.079   1.700   2.045
  -121.15    38.73    1985   0.106   0.010   0.069   0.006   0.102   0.077   1.668   2.038
  -121.15    38.73    1986   0.122   0.016   0.037   0.002   0.092   0.069   1.660   1.998
  -121.15    38.73    1987   0.112   0.018   0.032   0.004   0.090   0.070   1.627   1.952
  -121.15    38.73    1988   0.112   0.012   0.027   0.005   0.092   0.074   1.601   1.923
  -121.15    38.73    1989   0.103   0.013   0.036   0.005   0.090   0.072   1.568   1.887
  -121.15    38.73    1990   0.098   0.016   0.051   0.004   0.085   0.071   1.541   1.865
  -121.15    38.73    1991   0.098   0.019   0.113   0.003   0.080   0.070   1.524   1.907
  -121.15    38.73    1992   0.103   0.023   0.115   0.004   0.079   0.075   1.577   1.976
  -121.15    38.73    1993   0.105   0.006   0.013   0.004   0.079   0.082   1.630   1.919
  -121.15    38.73    1994   0.118   0.008   0.014   0.005   0.080   0.075   1.585   1.885
  -121.15    38.73    1995   0.107   0.009   0.019   0.005   0.083   0.069   1.540   1.833
  -121.15    38.73    1996   0.103   0.010   0.018   0.005   0.082   0.065   1.501   1.783
  -121.15    38.73    1997   0.104   0.027   0.074   0.003   0.079   0.062   1.456   1.805
  -121.15    38.73    1998   0.104   0.201   0.702   0.003   0.077   0.074   1.468   2.628
  -121.15    38.73    1999   0.068   0.021   0.045   0.002   0.074   0.233   2.084   2.527
  -121.15    38.73    2000   0.068   0.002   0.003   0.003   0.067   0.197   2.033   2.373
  -121.15    38.73    2001   0.127   0.010   0.014   0.002   0.063   0.166   1.960   2.343
  -121.15    38.73    2002   0.153   0.207   0.332   0.002   0.068   0.139   1.882   2.784
  -121.15    38.73    2003   0.115   0.005   0.016   0.004   0.084   0.295   2.129   2.648
  -121.15    38.73    2004   0.108   0.008   0.012   0.004   0.085   0.229   2.050   2.495
  -121.15    38.73    2005   0.158   0.003   0.005   0.003   0.082   0.193   1.975   2.419
  -121.15    38.73    2006   0.141   0.019   0.055   0.005   0.094   0.161   1.901   2.377
  -121.15    38.73    2007   0.161   0.006   0.014   0.003   0.096   0.145   1.872   2.296
  -121.15    38.73    2008   0.134   0.012   0.017   0.006   0.105   0.126   1.815   2.217
  -121.15    38.73    2009   0.135   0.024   0.051   0.002   0.094   0.107   1.737   2.149
  -121.15    38.73    2010   0.130   0.021   0.033   0.004   0.096   0.109   1.715   2.109
  -121.15    38.73    2011   0.115   0.027   0.116   0.002   0.089   0.103   1.664   2.117
  -121.15    38.73    2012   0.118   0.002   0.001   0.004   0.087   0.109   1.712   2.034
  -121.15    38.73    2013   0.103   0.012   0.017   0.003   0.083   0.089   1.638   1.944
  -121.15    38.73    2014   0.101   0.014   0.040   0.002   0.075   0.080   1.578   1.890
  -121.15    38.73    2015   0.106   0.015   0.068   0.002   0.071   0.076   1.547   1.885
  -121.15    38.73    2016   0.105   0.012   0.021   0.002   0.068   0.073   1.541   1.821
  -121.15    38.73    2017   0.130   0.254   0.268   0.003   0.067   0.069   1.493   2.284
  -121.15    38.73    2018   0.080   0.014   0.081   0.003   0.071   0.275   1.688   2.214
  -121.15    38.73    2019   0.073   0.014   0.056   0.003   0.064   0.213   1.682   2.105
  -121.15    38.73    2020   0.134   0.014   0.044   0.002   0.060   0.189   1.672   2.115
  -121.15    38.73    2021   0.107   0.011   0.046   0.004   0.070   0.166   1.648   2.052
  -121.15    38.73    2022   0.116   0.026   0.117   0.002   0.069   0.142   1.617   2.089
  -121.15    38.73    2023   0.103   0.016   0.078   0.004   0.074   0.140   1.670   2.085
  -121.15    38.73    2024   0.115   0.007   0.021   0.002   0.069   0.125   1.667   2.005
  -121.15    38.73    2025   0.107   0.003   0.009   0.003   0.071   0.106   1.617   1.916
  -121.15    38.73    2026   0.116   0.008   0.047   0.002   0.069   0.087   1.551   1.878
  -121.15    38.73    2027   0.103   0.006   0.030   0.003   0.069   0.076   1.527   1.816
  -121.15    38.73    2028   0.085   0.005   0.022   0.003   0.067   0.067   1.489   1.737
  -121.15    38.73    2029   0.102   0.010   0.022   0.002   0.062   0.058   1.448   1.703
  -121.15    38.73    2030   0.100   0.006   0.011   0.003   0.063   0.056   1.410   1.649
  -121.15    38.73    2031   0.113   0.008   0.019   0.002   0.060   0.048   1.351   1.601
  -121.15    38.73    2032   0.131   0.015   0.066   0.003   0.062   0.046   1.312   1.634
  -121.15    38.73    2033   0.097   0.007   0.027   0.004   0.068   0.050   1.322   1.575
  -121.15    38.73    2034   0.086   0.011   0.028   0.001   0.057   0.043   1.269   1.494
  -121.15    38.73    2035   0.111   0.006   0.014   0.002   0.055   0.044   1.242   1.474
  -121.15    38.73    2036   0.118   0.009   0.023   0.001   0.054   0.038   1.190   1.433
  -121.15    38.73    2037   0.135   0.015   0.046   0.002   0.057   0.038   1.157   1.450
  -121.15    38.73    2038   0.112   0.029   0.107   0.002   0.061   0.042   1.145   1.498
  -121.15    38.73    2039   0.117   0.017   0.043   0.002   0.061   0.058   1.197   1.496
  -121.15    38.73    2040   0.108   0.014   0.030   0.001   0.059   0.059   1.176   1.448
  -121.15    38.73    2041   0.124   0.032   0.192   0.002   0.058   0.058   1.149   1.615
  -121.15    38.73    2042   0.124   0.053   0.153   0.002   0.060   0.074   1.280   1.746
  -121.15    38.73    2043   0.128   0.016   0.031   0.001   0.059   0.102   1.359   1.696
  -121.15    38.73    2044   0.120   0.025   0.058   0.002   0.060   0.092   1.319   1.677
  -121.15    38.73    2045   0.114   0.007   0.011   0.003   0.063   0.095   1.316   1.609
  -121.15    38.73    2046   0.112   0.008   0.020   0.002   0.063   0.081   1.267   1.552
  -121.15    38.73    2047   0.094   0.025   0.073   0.001   0.059   0.069   1.218   1.540
  -121.15    38.73    2048   0.099   0.016   0.033   0.001   0.054   0.075   1.226   1.504
  -121.15    38.73    2049   0.100   0.021   0.064   0.001   0.051   0.070   1.190   1.497
  -121.15    38.73    2050   0.112   0.028   0.050   0.001   0.048   0.070   1.184   1.493
  -121.15    38.73    2051   0.127   0.076   0.250   0.002   0.051   0.079   1.174   1.757
  -121.15    38.73    2052   0.130   0.000   0.000   0.001   0.053   0.124   1.353   1.661
  -121.15    38.73    2053   0.130   0.232   0.441   0.003   0.059   0.098   1.291   2.254
