      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.675   2.888   7.777    12.340
  -121.15    38.73    1951   1.739   2.833   7.755    12.327
  -121.15    38.73    1952   1.913   2.714   7.731    12.357
  -121.15    38.73    1953   2.208   2.643   7.710    12.562
  -121.15    38.73    1954   2.477   2.584   7.688    12.749
  -121.15    38.73    1955   2.522   2.529   7.682    12.732
  -121.15    38.73    1956   2.552   2.457   7.664    12.673
  -121.15    38.73    1957   2.581   2.335   7.658    12.574
  -121.15    38.73    1958   2.689   2.274   7.645    12.607
  -121.15    38.73    1959   2.708   2.210   7.632    12.549
  -121.15    38.73    1960   2.760   2.148   7.611    12.519
  -121.15    38.73    1961   2.595   2.129   7.599    12.323
  -121.15    38.73    1962   2.733   2.063   7.586    12.382
  -121.15    38.73    1963   3.060   2.029   7.576    12.665
  -121.15    38.73    1964   2.914   2.029   7.564    12.508
  -121.15    38.73    1965   1.862   2.800   7.546    12.209
  -121.15    38.73    1966   1.927   2.618   7.532    12.077
  -121.15    38.73    1967   2.068   2.513   7.508    12.090
  -121.15    38.73    1968   1.198   3.425   7.486    12.109
  -121.15    38.73    1969   1.316   3.159   7.495    11.970
  -121.15    38.73    1970   1.790   2.964   7.467    12.221
  -121.15    38.73    1971   1.779   3.056   7.445    12.280
  -121.15    38.73    1972   2.015   2.873   7.475    12.363
  -121.15    38.73    1973   2.287   2.782   7.459    12.528
  -121.15    38.73    1974   2.627   2.707   7.461    12.795
  -121.15    38.73    1975   2.555   2.656   7.469    12.679
  -121.15    38.73    1976   2.615   2.518   7.464    12.597
  -121.15    38.73    1977   2.705   2.460   7.476    12.641
  -121.15    38.73    1978   2.660   2.435   7.479    12.573
  -121.15    38.73    1979   2.643   2.394   7.486    12.523
  -121.15    38.73    1980   2.530   2.357   7.488    12.375
  -121.15    38.73    1981   2.806   2.267   7.483    12.556
  -121.15    38.73    1982   3.092   2.201   7.457    12.750
  -121.15    38.73    1983   2.936   2.249   7.458    12.643
  -121.15    38.73    1984   2.895   2.189   7.454    12.537
  -121.15    38.73    1985   3.060   2.156   7.453    12.669
  -121.15    38.73    1986   3.043   2.125   7.425    12.593
  -121.15    38.73    1987   3.157   2.067   7.413    12.637
  -121.15    38.73    1988   3.129   2.040   7.404    12.573
  -121.15    38.73    1989   3.096   2.015   7.394    12.505
  -121.15    38.73    1990   3.091   1.979   7.380    12.450
  -121.15    38.73    1991   3.153   2.016   7.356    12.525
  -121.15    38.73    1992   3.172   2.081   7.343    12.596
  -121.15    38.73    1993   3.436   2.026   7.329    12.791
  -121.15    38.73    1994   3.421   1.991   7.320    12.732
  -121.15    38.73    1995   3.410   1.949   7.311    12.670
  -121.15    38.73    1996   3.492   1.902   7.301    12.696
  -121.15    38.73    1997   3.240   1.919   7.287    12.446
  -121.15    38.73    1998   2.450   2.762   7.271    12.483
  -121.15    38.73    1999   2.488   2.611   7.267    12.365
  -121.15    38.73    2000   2.763   2.461   7.254    12.478
  -121.15    38.73    2001   2.952   2.483   7.239    12.674
  -121.15    38.73    2002   2.589   2.931   7.242    12.762
  -121.15    38.73    2003   2.591   2.766   7.263    12.620
  -121.15    38.73    2004   2.934   2.613   7.268    12.814
  -121.15    38.73    2005   3.042   2.587   7.264    12.893
  -121.15    38.73    2006   3.325   2.524   7.287    13.136
  -121.15    38.73    2007   3.359   2.454   7.290    13.103
  -121.15    38.73    2008   3.438   2.365   7.309    13.113
  -121.15    38.73    2009   3.539   2.296   7.294    13.129
  -121.15    38.73    2010   3.551   2.256   7.300    13.107
  -121.15    38.73    2011   3.584   2.267   7.291    13.141
  -121.15    38.73    2012   3.552   2.176   7.296    13.023
  -121.15    38.73    2013   3.607   2.101   7.288    12.996
  -121.15    38.73    2014   3.703   2.013   7.279    12.995
