      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950    97.7     0.0     1.0    98.7
  -121.15    38.73    1951    56.1    10.9     2.3    69.3
  -121.15    38.73    1952   126.2     0.0     1.0   127.1
  -121.15    38.73    1953   150.1     6.0     3.1   159.2
  -121.15    38.73    1954    67.8     0.0     1.5    69.3
  -121.15    38.73    1955    56.8     0.0     0.3    57.1
  -121.15    38.73    1956   145.8     0.0     0.1   145.9
  -121.15    38.73    1957    42.6     0.0     0.1    42.8
  -121.15    38.73    1958   247.3     0.0     0.5   247.8
  -121.15    38.73    1959    40.0     0.0     0.0    40.0
  -121.15    38.73    1960   214.4     0.0     0.2   214.6
  -121.15    38.73    1961    51.0     0.0     0.0    51.0
  -121.15    38.73    1962   293.2     0.0     0.1   293.3
  -121.15    38.73    1963   441.8     0.0     1.5   443.3
  -121.15    38.73    1964     0.0     0.0     0.0     0.0
  -121.15    38.73    1965    24.7     0.0     0.0    24.7
  -121.15    38.73    1966     2.7     0.0     0.0     2.7
  -121.15    38.73    1967    25.0     0.0     0.0    25.0
  -121.15    38.73    1968     0.0     0.0     0.0     0.0
  -121.15    38.73    1969   154.8     0.0     0.4   155.1
  -121.15    38.73    1970   216.7    19.6     6.1   242.5
  -121.15    38.73    1971    87.3    24.7     1.3   113.3
  -121.15    38.73    1972   518.0    10.6    12.7   541.3
  -121.15    38.73    1973   140.9     4.5    10.5   155.9
  -121.15    38.73    1974   196.9     0.0     7.3   204.2
  -121.15    38.73    1975     0.4     0.0     0.0     0.5
  -121.15    38.73    1976    32.9     0.0     0.1    33.0
  -121.15    38.73    1977   305.9     0.0     0.8   306.7
  -121.15    38.73    1978   157.8     0.0     0.4   158.3
  -121.15    38.73    1979   556.2     0.0     0.2   556.4
  -121.15    38.73    1980   363.1     0.0     0.0   363.1
  -121.15    38.73    1981   399.8     0.0     2.0   401.8
  -121.15    38.73    1982   182.4     0.0     1.3   183.7
  -121.15    38.73    1983   207.7     0.0     0.2   208.0
  -121.15    38.73    1984   328.2     0.0     0.2   328.4
  -121.15    38.73    1985    97.6     0.0     0.7    98.3
  -121.15    38.73    1986   165.1     0.0     0.1   165.2
  -121.15    38.73    1987   276.6     0.0     0.9   277.5
  -121.15    38.73    1988    66.9     0.0     0.0    66.9
  -121.15    38.73    1989    61.4     0.0     0.0    61.4
  -121.15    38.73    1990   205.8     0.0     0.0   205.8
  -121.15    38.73    1991   352.3     0.0     0.7   353.1
  -121.15    38.73    1992   373.1     0.0     1.1   374.2
  -121.15    38.73    1993   339.3     0.0    11.7   351.0
  -121.15    38.73    1994    53.0     0.0     0.3    53.2
  -121.15    38.73    1995   126.3     0.0     0.0   126.3
  -121.15    38.73    1996    82.1     0.0     0.1    82.2
  -121.15    38.73    1997     0.0     0.0     0.0     0.0
  -121.15    38.73    1998   177.6     0.0     0.1   177.7
  -121.15    38.73    1999    41.9     0.0     0.0    41.9
  -121.15    38.73    2000   219.1     4.7     2.5   226.3
  -121.15    38.73    2001   250.3    22.5     6.0   278.8
  -121.15    38.73    2002   149.0     0.0     1.8   150.8
  -121.15    38.73    2003   419.4     0.0     1.6   421.0
  -121.15    38.73    2004   129.7    13.5     4.1   147.4
  -121.15    38.73    2005   398.5    28.8     3.8   431.0
  -121.15    38.73    2006   376.9    18.8    12.6   408.3
  -121.15    38.73    2007   517.2     0.0     3.6   520.8
  -121.15    38.73    2008   270.7     0.0     2.4   273.1
  -121.15    38.73    2009    26.7     0.0     0.0    26.7
  -121.15    38.73    2010   553.9     0.0     0.5   554.4
  -121.15    38.73    2011   328.5     0.0     4.0   332.4
  -121.15    38.73    2012    93.9     0.0     0.1    94.0
  -121.15    38.73    2013   284.8     0.0     0.8   285.6
  -121.15    38.73    2014    38.7     0.0     0.0    38.8
  -121.15    38.73    2015    73.9     0.0     0.0    73.9
  -121.15    38.73    2016   125.3     0.0     0.3   125.6
  -121.15    38.73    2017   223.1     0.0     0.9   224.0
  -121.15    38.73    2018     0.0     0.0     0.0     0.0
  -121.15    38.73    2019    72.2     0.0     0.5    72.7
  -121.15    38.73    2020   106.5    10.7     2.5   119.7
