      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.038   0.005   0.037   0.003   0.053   0.092   1.163   1.391
  -121.15    38.73    1951   0.057   0.003   0.006   0.002   0.050   0.084   1.163   1.365
  -121.15    38.73    1952   0.057   0.004   0.008   0.002   0.050   0.072   1.126   1.320
  -121.15    38.73    1953   0.060   0.002   0.004   0.004   0.053   0.066   1.099   1.286
  -121.15    38.73    1954   0.075   0.002   0.003   0.003   0.054   0.056   1.063   1.256
  -121.15    38.73    1955   0.071   0.002   0.004   0.004   0.060   0.049   1.030   1.219
  -121.15    38.73    1956   0.077   0.001   0.003   0.003   0.059   0.042   0.994   1.179
  -121.15    38.73    1957   0.076   0.098   0.228   0.003   0.063   0.036   0.961   1.465
  -121.15    38.73    1958   0.053   0.002   0.003   0.003   0.064   0.117   1.149   1.391
  -121.15    38.73    1959   0.053   0.002   0.004   0.002   0.059   0.092   1.103   1.315
  -121.15    38.73    1960   0.074   0.002   0.004   0.002   0.056   0.081   1.069   1.289
  -121.15    38.73    1961   0.064   0.004   0.007   0.004   0.059   0.069   1.035   1.243
  -121.15    38.73    1962   0.062   0.003   0.007   0.004   0.060   0.062   1.009   1.207
  -121.15    38.73    1963   0.069   0.003   0.006   0.004   0.062   0.056   0.985   1.185
  -121.15    38.73    1964   0.065   0.006   0.012   0.005   0.066   0.051   0.961   1.165
  -121.15    38.73    1965   0.052   0.009   0.025   0.004   0.064   0.048   0.940   1.142
  -121.15    38.73    1966   0.045   0.002   0.005   0.002   0.059   0.048   0.931   1.091
  -121.15    38.73    1967   0.047   0.012   0.097   0.002   0.055   0.042   0.904   1.159
  -121.15    38.73    1968   0.045   0.008   0.019   0.003   0.053   0.047   0.970   1.144
  -121.15    38.73    1969   0.048   0.002   0.005   0.002   0.050   0.047   0.955   1.109
  -121.15    38.73    1970   0.050   0.003   0.005   0.003   0.050   0.042   0.928   1.080
  -121.15    38.73    1971   0.063   0.003   0.004   0.002   0.048   0.037   0.899   1.057
  -121.15    38.73    1972   0.062   0.003   0.006   0.003   0.052   0.034   0.873   1.033
  -121.15    38.73    1973   0.074   0.005   0.008   0.002   0.052   0.030   0.844   1.015
  -121.15    38.73    1974   0.078   0.003   0.006   0.003   0.058   0.030   0.820   0.998
  -121.15    38.73    1975   0.076   0.005   0.039   0.004   0.061   0.028   0.797   1.010
  -121.15    38.73    1976   0.075   0.004   0.007   0.002   0.060   0.027   0.802   0.977
  -121.15    38.73    1977   0.074   0.003   0.007   0.004   0.064   0.026   0.782   0.960
  -121.15    38.73    1978   0.071   0.005   0.011   0.005   0.067   0.025   0.764   0.948
  -121.15    38.73    1979   0.063   0.006   0.015   0.005   0.068   0.025   0.751   0.933
  -121.15    38.73    1980   0.057   0.012   0.057   0.003   0.064   0.027   0.739   0.958
  -121.15    38.73    1981   0.050   0.002   0.007   0.002   0.059   0.033   0.767   0.921
  -121.15    38.73    1982   0.061   0.005   0.011   0.002   0.054   0.029   0.742   0.903
  -121.15    38.73    1983   0.068   0.006   0.016   0.004   0.055   0.029   0.729   0.908
  -121.15    38.73    1984   0.056   0.002   0.062   0.004   0.055   0.030   0.719   0.928
  -121.15    38.73    1985   0.052   0.006   0.010   0.003   0.054   0.027   0.756   0.908
  -121.15    38.73    1986   0.057   0.004   0.012   0.002   0.050   0.027   0.737   0.890
  -121.15    38.73    1987   0.058   0.005   0.015   0.003   0.050   0.027   0.723   0.881
  -121.15    38.73    1988   0.056   0.005   0.014   0.004   0.051   0.027   0.715   0.872
  -121.15    38.73    1989   0.051   0.009   0.173   0.004   0.051   0.027   0.705   1.019
  -121.15    38.73    1990   0.049   0.009   0.162   0.003   0.049   0.031   0.850   1.152
  -121.15    38.73    1991   0.047   0.011   0.165   0.002   0.046   0.033   0.975   1.280
  -121.15    38.73    1992   0.051   0.005   0.013   0.002   0.044   0.038   1.103   1.255
  -121.15    38.73    1993   0.057   0.004   0.009   0.003   0.044   0.036   1.080   1.234
  -121.15    38.73    1994   0.065   0.013   0.030   0.004   0.046   0.034   1.053   1.244
  -121.15    38.73    1995   0.056   0.003   0.006   0.004   0.048   0.040   1.046   1.202
  -121.15    38.73    1996   0.051   0.003   0.006   0.002   0.046   0.036   1.011   1.155
  -121.15    38.73    1997   0.052   0.006   0.016   0.002   0.044   0.032   0.981   1.134
  -121.15    38.73    1998   0.047   0.015   0.042   0.002   0.043   0.032   0.958   1.138
  -121.15    38.73    1999   0.047   0.015   0.049   0.002   0.040   0.039   0.961   1.153
  -121.15    38.73    2000   0.047   0.011   0.154   0.003   0.040   0.046   0.977   1.278
  -121.15    38.73    2001   0.049   0.009   0.020   0.002   0.039   0.048   1.090   1.257
  -121.15    38.73    2002   0.058   0.002   0.003   0.002   0.038   0.047   1.065   1.214
  -121.15    38.73    2003   0.059   0.003   0.006   0.003   0.040   0.041   1.029   1.180
  -121.15    38.73    2004   0.051   0.012   0.021   0.003   0.041   0.037   0.997   1.161
