      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.722   2.916   7.786    12.424
  -121.15    38.73    1951   1.841   2.885   7.773    12.498
  -121.15    38.73    1952   1.982   2.775   7.763    12.520
  -121.15    38.73    1953   2.261   2.710   7.756    12.728
  -121.15    38.73    1954   2.530   2.651   7.741    12.923
  -121.15    38.73    1955   2.600   2.591   7.736    12.927
  -121.15    38.73    1956   2.684   2.534   7.725    12.942
  -121.15    38.73    1957   1.975   3.121   7.727    12.823
  -121.15    38.73    1958   2.126   2.935   7.739    12.800
  -121.15    38.73    1959   2.294   2.764   7.728    12.786
  -121.15    38.73    1960   2.402   2.767   7.716    12.885
  -121.15    38.73    1961   2.349   2.655   7.729    12.733
  -121.15    38.73    1962   2.517   2.579   7.731    12.827
  -121.15    38.73    1963   2.759   2.534   7.733    13.026
  -121.15    38.73    1964   2.596   2.494   7.737    12.827
  -121.15    38.73    1965   2.428   2.456   7.733    12.616
  -121.15    38.73    1966   2.540   2.324   7.722    12.585
  -121.15    38.73    1967   2.367   2.450   7.704    12.521
  -121.15    38.73    1968   2.394   2.418   7.689    12.500
  -121.15    38.73    1969   2.569   2.343   7.670    12.582
  -121.15    38.73    1970   2.776   2.285   7.655    12.716
  -121.15    38.73    1971   2.860   2.250   7.633    12.744
  -121.15    38.73    1972   2.974   2.199   7.625    12.798
  -121.15    38.73    1973   3.389   2.161   7.602    13.153
  -121.15    38.73    1974   3.580   2.135   7.590    13.305
  -121.15    38.73    1975   3.467   2.182   7.587    13.236
  -121.15    38.73    1976   3.640   2.115   7.577    13.332
  -121.15    38.73    1977   3.839   2.075   7.583    13.496
  -121.15    38.73    1978   3.830   2.059   7.587    13.475
  -121.15    38.73    1979   3.727   2.038   7.592    13.357
  -121.15    38.73    1980   3.482   2.087   7.587    13.156
  -121.15    38.73    1981   3.809   1.975   7.579    13.363
  -121.15    38.73    1982   4.183   1.932   7.550    13.666
  -121.15    38.73    1983   4.049   1.968   7.544    13.561
  -121.15    38.73    1984   3.928   2.014   7.541    13.483
  -121.15    38.73    1985   4.109   1.950   7.537    13.595
  -121.15    38.73    1986   4.254   1.919   7.515    13.688
  -121.15    38.73    1987   4.355   1.900   7.506    13.760
  -121.15    38.73    1988   4.287   1.882   7.502    13.670
  -121.15    38.73    1989   3.959   2.188   7.494    13.641
  -121.15    38.73    1990   3.628   2.433   7.485    13.547
  -121.15    38.73    1991   3.513   2.679   7.467    13.659
  -121.15    38.73    1992   3.738   2.620   7.452    13.810
  -121.15    38.73    1993   4.092   2.590   7.444    14.126
  -121.15    38.73    1994   3.953   2.614   7.440    14.007
  -121.15    38.73    1995   3.900   2.537   7.438    13.875
  -121.15    38.73    1996   3.996   2.435   7.427    13.857
  -121.15    38.73    1997   3.886   2.385   7.417    13.688
  -121.15    38.73    1998   3.896   2.392   7.400    13.688
  -121.15    38.73    1999   3.899   2.415   7.383    13.697
  -121.15    38.73    2000   3.655   2.675   7.375    13.705
  -121.15    38.73    2001   3.897   2.625   7.363    13.885
  -121.15    38.73    2002   4.070   2.544   7.348    13.962
  -121.15    38.73    2003   3.968   2.497   7.344    13.809
  -121.15    38.73    2004   4.135   2.456   7.345    13.936
  -121.15    38.73    2005   3.524   3.154   7.337    14.016
  -121.15    38.73    2006   3.693   3.041   7.351    14.086
  -121.15    38.73    2007   3.916   2.950   7.347    14.213
  -121.15    38.73    2008   3.858   2.968   7.347    14.173
  -121.15    38.73    2009   4.127   2.786   7.359    14.272
  -121.15    38.73    2010   4.107   2.840   7.360    14.307
  -121.15    38.73    2011   4.312   2.801   7.364    14.477
  -121.15    38.73    2012   3.162   3.837   7.376    14.374
  -121.15    38.73    2013   3.148   3.617   7.409    14.174
  -121.15    38.73    2014   3.309   3.461   7.422    14.191
  -121.15    38.73    2015   3.372   3.419   7.415    14.205
  -121.15    38.73    2016   3.515   3.238   7.441    14.194
  -121.15    38.73    2017   3.722   3.134   7.448    14.304
  -121.15    38.73    2018   3.712   3.027   7.461    14.200
  -121.15    38.73    2019   3.731   2.924   7.476    14.131
  -121.15    38.73    2020   3.573   2.941   7.485    13.999
  -121.15    38.73    2021   3.554   2.806   7.490    13.850
  -121.15    38.73    2022   2.484   3.833   7.490    13.808
  -121.15    38.73    2023   2.500   3.639   7.514    13.652
  -121.15    38.73    2024   2.770   3.442   7.503    13.715
  -121.15    38.73    2025   3.009   3.392   7.490    13.891
  -121.15    38.73    2026   3.130   3.248   7.503    13.880
  -121.15    38.73    2027   3.061   3.136   7.497    13.694
  -121.15    38.73    2028   3.298   2.992   7.500    13.790
  -121.15    38.73    2029   2.211   4.130   7.499    13.839
  -121.15    38.73    2030   2.277   3.894   7.522    13.693
  -121.15    38.73    2031   2.570   3.683   7.513    13.766
  -121.15    38.73    2032   2.591   3.662   7.506    13.759
  -121.15    38.73    2033   2.573   3.493   7.525    13.591
  -121.15    38.73    2034   2.951   3.324   7.513    13.788
  -121.15    38.73    2035   3.151   3.247   7.516    13.914
  -121.15    38.73    2036   3.280   3.241   7.502    14.022
  -121.15    38.73    2037   3.115   3.238   7.505    13.858
  -121.15    38.73    2038   3.315   3.062   7.501    13.879
  -121.15    38.73    2039   3.142   3.118   7.496    13.756
  -121.15    38.73    2040   3.420   2.959   7.482    13.860
  -121.15    38.73    2041   3.521   2.958   7.472    13.951
  -121.15    38.73    2042   3.220   3.442   7.465    14.127
  -121.15    38.73    2043   2.528   3.964   7.485    13.978
  -121.15    38.73    2044   2.795   3.537   7.504    13.837
  -121.15    38.73    2045   2.985   3.364   7.499    13.848
  -121.15    38.73    2046   2.998   3.283   7.506    13.787
