      Lon      Lat    Year    Leaf     Sap   Heart  SMetab SStruct    SFWD    SCWD   Total
  -121.15    38.73    1950   0.073   0.009   0.017   0.006   0.106   0.184   2.327   2.722
  -121.15    38.73    1951   0.123   0.010   0.084   0.004   0.098   0.166   2.269   2.755
  -121.15    38.73    1952   0.120   0.014   0.024   0.006   0.102   0.147   2.271   2.684
  -121.15    38.73    1953   0.124   0.005   0.007   0.008   0.108   0.139   2.224   2.615
  -121.15    38.73    1954   0.155   0.005   0.007   0.007   0.112   0.121   2.156   2.562
  -121.15    38.73    1955   0.141   0.003   0.004   0.009   0.126   0.107   2.093   2.483
  -121.15    38.73    1956   0.154   0.003   0.005   0.007   0.123   0.091   2.021   2.405
  -121.15    38.73    1957   0.135   0.006   0.011   0.007   0.130   0.079   1.953   2.319
  -121.15    38.73    1958   0.145   0.013   0.019   0.007   0.128   0.072   1.897   2.282
  -121.15    38.73    1959   0.142   0.011   0.017   0.007   0.131   0.072   1.848   2.227
  -121.15    38.73    1960   0.135   0.006   0.009   0.007   0.133   0.070   1.801   2.161
  -121.15    38.73    1961   0.129   0.014   0.031   0.007   0.132   0.064   1.746   2.123
  -121.15    38.73    1962   0.113   0.006   0.011   0.009   0.131   0.068   1.721   2.060
  -121.15    38.73    1963   0.129   0.009   0.018   0.009   0.129   0.064   1.681   2.041
  -121.15    38.73    1964   0.128   0.009   0.019   0.010   0.135   0.064   1.651   2.016
  -121.15    38.73    1965   0.104   0.021   0.060   0.009   0.133   0.063   1.617   2.007
  -121.15    38.73    1966   0.101   0.008   0.016   0.006   0.123   0.072   1.621   1.947
  -121.15    38.73    1967   0.103   0.012   0.046   0.005   0.119   0.068   1.582   1.935
  -121.15    38.73    1968   0.099   0.015   0.034   0.007   0.117   0.069   1.578   1.919
  -121.15    38.73    1969   0.117   0.016   0.023   0.006   0.111   0.072   1.558   1.903
  -121.15    38.73    1970   0.109   0.009   0.013   0.007   0.116   0.076   1.532   1.861
  -121.15    38.73    1971   0.143   0.013   0.025   0.005   0.110   0.071   1.490   1.857
  -121.15    38.73    1972   0.133   0.011   0.021   0.009   0.122   0.072   1.468   1.836
  -121.15    38.73    1973   0.163   0.013   0.019   0.006   0.123   0.070   1.434   1.827
  -121.15    38.73    1974   0.159   0.021   0.036   0.007   0.137   0.071   1.402   1.833
  -121.15    38.73    1975   0.149   0.008   0.017   0.009   0.141   0.078   1.391   1.793
  -121.15    38.73    1976   0.151   0.011   0.026   0.005   0.136   0.071   1.352   1.752
  -121.15    38.73    1977   0.140   0.010   0.025   0.009   0.144   0.071   1.335   1.734
  -121.15    38.73    1978   0.139   0.009   0.025   0.010   0.147   0.070   1.319   1.719
  -121.15    38.73    1979   0.118   0.021   0.064   0.010   0.149   0.068   1.304   1.733
  -121.15    38.73    1980   0.104   0.009   0.084   0.007   0.139   0.077   1.322   1.741
  -121.15    38.73    1981   0.099   0.018   0.050   0.005   0.127   0.072   1.358   1.729
  -121.15    38.73    1982   0.119   0.028   0.060   0.005   0.119   0.076   1.359   1.766
  -121.15    38.73    1983   0.118   0.012   0.041   0.008   0.122   0.090   1.376   1.767
  -121.15    38.73    1984   0.104   0.004   0.021   0.007   0.118   0.087   1.370   1.711
  -121.15    38.73    1985   0.096   0.016   0.051   0.006   0.113   0.077   1.343   1.702
  -121.15    38.73    1986   0.114   0.011   0.032   0.005   0.107   0.079   1.347   1.693
  -121.15    38.73    1987   0.112   0.021   0.061   0.007   0.107   0.076   1.334   1.717
  -121.15    38.73    1988   0.105   0.006   0.031   0.008   0.109   0.084   1.353   1.697
  -121.15    38.73    1989   0.093   0.007   0.033   0.008   0.107   0.078   1.341   1.667
  -121.15    38.73    1990   0.088   0.009   0.047   0.005   0.102   0.072   1.329   1.652
  -121.15    38.73    1991   0.087   0.013   0.053   0.004   0.094   0.068   1.325   1.644
  -121.15    38.73    1992   0.097   0.013   0.056   0.005   0.091   0.069   1.334   1.665
  -121.15    38.73    1993   0.105   0.020   0.066   0.006   0.091   0.071   1.346   1.704
  -121.15    38.73    1994   0.119   0.010   0.039   0.007   0.093   0.079   1.368   1.715
  -121.15    38.73    1995   0.101   0.005   0.027   0.007   0.096   0.076   1.361   1.673
  -121.15    38.73    1996   0.094   0.004   0.022   0.004   0.091   0.067   1.336   1.618
  -121.15    38.73    1997   0.098   0.009   0.030   0.005   0.088   0.061   1.313   1.604
  -121.15    38.73    1998   0.096   0.034   0.124   0.004   0.085   0.058   1.292   1.693
  -121.15    38.73    1999   0.099   0.015   0.055   0.003   0.081   0.078   1.363   1.694
  -121.15    38.73    2000   0.101   0.010   0.048   0.006   0.082   0.079   1.371   1.697
  -121.15    38.73    2001   0.137   0.255   0.939   0.005   0.082   0.075   1.370   2.862
  -121.15    38.73    2002   0.103   0.003   0.014   0.005   0.089   0.282   2.228   2.725
  -121.15    38.73    2003   0.096   0.017   0.048   0.006   0.086   0.220   2.141   2.614
  -121.15    38.73    2004   0.150   0.013   0.025   0.005   0.085   0.203   2.118   2.599
  -121.15    38.73    2005   0.135   0.013   0.033   0.005   0.093   0.178   2.060   2.518
  -121.15    38.73    2006   0.145   0.011   0.025   0.006   0.101   0.160   2.018   2.466
