      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   1.816   2.857   7.787    12.461
  -121.15    38.73    1951   1.861   2.924   7.771    12.556
  -121.15    38.73    1952   1.992   2.836   7.770    12.598
  -121.15    38.73    1953   2.270   2.768   7.770    12.808
  -121.15    38.73    1954   2.549   2.715   7.763    13.028
  -121.15    38.73    1955   2.533   2.651   7.765    12.949
  -121.15    38.73    1956   2.623   2.597   7.760    12.980
  -121.15    38.73    1957   2.662   2.488   7.764    12.914
  -121.15    38.73    1958   2.815   2.461   7.761    13.037
  -121.15    38.73    1959   2.823   2.398   7.758    12.979
  -121.15    38.73    1960   2.937   2.335   7.755    13.027
  -121.15    38.73    1961   2.814   2.294   7.749    12.858
  -121.15    38.73    1962   2.924   2.229   7.750    12.903
  -121.15    38.73    1963   3.166   2.209   7.750    13.125
  -121.15    38.73    1964   3.043   2.186   7.753    12.982
  -121.15    38.73    1965   2.888   2.179   7.749    12.815
  -121.15    38.73    1966   3.033   2.093   7.737    12.863
  -121.15    38.73    1967   3.048   2.067   7.718    12.833
  -121.15    38.73    1968   3.123   2.058   7.703    12.884
  -121.15    38.73    1969   3.272   2.046   7.684    13.003
  -121.15    38.73    1970   3.487   2.001   7.676    13.163
  -121.15    38.73    1971   3.562   2.008   7.656    13.226
  -121.15    38.73    1972   3.679   1.988   7.655    13.321
  -121.15    38.73    1973   4.160   1.979   7.640    13.779
  -121.15    38.73    1974   4.271   1.993   7.636    13.900
  -121.15    38.73    1975   4.203   1.978   7.637    13.818
  -121.15    38.73    1976   4.354   1.930   7.630    13.914
  -121.15    38.73    1977   4.598   1.901   7.639    14.137
  -121.15    38.73    1978   4.601   1.901   7.642    14.144
  -121.15    38.73    1979   4.410   1.926   7.649    13.985
  -121.15    38.73    1980   4.219   1.932   7.648    13.800
  -121.15    38.73    1981   4.502   1.883   7.642    14.026
  -121.15    38.73    1982   4.778   1.913   7.624    14.315
  -121.15    38.73    1983   4.675   1.931   7.619    14.225
  -121.15    38.73    1984   4.623   1.888   7.613    14.124
  -121.15    38.73    1985   4.847   1.849   7.607    14.303
  -121.15    38.73    1986   4.961   1.856   7.587    14.404
  -121.15    38.73    1987   5.058   1.882   7.582    14.523
  -121.15    38.73    1988   4.933   1.861   7.583    14.376
  -121.15    38.73    1989   4.914   1.840   7.578    14.333
  -121.15    38.73    1990   4.892   1.801   7.569    14.262
  -121.15    38.73    1991   5.071   1.786   7.545    14.402
  -121.15    38.73    1992   5.228   1.803   7.530    14.561
  -121.15    38.73    1993   5.535   1.853   7.517    14.906
  -121.15    38.73    1994   5.406   1.876   7.511    14.793
  -121.15    38.73    1995   5.334   1.837   7.508    14.679
  -121.15    38.73    1996   5.437   1.769   7.493    14.699
  -121.15    38.73    1997   5.394   1.748   7.482    14.625
  -121.15    38.73    1998   5.367   1.846   7.461    14.674
  -121.15    38.73    1999   5.407   1.848   7.443    14.698
  -121.15    38.73    2000   5.524   1.869   7.439    14.832
  -121.15    38.73    2001   4.540   3.062   7.435    15.037
  -121.15    38.73    2002   4.602   2.878   7.453    14.932
  -121.15    38.73    2003   4.728   2.766   7.457    14.951
  -121.15    38.73    2004   4.825   2.817   7.457    15.099
  -121.15    38.73    2005   5.042   2.689   7.482    15.213
  -121.15    38.73    2006   5.411   2.636   7.486    15.533
  -121.15    38.73    2007   5.483   2.632   7.493    15.608
  -121.15    38.73    2008   5.465   2.524   7.508    15.498
  -121.15    38.73    2009   5.562   2.474   7.505    15.541
  -121.15    38.73    2010   5.535   2.408   7.505    15.448
  -121.15    38.73    2011   5.733   2.389   7.498    15.619
  -121.15    38.73    2012   5.560   2.446   7.495    15.501
  -121.15    38.73    2013   5.639   2.362   7.490    15.491
  -121.15    38.73    2014   5.673   2.336   7.488    15.497
  -121.15    38.73    2015   5.727   2.320   7.476    15.523
  -121.15    38.73    2016   5.771   2.301   7.473    15.545
  -121.15    38.73    2017   5.728   2.329   7.474    15.531
  -121.15    38.73    2018   5.648   2.281   7.475    15.405
  -121.15    38.73    2019   5.746   2.238   7.475    15.458
  -121.15    38.73    2020   5.616   2.290   7.474    15.381
  -121.15    38.73    2021   4.133   3.671   7.473    15.276
  -121.15    38.73    2022   4.190   3.459   7.493    15.142
  -121.15    38.73    2023   4.420   3.335   7.488    15.243
  -121.15    38.73    2024   4.541   3.300   7.479    15.320
  -121.15    38.73    2025   4.838   3.153   7.497    15.488
  -121.15    38.73    2026   4.861   3.094   7.499    15.455
  -121.15    38.73    2027   4.645   3.023   7.500    15.167
  -121.15    38.73    2028   4.875   2.883   7.501    15.258
  -121.15    38.73    2029   5.019   2.836   7.500    15.356
  -121.15    38.73    2030   5.173   2.735   7.497    15.406
  -121.15    38.73    2031   5.417   2.645   7.491    15.552
  -121.15    38.73    2032   5.320   2.608   7.494    15.423
  -121.15    38.73    2033   5.145   2.540   7.498    15.183
  -121.15    38.73    2034   5.569   2.390   7.481    15.439
  -121.15    38.73    2035   5.580   2.579   7.477    15.637
  -121.15    38.73    2036   5.850   2.494   7.467    15.811
  -121.15    38.73    2037   5.887   2.412   7.457    15.755
  -121.15    38.73    2038   6.104   2.311   7.447    15.862
  -121.15    38.73    2039   6.010   2.280   7.444    15.734
  -121.15    38.73    2040   6.362   2.149   7.427    15.938
  -121.15    38.73    2041   6.579   2.152   7.414    16.145
  -121.15    38.73    2042   6.675   2.269   7.401    16.345
  -121.15    38.73    2043   6.785   2.211   7.385    16.381
  -121.15    38.73    2044   6.822   2.251   7.372    16.445
  -121.15    38.73    2045   6.765   2.216   7.368    16.349
  -121.15    38.73    2046   6.552   2.199   7.355    16.106
  -121.15    38.73    2047   6.646   2.128   7.346    16.120
  -121.15    38.73    2048   6.789   2.084   7.318    16.191
  -121.15    38.73    2049   7.023   2.040   7.294    16.357
  -121.15    38.73    2050   7.159   2.057   7.276    16.493
  -121.15    38.73    2051   7.122   2.116   7.276    16.513
  -121.15    38.73    2052   7.159   2.089   7.272    16.520
  -121.15    38.73    2053   7.073   2.119   7.274    16.466
  -121.15    38.73    2054   6.844   2.182   7.262    16.288
  -121.15    38.73    2055   7.102   2.076   7.248    16.426
  -121.15    38.73    2056   7.502   2.022   7.229    16.754
  -121.15    38.73    2057   7.772   2.049   7.223    17.044
  -121.15    38.73    2058   7.824   1.954   7.223    17.001
  -121.15    38.73    2059   8.025   1.893   7.212    17.130
  -121.15    38.73    2060   7.649   1.891   7.206    16.746
  -121.15    38.73    2061   7.775   1.801   7.187    16.763
  -121.15    38.73    2062   8.131   1.808   7.154    17.093
  -121.15    38.73    2063   8.133   1.922   7.141    17.196
  -121.15    38.73    2064   8.170   1.912   7.130    17.212
  -121.15    38.73    2065   8.374   1.863   7.133    17.370
  -121.15    38.73    2066   8.488   1.875   7.125    17.487
  -121.15    38.73    2067   8.109   2.014   7.120    17.242
  -121.15    38.73    2068   8.425   1.881   7.104    17.409
  -121.15    38.73    2069   8.555   1.903   7.084    17.542
  -121.15    38.73    2070   8.620   2.005   7.075    17.701
  -121.15    38.73    2071   8.386   2.019   7.086    17.491
  -121.15    38.73    2072   8.505   1.868   7.078    17.450
  -121.15    38.73    2073   8.925   1.767   7.050    17.741
  -121.15    38.73    2074   9.081   1.921   7.033    18.036
  -121.15    38.73    2075   9.185   1.843   7.040    18.068
  -121.15    38.73    2076   9.240   1.859   7.029    18.128
  -121.15    38.73    2077   9.229   1.816   7.023    18.068
  -121.15    38.73    2078   9.442   1.783   6.999    18.224
  -121.15    38.73    2079   7.545   3.912   6.966    18.423
  -121.15    38.73    2080   7.602   3.793   6.988    18.382
  -121.15    38.73    2081   6.312   4.829   7.036    18.177
  -121.15    38.73    2082   6.452   4.800   7.058    18.311
  -121.15    38.73    2083   6.302   4.642   7.123    18.068
  -121.15    38.73    2084   6.486   4.355   7.165    18.006
  -121.15    38.73    2085   6.740   4.186   7.172    18.098
  -121.15    38.73    2086   6.970   3.981   7.185    18.136
  -121.15    38.73    2087   7.060   3.862   7.195    18.118
  -121.15    38.73    2088   5.488   5.357   7.207    18.052
  -121.15    38.73    2089   5.527   4.983   7.258    17.768
  -121.15    38.73    2090   5.751   4.554   7.296    17.600
  -121.15    38.73    2091   5.936   4.399   7.291    17.626
  -121.15    38.73    2092   6.311   4.054   7.321    17.686
  -121.15    38.73    2093   6.635   3.861   7.319    17.815
  -121.15    38.73    2094   6.824   3.639   7.319    17.782
  -121.15    38.73    2095   6.928   3.571   7.330    17.829
  -121.15    38.73    2096   6.961   3.492   7.327    17.780
  -121.15    38.73    2097   7.217   3.258   7.316    17.790
  -121.15    38.73    2098   7.293   3.057   7.302    17.652
  -121.15    38.73    2099   7.276   2.879   7.288    17.444
  -121.15    38.73    2100   7.440   2.740   7.264    17.444
  -121.11    38.85    1950   3.850   3.868   8.488    16.205
  -121.11    38.85    1951   4.020   3.812   8.461    16.293
  -121.11    38.85    1952   4.174   3.681   8.469    16.324
  -121.11    38.85    1953   4.445   3.593   8.473    16.510
  -121.11    38.85    1954   4.540   3.596   8.476    16.612
  -121.11    38.85    1955   4.517   3.489   8.493    16.499
  -121.11    38.85    1956   4.481   3.554   8.497    16.532
  -121.11    38.85    1957   4.477   3.447   8.504    16.429
  -121.11    38.85    1958   4.681   3.320   8.509    16.510
  -121.11    38.85    1959   4.534   3.362   8.507    16.403
  -121.11    38.85    1960   4.669   3.236   8.511    16.416
  -121.11    38.85    1961   4.551   3.182   8.507    16.240
  -121.11    38.85    1962   4.731   3.050   8.516    16.297
  -121.11    38.85    1963   4.787   3.150   8.512    16.449
  -121.11    38.85    1964   4.616   3.085   8.532    16.234
  -121.11    38.85    1965   4.473   3.049   8.539    16.061
  -121.11    38.85    1966   4.703   2.908   8.532    16.143
  -121.11    38.85    1967   4.717   2.924   8.523    16.165
  -121.11    38.85    1968   4.759   2.854   8.541    16.154
  -121.11    38.85    1969   4.977   2.764   8.538    16.279
  -121.11    38.85    1970   5.010   2.829   8.542    16.382
  -121.11    38.85    1971   4.019   3.674   8.551    16.244
  -121.11    38.85    1972   3.852   3.848   8.548    16.248
  -121.11    38.85    1973   4.077   3.717   8.558    16.353
  -121.11    38.85    1974   4.152   3.693   8.551    16.396
  -121.11    38.85    1975   4.224   3.533   8.554    16.311
  -121.11    38.85    1976   4.433   3.439   8.531    16.402
  -121.11    38.85    1977   4.583   3.479   8.527    16.590
  -121.11    38.85    1978   4.311   3.817   8.534    16.663
  -121.11    38.85    1979   4.286   3.637   8.556    16.479
  -121.11    38.85    1980   4.279   3.516   8.551    16.347
  -121.11    38.85    1981   4.554   3.448   8.534    16.536
  -121.11    38.85    1982   4.775   3.400   8.527    16.702
  -121.11    38.85    1983   4.790   3.337   8.535    16.662
  -121.11    38.85    1984   4.160   3.898   8.530    16.588
  -121.11    38.85    1985   4.280   3.798   8.538    16.616
  -121.11    38.85    1986   4.470   3.711   8.529    16.710
  -121.11    38.85    1987   4.562   3.725   8.525    16.813
  -121.11    38.85    1988   4.361   3.856   8.542    16.759
  -121.11    38.85    1989   4.458   3.679   8.564    16.701
  -121.11    38.85    1990   4.558   3.583   8.558    16.699
  -121.11    38.85    1991   4.731   3.548   8.552    16.832
  -121.11    38.85    1992   4.844   3.576   8.561    16.981
  -121.11    38.85    1993   5.176   3.506   8.560    17.242
  -121.11    38.85    1994   5.101   3.419   8.565    17.085
  -121.11    38.85    1995   4.488   3.898   8.567    16.953
  -121.11    38.85    1996   4.044   4.157   8.574    16.775
  -121.11    38.85    1997   4.004   3.948   8.594    16.546
  -121.11    38.85    1998   4.109   3.896   8.579    16.583
  -121.11    38.85    1999   4.176   3.863   8.577    16.616
  -121.11    38.85    2000   4.373   3.635   8.601    16.609
  -121.11    38.85    2001   4.700   3.496   8.594    16.790
  -121.11    38.85    2002   4.670   3.441   8.590    16.700
  -121.11    38.85    2003   4.632   3.351   8.602    16.585
  -121.11    38.85    2004   4.916   3.208   8.593    16.717
  -121.11    38.85    2005   5.128   3.106   8.582    16.816
  -121.11    38.85    2006   5.466   2.988   8.568    17.022
  -121.11    38.85    2007   5.518   2.957   8.559    17.034
  -121.11    38.85    2008   5.547   2.857   8.554    16.959
  -121.11    38.85    2009   5.640   2.889   8.527    17.055
  -121.11    38.85    2010   5.630   2.810   8.516    16.956
  -121.11    38.85    2011   5.804   2.770   8.490    17.064
  -121.11    38.85    2012   5.587   2.847   8.476    16.910
  -121.11    38.85    2013   5.687   2.777   8.457    16.920
  -121.11    38.85    2014   5.851   2.737   8.439    17.026
  -121.11    38.85    2015   5.822   2.857   8.412    17.090
  -121.11    38.85    2016   5.848   2.791   8.397    17.037
  -121.11    38.85    2017   5.921   2.710   8.385    17.016
  -121.11    38.85    2018   5.948   2.615   8.381    16.945
  -121.11    38.85    2019   6.005   2.606   8.363    16.974
  -121.11    38.85    2020   5.983   2.597   8.352    16.932
  -121.11    38.85    2021   5.878   2.664   8.334    16.877
  -121.11    38.85    2022   5.931   2.648   8.322    16.902
  -121.11    38.85    2023   5.914   2.577   8.313    16.803
  -121.11    38.85    2024   6.189   2.463   8.293    16.945
  -121.11    38.85    2025   6.276   2.409   8.260    16.945
  -121.11    38.85    2026   5.866   2.733   8.246    16.845
  -121.11    38.85    2027   5.526   2.807   8.227    16.560
  -121.11    38.85    2028   5.813   2.651   8.204    16.667
