      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.908   1.429   3.894     6.230
  -121.15    38.73    1951   0.930   1.462   3.886     6.278
  -121.15    38.73    1952   0.996   1.418   3.885     6.299
  -121.15    38.73    1953   1.135   1.384   3.885     6.404
  -121.15    38.73    1954   1.275   1.358   3.882     6.514
  -121.15    38.73    1955   1.266   1.325   3.883     6.475
  -121.15    38.73    1956   1.311   1.299   3.880     6.490
  -121.15    38.73    1957   1.331   1.244   3.882     6.457
  -121.15    38.73    1958   1.408   1.231   3.880     6.519
  -121.15    38.73    1959   1.412   1.199   3.879     6.490
  -121.15    38.73    1960   1.468   1.167   3.877     6.513
  -121.15    38.73    1961   1.407   1.147   3.875     6.429
  -121.15    38.73    1962   1.462   1.114   3.875     6.451
  -121.15    38.73    1963   1.583   1.105   3.875     6.562
  -121.15    38.73    1964   1.522   1.093   3.876     6.491
  -121.15    38.73    1965   1.444   1.089   3.874     6.408
  -121.15    38.73    1966   1.517   1.046   3.869     6.432
  -121.15    38.73    1967   1.524   1.033   3.859     6.417
  -121.15    38.73    1968   1.561   1.029   3.851     6.442
  -121.15    38.73    1969   1.636   1.023   3.842     6.501
  -121.15    38.73    1970   1.744   1.000   3.838     6.582
  -121.15    38.73    1971   1.781   1.004   3.828     6.613
  -121.15    38.73    1972   1.839   0.994   3.827     6.661
  -121.15    38.73    1973   2.080   0.989   3.820     6.890
  -121.15    38.73    1974   2.135   0.997   3.818     6.950
  -121.15    38.73    1975   2.102   0.989   3.819     6.909
  -121.15    38.73    1976   2.177   0.965   3.815     6.957
  -121.15    38.73    1977   2.299   0.950   3.819     7.069
  -121.15    38.73    1978   2.301   0.950   3.821     7.072
  -121.15    38.73    1979   2.205   0.963   3.825     6.992
  -121.15    38.73    1980   2.110   0.966   3.824     6.900
  -121.15    38.73    1981   2.251   0.941   3.821     7.013
  -121.15    38.73    1982   2.389   0.956   3.812     7.158
  -121.15    38.73    1983   2.337   0.966   3.809     7.112
  -121.15    38.73    1984   2.312   0.944   3.807     7.062
  -121.15    38.73    1985   2.423   0.925   3.803     7.151
  -121.15    38.73    1986   2.480   0.928   3.794     7.202
  -121.15    38.73    1987   2.529   0.941   3.791     7.261
  -121.15    38.73    1988   2.466   0.930   3.791     7.188
  -121.15    38.73    1989   2.457   0.920   3.789     7.166
  -121.15    38.73    1990   2.446   0.900   3.785     7.131
  -121.15    38.73    1991   2.535   0.893   3.772     7.201
  -121.15    38.73    1992   2.614   0.901   3.765     7.280
  -121.15    38.73    1993   2.768   0.927   3.759     7.453
  -121.15    38.73    1994   2.703   0.938   3.756     7.397
  -121.15    38.73    1995   2.667   0.919   3.754     7.339
  -121.15    38.73    1996   2.718   0.885   3.747     7.350
  -121.15    38.73    1997   2.697   0.874   3.741     7.312
  -121.15    38.73    1998   2.683   0.923   3.730     7.337
  -121.15    38.73    1999   2.703   0.924   3.721     7.349
  -121.15    38.73    2000   2.762   0.934   3.719     7.416
  -121.15    38.73    2001   2.270   1.531   3.717     7.519
  -121.15    38.73    2002   2.301   1.439   3.726     7.466
  -121.15    38.73    2003   2.364   1.383   3.728     7.475
  -121.15    38.73    2004   2.412   1.409   3.728     7.550
  -121.15    38.73    2005   2.521   1.345   3.741     7.606
  -121.15    38.73    2006   2.705   1.318   3.743     7.766
  -121.15    38.73    2007   2.741   1.316   3.747     7.804
  -121.15    38.73    2008   2.733   1.262   3.754     7.749
  -121.15    38.73    2009   2.781   1.237   3.752     7.770
  -121.15    38.73    2010   2.768   1.204   3.753     7.724
  -121.15    38.73    2011   2.866   1.194   3.749     7.809
  -121.15    38.73    2012   2.780   1.223   3.747     7.751
  -121.15    38.73    2013   2.819   1.181   3.745     7.745
  -121.15    38.73    2014   2.837   1.168   3.744     7.749
  -121.15    38.73    2015   2.864   1.160   3.738     7.762
  -121.15    38.73    2016   2.886   1.150   3.736     7.772
  -121.15    38.73    2017   2.864   1.165   3.737     7.766
  -121.15    38.73    2018   2.824   1.141   3.738     7.702
  -121.15    38.73    2019   2.873   1.119   3.737     7.729
  -121.15    38.73    2020   2.808   1.145   3.737     7.690
  -121.15    38.73    2021   2.066   1.835   3.736     7.638
  -121.15    38.73    2022   2.095   1.730   3.746     7.571
  -121.15    38.73    2023   2.210   1.668   3.744     7.622
  -121.15    38.73    2024   2.271   1.650   3.739     7.660
  -121.15    38.73    2025   2.419   1.577   3.748     7.744
  -121.15    38.73    2026   2.430   1.547   3.750     7.727
  -121.15    38.73    2027   2.322   1.511   3.750     7.583
  -121.15    38.73    2028   2.437   1.441   3.751     7.629
  -121.15    38.73    2029   2.510   1.418   3.750     7.678
  -121.15    38.73    2030   2.587   1.368   3.748     7.703
  -121.15    38.73    2031   2.708   1.322   3.745     7.776
  -121.15    38.73    2032   2.660   1.304   3.747     7.711
  -121.15    38.73    2033   2.572   1.270   3.749     7.592
  -121.15    38.73    2034   2.784   1.195   3.740     7.720
  -121.15    38.73    2035   2.790   1.290   3.739     7.818
  -121.15    38.73    2036   2.925   1.247   3.733     7.905
  -121.15    38.73    2037   2.943   1.206   3.728     7.877
  -121.15    38.73    2038   3.052   1.156   3.724     7.931
  -121.15    38.73    2039   3.005   1.140   3.722     7.867
  -121.15    38.73    2040   3.181   1.074   3.714     7.969
  -121.15    38.73    2041   3.290   1.076   3.707     8.072
  -121.15    38.73    2042   3.338   1.134   3.700     8.172
  -121.15    38.73    2043   3.393   1.105   3.692     8.190
  -121.15    38.73    2044   3.411   1.126   3.686     8.223
  -121.15    38.73    2045   3.382   1.108   3.684     8.175
  -121.15    38.73    2046   3.276   1.100   3.677     8.053
  -121.15    38.73    2047   3.323   1.064   3.673     8.060
  -121.15    38.73    2048   3.394   1.042   3.659     8.095
  -121.15    38.73    2049   3.512   1.020   3.647     8.179
  -121.15    38.73    2050   3.580   1.029   3.638     8.247
  -121.15    38.73    2051   3.561   1.058   3.638     8.257
  -121.15    38.73    2052   3.580   1.045   3.636     8.260
  -121.15    38.73    2053   3.537   1.060   3.637     8.233
  -121.15    38.73    2054   3.422   1.091   3.631     8.144
  -121.15    38.73    2055   3.551   1.038   3.624     8.213
  -121.15    38.73    2056   3.751   1.011   3.615     8.377
  -121.15    38.73    2057   3.886   1.025   3.611     8.522
  -121.15    38.73    2058   3.912   0.977   3.611     8.501
  -121.15    38.73    2059   4.013   0.946   3.606     8.565
  -121.15    38.73    2060   3.824   0.946   3.603     8.373
  -121.15    38.73    2061   3.888   0.900   3.594     8.382
  -121.15    38.73    2062   4.066   0.904   3.577     8.547
  -121.15    38.73    2063   4.066   0.961   3.570     8.598
  -121.15    38.73    2064   4.085   0.956   3.565     8.606
  -121.15    38.73    2065   4.187   0.931   3.567     8.685
  -121.15    38.73    2066   4.244   0.937   3.563     8.744
  -121.15    38.73    2067   4.054   1.007   3.560     8.621
  -121.15    38.73    2068   4.212   0.940   3.552     8.705
  -121.15    38.73    2069   4.278   0.952   3.542     8.771
  -121.15    38.73    2070   4.310   1.003   3.538     8.850
  -121.15    38.73    2071   4.193   1.010   3.543     8.745
  -121.15    38.73    2072   4.252   0.934   3.539     8.725
  -121.15    38.73    2073   4.462   0.883   3.525     8.870
  -121.15    38.73    2074   4.541   0.961   3.517     9.018
  -121.15    38.73    2075   4.592   0.922   3.520     9.034
  -121.15    38.73    2076   4.620   0.930   3.514     9.064
  -121.15    38.73    2077   4.615   0.908   3.512     9.034
  -121.15    38.73    2078   4.721   0.892   3.499     9.112
  -121.15    38.73    2079   3.772   1.956   3.483     9.212
  -121.15    38.73    2080   3.801   1.896   3.494     9.191
  -121.15    38.73    2081   3.156   2.414   3.518     9.088
  -121.15    38.73    2082   3.226   2.400   3.529     9.155
  -121.15    38.73    2083   3.151   2.321   3.562     9.034
  -121.15    38.73    2084   3.243   2.178   3.582     9.003
  -121.15    38.73    2085   3.370   2.093   3.586     9.049
  -121.15    38.73    2086   3.485   1.991   3.593     9.068
  -121.15    38.73    2087   3.530   1.931   3.598     9.059
  -121.15    38.73    2088   2.744   2.679   3.604     9.026
  -121.15    38.73    2089   2.764   2.491   3.629     8.884
  -121.15    38.73    2090   2.875   2.277   3.648     8.800
  -121.15    38.73    2091   2.968   2.200   3.645     8.813
  -121.15    38.73    2092   3.155   2.027   3.661     8.843
  -121.15    38.73    2093   3.318   1.930   3.660     8.908
  -121.15    38.73    2094   3.412   1.819   3.660     8.891
  -121.15    38.73    2095   3.464   1.785   3.665     8.914
  -121.15    38.73    2096   3.481   1.746   3.663     8.890
  -121.15    38.73    2097   3.608   1.629   3.658     8.895
  -121.15    38.73    2098   3.646   1.528   3.651     8.826
  -121.15    38.73    2099   3.638   1.440   3.644     8.722
  -121.15    38.73    2100   3.720   1.370   3.632     8.722
  -121.11    38.85    1950   1.925   1.934   4.244     8.103
  -121.11    38.85    1951   2.010   1.906   4.231     8.147
  -121.11    38.85    1952   2.087   1.840   4.235     8.162
  -121.11    38.85    1953   2.222   1.797   4.236     8.255
  -121.11    38.85    1954   2.270   1.798   4.238     8.306
  -121.11    38.85    1955   2.259   1.744   4.247     8.250
  -121.11    38.85    1956   2.241   1.779   4.248     8.269
  -121.11    38.85    1957   2.239   1.726   4.252     8.217
  -121.11    38.85    1958   2.340   1.662   4.255     8.257
  -121.11    38.85    1959   2.267   1.683   4.254     8.204
  -121.11    38.85    1960   2.335   1.620   4.256     8.210
  -121.11    38.85    1961   2.276   1.593   4.254     8.122
  -121.11    38.85    1962   2.365   1.527   4.258     8.150
  -121.11    38.85    1963   2.394   1.577   4.256     8.226
  -121.11    38.85    1964   2.308   1.544   4.266     8.119
  -121.11    38.85    1965   2.237   1.526   4.270     8.032
  -121.11    38.85    1966   2.352   1.456   4.266     8.073
  -121.11    38.85    1967   2.359   1.464   4.262     8.084
  -121.11    38.85    1968   2.379   1.428   4.271     8.079
  -121.11    38.85    1969   2.489   1.383   4.269     8.141
  -121.11    38.85    1970   2.505   1.416   4.271     8.193
  -121.11    38.85    1971   2.020   1.831   4.276     8.126
  -121.11    38.85    1972   2.064   1.790   4.274     8.128
  -121.11    38.85    1973   2.195   1.767   4.271     8.233
  -121.11    38.85    1974   2.167   1.792   4.274     8.233
  -121.11    38.85    1975   2.217   1.682   4.279     8.178
  -121.11    38.85    1976   2.314   1.646   4.263     8.223
  -121.11    38.85    1977   2.370   1.672   4.263     8.304
  -121.11    38.85    1978   2.005   2.054   4.265     8.324
  -121.11    38.85    1979   2.001   1.912   4.281     8.194
  -121.11    38.85    1980   2.103   1.773   4.277     8.153
  -121.11    38.85    1981   2.248   1.748   4.265     8.261
  -121.11    38.85    1982   2.370   1.718   4.267     8.355
  -121.11    38.85    1983   2.424   1.665   4.272     8.361
  -121.11    38.85    1984   1.847   2.222   4.271     8.340
  -121.11    38.85    1985   1.874   2.135   4.283     8.292
  -121.11    38.85    1986   1.998   2.066   4.280     8.345
  -121.11    38.85    1987   2.070   2.048   4.280     8.398
  -121.11    38.85    1988   1.847   2.227   4.295     8.369
  -121.11    38.85    1989   1.884   2.111   4.315     8.311
  -121.11    38.85    1990   2.006   2.013   4.312     8.331
  -121.11    38.85    1991   2.085   2.001   4.310     8.395
  -121.11    38.85    1992   2.184   1.966   4.322     8.472
  -121.11    38.85    1993   2.388   1.906   4.323     8.617
  -121.11    38.85    1994   2.365   1.861   4.329     8.555
  -121.11    38.85    1995   2.365   1.773   4.333     8.470
  -121.11    38.85    1996   2.302   1.778   4.331     8.410
  -121.11    38.85    1997   2.196   1.760   4.339     8.295
  -121.11    38.85    1998   2.214   1.732   4.332     8.278
  -121.11    38.85    1999   2.304   1.664   4.320     8.288
  -121.11    38.85    2000   2.403   1.626   4.316     8.345
