      Lon      Lat    Year    Surf   Drain    Base   Total
  -121.15    38.73    1950   106.8     0.0     1.1   107.8
  -121.15    38.73    1951    29.4    11.7     2.0    43.1
  -121.15    38.73    1952   143.9     0.0     1.5   145.3
  -121.15    38.73    1953   118.9     8.9     2.9   130.7
  -121.15    38.73    1954    57.6     0.0     0.6    58.2
  -121.15    38.73    1955    27.4     0.0     0.0    27.4
  -121.15    38.73    1956   119.3     0.0     0.1   119.5
  -121.15    38.73    1957    19.8     0.0     0.0    19.8
  -121.15    38.73    1958   215.7     0.0     0.2   215.8
  -121.15    38.73    1959    21.8     0.0     0.0    21.8
  -121.15    38.73    1960   183.4     0.0     0.1   183.4
  -121.15    38.73    1961    37.0     0.0     0.0    37.0
  -121.15    38.73    1962   292.7     0.0     0.1   292.8
  -121.15    38.73    1963   404.9     0.0     0.9   405.8
  -121.15    38.73    1964     0.0     0.0     0.0     0.0
  -121.15    38.73    1965    41.1     0.0     0.0    41.1
  -121.15    38.73    1966    12.4     0.0     0.0    12.4
  -121.15    38.73    1967     5.5     0.0     0.0     5.5
  -121.15    38.73    1968     0.0     0.0     0.0     0.0
  -121.15    38.73    1969   153.7     0.0     0.0   153.8
  -121.15    38.73    1970   160.8     0.0     0.4   161.2
  -121.15    38.73    1971    77.4     0.0     0.0    77.4
  -121.15    38.73    1972   519.1     0.0     0.3   519.5
  -121.15    38.73    1973   161.6     0.0     1.3   162.9
  -121.15    38.73    1974   165.7     0.0     1.2   166.9
  -121.15    38.73    1975     4.3     0.0     0.0     4.3
  -121.15    38.73    1976    45.6     0.0     0.0    45.6
  -121.15    38.73    1977   275.2     0.0     1.3   276.4
  -121.15    38.73    1978   177.7     0.0     0.2   177.9
  -121.15    38.73    1979   481.2     0.0     0.1   481.4
  -121.15    38.73    1980   358.9     0.0     0.0   358.9
  -121.15    38.73    1981   414.4     0.0     1.4   415.8
  -121.15    38.73    1982   151.4     0.0     1.0   152.3
  -121.15    38.73    1983   173.5     0.0     0.1   173.7
  -121.15    38.73    1984   336.0     0.0     0.1   336.1
  -121.15    38.73    1985    81.2     0.0     0.4    81.6
  -121.15    38.73    1986   218.7     0.0     0.1   218.7
  -121.15    38.73    1987   249.0     0.0     0.6   249.7
  -121.15    38.73    1988    69.0     0.0     0.0    69.0
  -121.15    38.73    1989    38.3     0.0     0.0    38.3
  -121.15    38.73    1990   148.9     0.0     0.0   148.9
  -121.15    38.73    1991   358.7     0.0     0.5   359.1
  -121.15    38.73    1992   374.6     0.0     1.2   375.8
  -121.15    38.73    1993   315.2     0.0     8.6   323.8
  -121.15    38.73    1994    48.3     0.0     0.0    48.3
  -121.15    38.73    1995   134.5     0.0     0.0   134.5
  -121.15    38.73    1996    60.4     0.0     0.0    60.5
  -121.15    38.73    1997     0.0     0.0     0.0     0.0
  -121.15    38.73    1998   167.5     0.0     0.0   167.5
  -121.15    38.73    1999    61.3     0.0     0.0    61.3
  -121.15    38.73    2000   187.1     0.0     0.7   187.8
  -121.15    38.73    2001   227.1     0.0     1.6   228.6
  -121.15    38.73    2002   127.3     0.0     0.1   127.4
  -121.15    38.73    2003   418.8    13.0     3.9   435.8
  -121.15    38.73    2004   103.0    17.1     2.2   122.4
  -121.15    38.73    2005   347.0     3.5     6.0   356.5
  -121.15    38.73    2006   338.5    14.1    10.3   362.9
  -121.15    38.73    2007   569.6     0.0     1.0   570.5
  -121.15    38.73    2008   221.8     0.0     0.7   222.5
  -121.15    38.73    2009     2.2     0.0     0.0     2.2
  -121.15    38.73    2010   541.8     0.0     0.6   542.3
  -121.15    38.73    2011   281.1     0.0     4.3   285.4
  -121.15    38.73    2012    76.4     0.0     0.1    76.5
  -121.15    38.73    2013   258.3     0.0     0.7   259.0
  -121.15    38.73    2014    27.3     0.0     0.0    27.3
  -121.15    38.73    2015   101.0     0.0     0.0   101.0
  -121.15    38.73    2016   100.7     0.0     0.3   101.0
  -121.15    38.73    2017   204.0     0.0     0.6   204.6
  -121.15    38.73    2018     0.0     0.0     0.0     0.0
  -121.15    38.73    2019    57.4     0.0     0.0    57.4
  -121.15    38.73    2020    73.4     0.0     0.0    73.4
  -121.15    38.73    2021    90.7     0.0     0.0    90.7
  -121.15    38.73    2022    44.8     0.0     0.0    44.8
  -121.15    38.73    2023   163.7     0.0     1.5   165.1
  -121.15    38.73    2024   214.7    11.6     5.3   231.5
  -121.15    38.73    2025   377.1    14.4    10.3   401.8
  -121.15    38.73    2026     3.7     0.0     0.1     3.8
  -121.15    38.73    2027   119.4     0.0     0.0   119.4
  -121.15    38.73    2028   122.0     0.0     0.3   122.3
  -121.15    38.73    2029   399.2     0.0     0.5   399.7
  -121.15    38.73    2030   167.8     0.0     0.5   168.3
  -121.15    38.73    2031    46.7     0.0     0.3    47.0
  -121.15    38.73    2032    20.4     0.0     0.0    20.4
  -121.15    38.73    2033   118.9     0.0     0.0   118.9
  -121.15    38.73    2034    94.0     0.0     0.1    94.0
  -121.15    38.73    2035   105.1     0.0     0.5   105.7
  -121.15    38.73    2036   110.1     0.0     0.0   110.1
  -121.15    38.73    2037    34.7     0.0     0.0    34.7
  -121.15    38.73    2038    33.5     0.0     0.3    33.7
  -121.15    38.73    2039   470.7     0.0     0.0   470.7
  -121.15    38.73    2040   494.2     0.0     0.7   494.8
  -121.15    38.73    2041   413.1     0.0     2.3   415.4
  -121.15    38.73    2042   632.6     0.0     1.7   634.3
  -121.15    38.73    2043   239.0     0.0     0.2   239.3
  -121.15    38.73    2044   420.0     0.0     1.9   422.0
  -121.15    38.73    2045   250.6     0.0     1.2   251.8
  -121.15    38.73    2046    91.5     0.0     0.0    91.6
  -121.15    38.73    2047   263.6     0.0     0.4   264.0
  -121.15    38.73    2048   305.9     0.0     0.4   306.2
  -121.15    38.73    2049   294.6     0.0     0.8   295.3
  -121.15    38.73    2050   244.9     0.0     0.4   245.3
  -121.15    38.73    2051   340.2     0.0     0.5   340.7
  -121.15    38.73    2052   310.2     0.0     0.5   310.8
  -121.15    38.73    2053     9.4     0.0     0.0     9.4
  -121.15    38.73    2054     0.0     0.0     0.0     0.0
  -121.15    38.73    2055   178.7     0.0     0.1   178.8
  -121.15    38.73    2056   757.2     0.0     5.7   762.9
  -121.15    38.73    2057   285.7     0.0    13.0   298.7
  -121.15    38.73    2058    78.1     0.0     0.1    78.2
  -121.15    38.73    2059    52.5     0.0     0.4    52.9
  -121.15    38.73    2060   254.0     0.0     0.0   254.0
  -121.15    38.73    2061   256.7     0.0     0.1   256.8
  -121.15    38.73    2062    10.2     0.0     0.2    10.4
  -121.15    38.73    2063   325.9     0.0     0.2   326.0
  -121.15    38.73    2064   122.4     0.0     0.2   122.6
  -121.15    38.73    2065   448.2     0.0     1.7   449.9
  -121.15    38.73    2066    99.1     0.0     0.0    99.1
  -121.15    38.73    2067    60.2     0.0     0.0    60.2
  -121.15    38.73    2068   153.4     0.0     1.0   154.4
  -121.15    38.73    2069    53.8     0.0     0.0    53.8
  -121.15    38.73    2070   105.1     0.0     0.2   105.3
  -121.15    38.73    2071    15.6     0.0     0.0    15.6
  -121.15    38.73    2072   539.7     0.0     0.2   539.9
  -121.15    38.73    2073   227.0     0.0     4.6   231.6
  -121.15    38.73    2074    59.7     0.0     0.9    60.6
  -121.15    38.73    2075   345.1     0.0     0.6   345.8
  -121.15    38.73    2076   196.1     0.0     0.3   196.4
  -121.15    38.73    2077    48.3     0.0     0.0    48.3
  -121.15    38.73    2078   222.6     0.0     0.2   222.8
  -121.15    38.73    2079   314.7     0.0     0.9   315.6
  -121.15    38.73    2080   609.6     0.0     5.4   615.1
  -121.15    38.73    2081   624.0    36.0    11.2   671.2
  -121.15    38.73    2082   210.5    22.5     3.2   236.1
  -121.15    38.73    2083    34.5     0.0     0.0    34.5
  -121.15    38.73    2084   252.6     0.0     0.7   253.4
  -121.15    38.73    2085   357.7     0.0     3.3   360.9
  -121.15    38.73    2086   200.3     0.7    10.3   211.4
  -121.15    38.73    2087   242.0     0.0     3.0   245.0
  -121.15    38.73    2088   196.0     0.6     5.1   201.7
  -121.15    38.73    2089   161.9     0.3     3.6   165.8
  -121.15    38.73    2090   102.6     0.0     1.2   103.7
  -121.15    38.73    2091   356.6    22.0     4.5   383.1
  -121.15    38.73    2092   360.6     6.2     7.5   374.2
  -121.15    38.73    2093   319.4    27.3    14.9   361.6
  -121.15    38.73    2094   171.8    11.3    11.0   194.1
  -121.15    38.73    2095   131.8     0.0     3.0   134.8
  -121.15    38.73    2096   292.5     0.0     0.3   292.8
  -121.15    38.73    2097   580.6     0.0    12.3   592.9
  -121.15    38.73    2098     1.0     0.0     0.0     1.0
  -121.15    38.73    2099   191.6     0.0     0.1   191.7
  -121.15    38.73    2100    32.9     0.0     0.3    33.2
  -121.11    38.85    1950    44.4     0.0     0.1    44.5
  -121.11    38.85    1951    75.9     0.0     0.3    76.1
  -121.11    38.85    1952    87.2     0.0     0.0    87.2
  -121.11    38.85    1953   153.2     0.0     0.2   153.4
  -121.11    38.85    1954    30.0     0.0     0.0    30.0
  -121.11    38.85    1955     0.0     0.0     0.0     0.0
  -121.11    38.85    1956    78.3     0.0     0.0    78.3
  -121.11    38.85    1957     4.5     0.0     0.0     4.5
  -121.11    38.85    1958   184.9     0.0     0.0   184.9
  -121.11    38.85    1959     0.4     0.0     0.0     0.4
  -121.11    38.85    1960   141.8     0.0     0.0   141.8
  -121.11    38.85    1961     6.7     0.0     0.0     6.7
  -121.11    38.85    1962   203.4     0.0     0.0   203.4
  -121.11    38.85    1963   374.1     0.0     0.0   374.1
  -121.11    38.85    1964     0.0     0.0     0.0     0.0
  -121.11    38.85    1965    16.9     0.0     0.0    16.9
  -121.11    38.85    1966     2.1     0.0     0.0     2.1
  -121.11    38.85    1967    19.0     0.0     0.0    19.0
  -121.11    38.85    1968     0.0     0.0     0.0     0.0
  -121.11    38.85    1969   151.7     0.0     0.0   151.7
  -121.11    38.85    1970   170.6     0.0     0.0   170.6
  -121.11    38.85    1971    48.6     0.0     0.0    48.6
  -121.11    38.85    1972   605.2     0.0     0.0   605.2
  -121.11    38.85    1973   152.8     0.0     0.3   153.0
  -121.11    38.85    1974   147.1     0.2     1.2   148.6
  -121.11    38.85    1975     0.0     8.1     0.0     8.1
  -121.11    38.85    1976     2.5     0.0     0.0     2.5
  -121.11    38.85    1977   246.1     0.0     1.0   247.1
  -121.11    38.85    1978   165.9     0.0     0.7   166.6
  -121.11    38.85    1979   518.1     0.0     0.0   518.1
  -121.11    38.85    1980   311.4     0.0     0.4   311.7
  -121.11    38.85    1981   471.3     0.0     1.3   472.6
  -121.11    38.85    1982   105.9     0.0     0.9   106.8
  -121.11    38.85    1983   156.8     0.0     0.9   157.7
  -121.11    38.85    1984   317.7     0.0     0.1   317.8
  -121.11    38.85    1985    84.1     0.0     0.0    84.1
  -121.11    38.85    1986   184.7     0.0     0.8   185.5
  -121.11    38.85    1987   296.4     0.0     1.4   297.9
  -121.11    38.85    1988     6.2     0.0     0.0     6.2
  -121.11    38.85    1989    36.4     0.0     0.1    36.5
  -121.11    38.85    1990   148.4     0.0     0.1   148.5
  -121.11    38.85    1991   469.1     0.0     0.5   469.6
  -121.11    38.85    1992   376.9     0.0     1.3   378.2
  -121.11    38.85    1993   356.2     0.0     3.2   359.3
  -121.11    38.85    1994    69.5     0.0     0.2    69.7
  -121.11    38.85    1995    66.9     0.0     0.0    66.9
  -121.11    38.85    1996    65.9     0.0     0.0    65.9
  -121.11    38.85    1997     0.0     0.0     0.0     0.0
  -121.11    38.85    1998   152.0     0.0     0.2   152.2
  -121.11    38.85    1999    15.5     0.0     0.0    15.5
  -121.11    38.85    2000   189.4     0.0     0.6   190.0
  -121.11    38.85    2001   332.4     9.3     3.0   344.8
  -121.11    38.85    2002    85.3     9.5     0.8    95.6
  -121.11    38.85    2003   341.3     0.0     0.9   342.1
  -121.11    38.85    2004   139.8     0.0     0.7   140.5
  -121.11    38.85    2005   354.1     0.0     0.3   354.5
  -121.11    38.85    2006   401.7     0.0     0.3   402.0
  -121.11    38.85    2007   648.3     0.0     0.0   648.3
  -121.11    38.85    2008   261.0     0.0     0.1   261.1
  -121.11    38.85    2009     0.2     0.0     0.0     0.2
  -121.11    38.85    2010   576.5     0.0     0.0   576.5
  -121.11    38.85    2011   334.0     0.0     0.3   334.3
  -121.11    38.85    2012     2.3     0.0     0.0     2.3
  -121.11    38.85    2013   283.1     0.0     0.0   283.1
  -121.11    38.85    2014     0.3     0.0     0.0     0.3
  -121.11    38.85    2015    73.0     0.0     0.0    73.0
  -121.11    38.85    2016   108.1     0.0     0.0   108.1
  -121.11    38.85    2017   190.5     0.0     0.0   190.6
  -121.11    38.85    2018     0.0     0.0     0.0     0.0
  -121.11    38.85    2019    26.4     0.0     0.0    26.4
  -121.11    38.85    2020   101.9     0.0     0.0   101.9
  -121.11    38.85    2021    66.9     0.0     0.0    66.9
  -121.11    38.85    2022    39.7     0.0     0.0    39.7
  -121.11    38.85    2023   174.2     0.0     0.0   174.2
  -121.11    38.85    2024   152.4     0.0     0.0   152.4
  -121.11    38.85    2025   489.1     0.0     0.1   489.2
  -121.11    38.85    2026     0.0     0.0     0.0     0.0
  -121.11    38.85    2027    73.3     0.0     0.0    73.3
  -121.11    38.85    2028   112.4     0.0     0.3   112.7
  -121.11    38.85    2029   508.2     0.0     1.3   509.4
  -121.11    38.85    2030   170.0     0.0     1.2   171.2
  -121.11    38.85    2031   125.9     0.0     1.4   127.3
  -121.11    38.85    2032    18.0     0.0     0.6    18.6
  -121.11    38.85    2033    46.6     0.0     0.2    46.8
  -121.11    38.85    2034    22.1     0.0     0.0    22.1
  -121.11    38.85    2035   147.2     0.0     0.3   147.5
  -121.11    38.85    2036    50.2     0.0     0.0    50.2
  -121.11    38.85    2037    18.9     0.0     0.3    19.1
  -121.11    38.85    2038     5.2     0.0     0.2     5.4
  -121.11    38.85    2039   362.1     0.0     1.2   363.3
  -121.11    38.85    2040   619.1     0.0     4.6   623.7
  -121.11    38.85    2041   407.8     5.3     3.2   416.3
  -121.11    38.85    2042   636.9     3.2     4.4   644.5
  -121.11    38.85    2043   157.2     3.6     1.3   162.1
  -121.11    38.85    2044   380.5     0.0     3.3   383.8
