      Lon      Lat    Year     Abi_alb1     Abi_alb2      Jun_oxy     Pin_syl1     Pin_syl2     Pin_syl3          MRS      Que_ile     Que_rob1        C3_gr
  -121.15    38.73    1979         0.00         0.00         0.00         0.00         0.00        18.21      2195.55      1697.86      2571.59      1075.55
  -121.15    38.73    1980         0.00         0.00         0.00         0.00         0.00       141.80       590.72       488.77       673.30       488.77
  -121.15    38.73    1981         0.00         0.00         0.00         0.00         0.00       107.80       471.85       389.14       538.28       389.14
  -121.15    38.73    1982         0.00         0.00         0.00         0.00         0.00       174.15       784.03       645.90       894.66       645.90
  -121.15    38.73    1983         0.00         0.00         0.00         0.00         0.00       224.22      1023.16       842.72      1168.43       292.79
  -121.15    38.73    1984         0.00         0.00         0.00         0.00         0.00        87.12       372.77       383.13       526.17         0.00
  -121.15    38.73    1985         0.00         0.00         0.00         0.00         0.00       176.60       749.97       773.31      1056.12         0.00
  -121.15    38.73    1986         0.00         0.00         0.00         0.00         0.00       283.99       954.78       984.33      1419.98       172.13
  -121.15    38.73    1987         0.00         0.00         0.00         0.00         0.00       575.84      1538.89      1199.84      2214.05       185.64
  -121.15    38.73    1988         0.00         0.00         0.00         0.00         0.00       841.45      2075.08      1641.67      2503.25       306.24
  -121.15    38.73    1989         0.00         0.00         0.00         0.00         0.00      1017.80      2368.63      1894.21      2296.20       558.78
  -121.15    38.73    1990         0.00         0.00         0.00         0.00         0.00      1304.05      2386.15      1845.10      1845.10       224.62
  -121.15    38.73    1991         0.00         0.00         0.00         0.00         0.00      1529.37      2646.76      2118.07      2118.07       314.12
  -121.15    38.73    1992         0.00         0.00         0.00         0.00         0.00       418.62       471.28       497.14       497.14       172.00
  -121.15    38.73    1993         0.00         0.00         0.00         0.00         0.00       392.10       419.76       445.41       445.41       283.82
  -121.15    38.73    1994         0.00         0.00         0.00         0.00         0.00       486.70       526.45       458.37       554.79       245.57
  -121.15    38.73    1995         0.00         0.00         0.00         0.00         0.00       851.61      1059.20       922.36      1122.31       374.23
  -121.15    38.73    1996         0.00         0.00         0.00         0.00         0.00      1162.32      1455.76      1267.93      1539.67       458.75
  -121.15    38.73    1997         0.00         0.00         0.00         0.00         0.00       226.78       282.03       245.38       301.57       130.99
  -121.15    38.73    1998         0.00         0.00         0.00         0.00         0.00       320.52       535.86       465.00       566.32       120.57
  -121.15    38.73    1999         0.00         0.00         0.00         0.00         0.00       624.11      1064.71       924.23      1122.02       140.47
  -121.15    38.73    2000         0.00         0.00         0.00         0.00         0.00       853.51      1460.50      1268.70      1538.29       484.94
  -121.15    38.73    2001         0.00         0.00         0.00         0.00         0.00       219.18       387.90       333.25       401.12        54.65
  -121.15    38.73    2002         0.00         0.00         0.00         0.00         0.00       568.50      1002.38       864.87      1043.30       586.27
  -121.15    38.73    2003         0.00         0.00         0.00         0.00         0.00       770.83      1366.99      1176.56      1419.75       190.43
  -121.15    38.73    2004         0.00         0.00         0.00         0.00         0.00       276.35       490.95       424.22       512.74       424.22
  -121.15    38.73    2005         0.00         0.00         0.00         0.00         0.00       404.19       724.42       623.67       753.12       623.67
  -121.15    38.73    2006         0.00         0.00         0.00         0.00         0.00       263.59       494.54       418.82       503.15        75.72
  -121.15    38.73    2007         0.00         0.00         0.00         0.00         0.00       502.29       930.57       792.82       954.50       449.72
  -121.15    38.73    2008         0.00         0.00         0.00         0.00         0.00       272.20      1449.32      1232.67      1232.67       718.60
  -121.15    38.73    2009         0.00         0.00         0.00         0.00         0.00         0.00       367.18       312.68       312.68       312.68
  -121.15    38.73    2010         0.00         0.00         0.00         0.00         0.00         0.00       714.50       608.14       608.14       484.90
  -121.15    38.73    2011         0.00         0.00         0.00         0.00         0.00         0.00       254.66       215.13       215.13       215.13
  -121.15    38.73    2012         0.00         0.00         0.00         0.00         0.00         0.00       693.74       586.81       586.81       455.61
  -121.15    38.73    2013         0.00         0.00         0.00         0.00         0.00         0.00       993.53       839.45       839.45       530.41
  -121.15    38.73    2014         0.00         0.00         0.00         0.00         0.00         0.00      1120.79       910.27       910.27       478.97
  -121.15    38.73    2015         0.00         0.00         0.00         0.00         0.00         0.00       327.10       264.63       264.63       194.07
  -121.15    38.73    2016         0.00         0.00         0.00         0.00         0.00        20.80       329.16       271.21       271.21       271.21
  -121.15    38.73    2017         0.00         0.00         0.00         0.00         0.00       141.52       713.29       604.67       604.67       341.41
  -121.15    38.73    2018         0.00         0.00         0.00         0.00         0.00       287.13      1238.97      1059.42      1059.42       796.17
  -121.15    38.73    2019         0.00         0.00         0.00         0.00         0.00       365.69      1539.20      1315.81      1315.81       433.77
  -121.15    38.73    2020         0.00         0.00         0.00         0.00         0.00       503.24      2097.87      1798.69      1798.69       299.18
  -121.15    38.73    2021         0.00         0.00         0.00         0.00         0.00       640.11      2637.88      1519.76      2262.41       174.58
  -121.11    38.85    1979         0.00         0.00         0.00         0.00         0.00       749.97        20.47       385.22      1128.52       552.25
  -121.11    38.85    1980         0.00         0.00         0.00         0.00         0.00       505.67       120.84       274.78       655.92       425.02
  -121.11    38.85    1981         0.00         0.00         0.00         0.00         0.00      1012.18       267.48       565.36      1310.67       596.37
  -121.11    38.85    1982         0.00         0.00         0.00         0.00         0.00      1261.16       356.31       718.25      1660.72       761.50
  -121.11    38.85    1983         0.00         0.00         0.00         0.00         0.00      1469.98       425.76       843.44      1931.66       879.37
  -121.11    38.85    1984         0.00         0.00         0.00         0.00         0.00      1836.92       549.44      1064.43      2430.42      1108.50
  -121.11    38.85    1985         0.00         0.00         0.00         0.00         0.00      1005.26         0.00       685.43      2377.20      1371.94
  -121.11    38.85    1986         0.00         0.00         0.00         0.00         0.00      1238.22         0.00       831.89      2910.65      1672.43
  -121.11    38.85    1987         0.00         0.00         0.00         0.00         0.00      1557.49         0.00         0.00      3673.37      2115.88
  -121.11    38.85    1988         0.00         0.00         0.00         0.00         0.00       285.97         0.00         0.00       680.42       394.45
  -121.11    38.85    1989         0.00         0.00         0.00         0.00         0.00       385.38         0.00         0.00       928.51       598.73
  -121.11    38.85    1990         0.00         0.00         0.00         0.00         0.00       259.95         0.00        72.84       528.72       268.77
  -121.11    38.85    1991         0.00         0.00         0.00         0.00         0.00       188.82         0.00        60.41       390.91       202.09
  -121.11    38.85    1992         0.00         0.00         0.00         0.00         0.00       497.60         0.00       159.58      1026.44       528.84
  -121.11    38.85    1993         0.00         0.00         0.00         0.00         0.00       730.76         0.00       232.38      1498.49       767.73
  -121.11    38.85    1994         0.00         0.00         0.00         0.00         0.00      1024.99         0.00       329.63      2117.19      1092.20
  -121.11    38.85    1995         0.00         0.00         0.00         0.00         0.00       396.55         0.00       187.01       721.20       324.65
  -121.11    38.85    1996         0.00         0.00         0.00         0.00         0.00       599.87         0.00       275.72      1102.33       502.46
  -121.11    38.85    1997         0.00         0.00         0.00         0.00         0.00       184.26         0.00        93.64       340.31       156.06
  -121.11    38.85    1998         0.00         0.00         0.00         0.00         0.00       297.15         0.00       138.03       555.64       258.49
  -121.11    38.85    1999         0.00         0.00         0.00         0.00         0.00       399.71         0.00       194.06       756.21       356.50
  -121.11    38.85    2000         0.00         0.00         0.00         0.00         0.00       448.35         0.00       298.90      1175.51       556.35
  -121.11    38.85    2001         0.00         0.00         0.00         0.00         0.00       191.48         0.00       127.65       546.36       263.22
