      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.15    38.73    1979   3.445   8.838  29.890  46.469  71.955  58.784   3.845   0.837   0.775   9.373   4.676   2.516
  -121.15    38.73    1980   4.345  12.490  36.192  55.819  82.295  82.456  44.779   4.149   1.719  12.825   8.646   5.722
  -121.15    38.73    1981   4.942  13.720  30.913  62.690  85.066  48.456   5.529   4.919  15.235  15.044   4.153   2.658
  -121.15    38.73    1982   4.110  13.318  27.213  54.474  93.331  92.805  69.067  45.569  32.940  13.731   4.673   2.632
  -121.15    38.73    1983   4.408  11.480  25.995  58.437 109.859 120.963  88.760  54.114  36.768  18.963   4.721   2.573
  -121.15    38.73    1984   7.554  16.022  40.725  67.438 116.967 100.473  15.847  14.997   2.756  13.668   4.418   4.423
  -121.15    38.73    1985   5.506  15.945  28.811  61.100  88.465  42.935   0.000   3.011  16.594  15.018   3.777   3.711
  -121.15    38.73    1986   5.080  11.307  31.022  52.877  82.351  88.365  47.627   0.000  22.319  13.492   7.609   3.687
  -121.15    38.73    1987   4.029  12.588  27.681  60.789  79.376  16.467   1.337   1.147   1.821  16.331   7.362   3.526
  -121.15    38.73    1988   4.456  15.544  34.539  41.525  59.344  63.559  14.383   4.840   2.560   2.479   4.549   2.133
  -121.15    38.73    1989   4.490   9.522  23.382  62.377  91.363  75.371  13.042  18.415  44.037  20.310  10.076   5.881
  -121.15    38.73    1990   5.596  14.981  37.306  59.147  75.094  97.315  45.345  16.923   4.139  14.565  10.107   3.564
  -121.15    38.73    1991   5.339  12.030  17.347  42.667  62.420  63.624  30.804  14.736   0.499  15.233   8.017   4.371
  -121.15    38.73    1992   4.968   9.836  29.917  53.751  86.625  61.036   3.185   0.000   0.000  14.870   7.532   3.209
  -121.15    38.73    1993   4.056  10.809  31.967  60.072  88.282  96.852  41.898   2.914   2.560  19.448   7.995   4.402
  -121.15    38.73    1994   6.321  13.161  39.474  60.389  85.725  68.539   7.559   6.447   8.178   3.718   6.746   3.823
  -121.15    38.73    1995   3.875  17.214  24.926  48.148  71.212  84.813  89.610  19.444   2.911   3.508   4.712   3.456
  -121.15    38.73    1996   4.634  11.931  35.243  56.335  79.687 102.986  82.956   7.176   0.000  15.434   5.943   2.879
  -121.15    38.73    1997   4.599  18.670  44.035  64.367  98.888  44.378   2.082   8.356   1.770  16.695   4.828   4.289
  -121.15    38.73    1998   3.441   8.197  31.768  49.698  58.840  87.295 105.198  66.978  12.937  15.633   5.141   3.355
  -121.15    38.73    1999   4.068   9.145  28.556  59.686 102.984  90.872  10.988   1.877   0.000  13.718   6.852   5.261
  -121.15    38.73    2000   4.019   9.847  39.029  63.087  87.003 101.472  60.144   0.041   0.000  12.147   5.794   3.842
  -121.15    38.73    2001   5.545  14.635  43.107  65.018 107.311  98.928   3.473   0.000  11.037  15.459   5.381   2.574
  -121.15    38.73    2002   4.470  15.283  32.580  54.376  92.289 108.258  64.807   0.000   0.000   0.000   4.382   2.001
  -121.15    38.73    2003   7.512  18.249  40.356  48.763  98.574 107.755  18.553  13.444   0.000   3.689   5.774   2.714
  -121.15    38.73    2004   4.490  11.744  44.106  69.067  91.219  36.673   0.000   0.000   5.655  10.740   4.778   2.941
  -121.15    38.73    2005   4.605  16.331  35.673  60.269  76.989  95.164 108.763  41.530   8.268  10.644   6.134   2.524
  -121.15    38.73    2006   5.371  17.214  25.239  50.115  97.914 111.308  84.972   0.002   0.000   0.000   5.106   2.424
  -121.15    38.73    2007   4.688  12.116  42.493  61.747  84.214  57.573   0.025   0.000   7.441  10.369   5.261   2.119
  -121.15    38.73    2008   3.488  15.769  44.852  73.198  77.525   0.122   0.000   0.000   0.000   9.117   3.780   1.624
  -121.15    38.73    2009   4.223  12.144  36.812  60.541  80.397  46.731   0.703   0.000   5.812   8.669   3.968   1.766
  -121.15    38.73    2010   3.947  13.946  33.298  47.635  71.246  90.889  83.298   1.256   0.000   8.054   3.700   1.962
  -121.15    38.73    2011   4.944  12.583  23.991  52.378  77.415  95.012 106.841  29.293   5.549  10.128   4.658   2.914
  -121.15    38.73    2012   6.444  19.073  32.773  70.296 104.603  64.311   0.000   0.000   0.000  11.889   3.966   1.607
  -121.15    38.73    2013   4.461  18.855  43.807  76.278  91.668  49.303   0.019   0.000  13.945   6.013   5.142   3.237
  -121.15    38.73    2014   6.873  15.842  41.526  70.215  81.137  29.624   0.000   0.000  13.353  10.285   4.098   1.993
  -121.15    38.73    2015   4.769  15.423  36.650  53.984  64.973  46.057   7.136   0.000   1.391   5.792   3.470   1.317
  -121.15    38.73    2016   3.384  14.376  26.366  49.707  68.302  74.625  14.634   0.000   0.000   5.858   2.885   1.578
  -121.15    38.73    2017   3.220   9.105  34.642  53.753  99.910  97.354  74.601  48.275   6.209  13.625   4.904   4.039
  -121.15    38.73    2018   4.854  16.326  30.027  58.930  95.624 109.207  58.879   6.320   1.716   2.831   4.304   2.618
  -121.15    38.73    2019   4.543   8.846  32.407  65.962  86.587 115.596 109.103  17.888  19.191  10.419   5.754   2.813
  -121.15    38.73    2020   5.260  20.605  38.086  68.109  90.067  83.779   5.488   0.000   0.000   0.000   4.377   2.395
  -121.15    38.73    2021   4.062  15.319  40.764  75.118  90.301  23.709   0.000   0.000   3.453   6.836   4.330   1.142
  -121.11    38.85    1979   0.528   5.559  30.639  52.171  83.858  67.942  58.998  39.009   3.960   3.363   1.515   0.750
  -121.11    38.85    1980   2.171  11.909  38.111  64.485  97.389 115.401  87.264  49.578   9.191  10.728   5.118   3.459
  -121.11    38.85    1981   2.743  13.816  31.868  79.192 101.711  98.718  81.591  13.212  19.956  10.473   2.113   1.181
  -121.11    38.85    1982   1.157  10.155  25.638  60.505 110.829 108.510 119.918  88.107  48.190   7.197   2.224   1.290
  -121.11    38.85    1983   1.669   9.131  21.894  59.548 123.243 134.925 139.689  88.951  48.421  11.776   1.992   0.961
  -121.11    38.85    1984   3.325  14.062  37.831  70.781 125.564 124.643 103.074  66.030  15.056   6.999   1.999   2.347
  -121.11    38.85    1985   1.741  15.848  31.926  79.465 105.410  89.668  82.382  18.699  34.043   8.130   1.979   2.424
  -121.11    38.85    1986   3.801  11.628  42.024  74.931 118.062 113.256  79.772  38.587  17.542   9.930   4.751   2.226
  -121.11    38.85    1987   1.782  14.693  35.273  85.642  99.109  92.371  60.225   4.585   0.000   8.630   3.880   2.110
  -121.11    38.85    1988   2.670  23.154  54.136  62.285  78.714  75.871  69.827  15.704   1.324   0.151   1.979   0.947
  -121.11    38.85    1989   1.137   7.151  22.894  68.531 102.681 101.408  73.624  47.666  53.233   6.586   3.338   2.395
  -121.11    38.85    1990   2.004  13.633  39.186  71.485  88.826 109.827  93.168  75.247  23.740   7.801   4.466   1.913
  -121.11    38.85    1991   1.580  14.694  23.550  69.520  91.753  88.235  86.900  32.762   1.957   8.816   4.322   2.598
  -121.11    38.85    1992   1.732  10.082  39.724  76.816 108.661  89.472  82.096  23.814   0.000   8.629   3.756   1.982
  -121.11    38.85    1993   1.068   7.057  32.621  64.414  95.402 113.376  99.318  70.956  15.892   7.705   3.265   1.974
  -121.11    38.85    1994   1.973   9.737  41.283  72.122  99.363  95.798  79.755  16.063   9.599   0.394   3.328   1.711
  -121.11    38.85    1995   0.832  16.552  25.624  57.635  86.917 100.962  98.907  82.908  36.479   0.604   3.221   1.322
  -121.11    38.85    1996   0.951  10.150  36.909  65.636  93.145 114.460  97.180  84.011  42.070   5.685   2.225   0.871
  -121.11    38.85    1997   1.131  14.290  44.763  73.563 112.743  97.792  68.568  20.338   5.887   7.170   1.978   1.937
  -121.11    38.85    1998   0.691   5.402  31.485  55.889  67.615 104.318 124.842  94.529  64.024   8.650   2.407   1.882
  -121.11    38.85    1999   1.160   4.866  28.804  65.193 124.179 107.601  91.266  27.598   0.000  12.445   3.390   2.847
  -121.11    38.85    2000   1.063   8.089  41.192  74.236 102.338 111.346  98.374  57.969  15.673   7.338   3.441   2.127
  -121.11    38.85    2001   1.152   6.836  38.985  68.379 112.004  93.442  87.857  34.040  12.038   8.296   2.187   0.829
  -121.11    38.85    2002   1.024   9.628  32.591  64.148 108.140 121.932 100.473  58.292   5.934   0.000   3.657   0.836
  -121.11    38.85    2003   1.519  14.346  36.647  49.343 105.114 106.887  86.868  68.057  10.207   1.747   2.699   1.152
  -121.11    38.85    2004   1.159   7.240  48.645  81.521  95.294  84.789  40.599   0.513   9.096   5.799   2.954   2.026
  -121.11    38.85    2005   1.244  10.881  34.754  64.852  84.154 106.910 122.264  95.692  61.854   9.796   4.098   1.200
  -121.11    38.85    2006   1.442  10.923  14.700  38.883  87.944 100.160 105.460  82.462  14.512   2.999   3.343   1.357
  -121.11    38.85    2007   0.927   5.818  32.863  54.507  80.468  68.095  63.379   3.030  11.880   3.533   2.226   1.138
  -121.11    38.85    2008   1.236  11.316  44.162  82.588 105.322  93.771  30.136   1.675   3.692  13.427   6.309   1.768
  -121.11    38.85    2009   2.429  10.862  39.745  70.575 105.669  92.823  91.291  21.212  15.368  11.258   5.712   2.254
  -121.11    38.85    2010   2.384  12.945  33.750  55.481  91.520 120.598 131.466  94.448  19.636  14.276   5.878   2.487
  -121.11    38.85    2011   4.155  11.363  20.376  58.935  95.363 122.369 140.887 120.653  45.012  22.206   8.184   5.974
  -121.11    38.85    2012   3.997  18.559  24.679  71.642 130.733 120.943  96.063   3.320   0.000  16.214   4.469   2.201
  -121.11    38.85    2013   2.701  13.996  44.084  84.112 104.404 101.738  86.795   1.249  22.612   8.839   6.548   5.016
  -121.11    38.85    2014   4.773  13.448  42.184  80.067 110.921 100.527  68.809   1.453  24.217  14.525   5.385   2.079
  -121.11    38.85    2015   4.445  19.171  50.903  78.315 102.573  98.156  86.125   3.291   2.770  11.078   6.290   2.532
  -121.11    38.85    2016   2.242  18.887  32.942  70.599 102.152 109.511 100.765  26.113   0.000   8.606   4.508   2.815
  -121.11    38.85    2017   1.531   7.991  32.291  55.383 106.872 113.322 123.996 100.383  38.028  11.793   4.126   3.580
  -121.11    38.85    2018   2.654  17.305  26.487  65.444 110.732 126.030 115.287  46.259   7.054   1.076   4.611   2.549
  -121.11    38.85    2019   1.374   6.736  26.403  65.423  87.241 116.909 113.553  87.364  64.391  11.299   3.735   1.744
  -121.11    38.85    2020   2.274  21.999  34.501  74.120 102.618 100.104  92.751  13.217   0.000   0.000   5.085   2.452
  -121.11    38.85    2021   1.091  13.062  39.520  78.916  88.881  82.438  62.291   2.481   5.867   4.676   2.766   0.888
  -121.11    38.81    1979   1.514   8.968  41.518  67.565  96.684  82.978  81.250  73.148  20.685   7.849   4.056   2.038
  -121.11    38.81    1980   2.708  13.042  41.115  67.566  99.853 115.557 106.399  87.039  22.653   7.021   6.241   4.051
  -121.11    38.81    1981   2.880  15.842  35.645  84.008 104.976 108.222  49.296  21.556  21.524  11.065   2.548   1.200
  -121.11    38.81    1982   1.481  10.398  28.864  62.012 107.072 104.652 112.413  86.739  49.095   8.352   2.969   1.705
  -121.11    38.81    1983   1.914   9.634  24.278  63.506 124.910 135.519 138.925  96.241  55.524  15.545   2.812   1.102
  -121.11    38.81    1984   3.114  14.052  38.870  72.832 125.760 115.331 110.265  91.108  35.108   9.706   2.429   2.820
  -121.11    38.81    1985   2.304  16.552  33.179  79.645  97.034  98.393  86.729  27.121  35.526  12.502   2.804   3.173
  -121.11    38.81    1986   3.417  12.792  44.671  77.708 118.599 109.315  99.728  69.254  22.507  13.592   6.512   2.689
  -121.11    38.81    1987   2.126  15.305  37.963  84.541 101.372 101.010  37.587  14.475   3.745  12.888   5.207   2.559
  -121.11    38.81    1988   2.594  23.612  55.518  64.493  80.695  84.389  60.114   9.017   1.486   0.083   2.995   1.220
  -121.11    38.81    1989   1.928   7.534  26.901  68.872  95.396  87.226  83.289  74.275  57.026  10.289   5.524   3.853
  -121.11    38.81    1990   2.951  15.365  41.197  72.096  89.969 104.215 104.646  59.385  18.561  10.794   5.397   2.839
  -121.11    38.81    1991   3.297  16.484  28.009  73.184 100.834 102.266 105.493  46.368   7.421  16.437   7.639   4.183
  -121.11    38.81    1992   3.325  11.159  41.782  79.733 111.707 100.661 105.051  33.930   8.386  16.060   6.500   3.103
  -121.11    38.81    1993   2.005   9.474  34.188  66.581  98.128 114.517 112.170  91.458  57.439  10.363   5.654   3.070
  -121.11    38.81    1994   3.462  11.313  43.246  74.886 100.062 106.744  52.815  12.148  10.563   0.270   4.887   2.528
  -121.11    38.81    1995   1.408  17.812  28.247  56.329  81.837  95.145 110.492  89.295  47.628  15.343   7.154   2.132
  -121.11    38.81    1996   1.489   8.969  31.751  55.818  79.770 102.444  95.034  79.237  38.827  10.379   3.250   1.071
  -121.11    38.81    1997   1.666  14.177  37.561  60.216  90.540  83.634  77.721  36.812  11.084  10.149   2.452   2.424
  -121.11    38.81    1998   1.317   6.391  31.557  56.799  68.145 105.430 128.226 106.349  62.207  19.544   4.455   3.457
  -121.11    38.81    1999   2.343   6.629  31.071  68.843 125.456 124.317 112.135  68.702  16.861  15.329   6.721   5.516
  -121.11    38.81    2000   2.099   8.758  42.995  75.360 101.530 113.549 109.440  89.823  21.312  13.689   6.093   3.773
  -121.11    38.81    2001   2.677  10.137  42.637  71.841 106.124  98.804 105.529  67.260  35.009  13.080   4.089   1.657
  -121.11    38.81    2002   2.314  12.648  33.683  64.733 109.689 117.100 101.843  88.772  18.834   0.000   5.108   1.554
  -121.11    38.81    2003   3.441  17.782  40.646  53.999 112.691 111.280  98.839  92.789  44.041   3.356   5.458   2.092
  -121.11    38.81    2004   2.268   9.760  51.856  83.332  95.411  95.702  54.200   6.537   7.073  10.476   4.721   3.041
  -121.11    38.81    2005   1.954  13.701  37.004  67.621  87.398 109.285 112.581  93.277  62.408  13.502   5.392   1.646
  -121.11    38.81    2006   2.077  14.110  20.886  51.268 109.047 123.829 120.087  99.879  64.944   4.285   4.331   1.705
  -121.11    38.81    2007   2.176   9.589  45.454  72.584  95.349  92.925  66.552  18.773  11.186   9.229   4.992   2.362
  -121.11    38.81    2008   1.440  12.217  47.193  80.603  96.047  92.568  19.173   0.000   0.000   9.768   3.649   1.681
  -121.11    38.81    2009   2.560  11.785  43.483  72.886  87.735  83.332  84.793  16.462   5.752  11.253   5.573   2.117
  -121.11    38.81    2010   2.588  13.240  36.763  57.560  91.178 110.202 111.279  92.829  44.228  14.991   5.916   2.397
  -121.11    38.81    2011   4.423  11.532  22.175  60.196  94.941 120.556 131.876 109.562  68.084  22.039   7.534   5.475
  -121.11    38.81    2012   3.693  16.487  27.506  71.534 109.212 106.330 108.940  48.164  10.251  13.826   4.006   1.999
  -121.11    38.81    2013   3.140  15.825  45.054  86.732 103.501  99.399 104.313  27.318  26.812   8.094   7.351   5.518
  -121.11    38.81    2014   4.091  12.880  41.246  77.686  98.723  99.724  75.455  16.480  19.999  13.921   5.115   1.877
  -121.11    38.81    2015   3.500  18.423  50.529  78.525  94.455  95.475  94.879  15.884   2.463   7.393   5.856   2.261
  -121.11    38.81    2016   2.010  17.516  34.436  72.864 100.849  99.830 100.697  83.349   5.759   9.273   4.361   2.603
  -121.11    38.81    2017   1.414   8.245  34.256  57.944 110.708 117.420 121.310  94.083  56.923  11.513   3.648   3.024
  -121.11    38.81    2018   2.035  17.133  30.884  70.500 117.134 113.108 102.569  87.722  17.909   0.603   3.880   2.091
  -121.11    38.81    2019   1.041   6.203  28.279  69.182  91.047 112.964  95.159  81.694  67.218   6.369   2.830   1.269
  -121.11    38.81    2020   1.783  19.659  37.016  76.159  95.324  94.943  81.429  22.207   2.210   0.000   3.824   1.821
  -121.11    38.81    2021   1.290  13.340  42.255  72.371  83.820  83.257  51.198   3.998   4.760   5.673   3.269   0.904
  -121.11    38.77    1979   1.692   9.300  40.765  65.956 104.093  99.936  54.610  10.512   0.942   9.286   4.467   2.372
  -121.11    38.77    1980   3.024  13.858  42.148  68.792 101.042 117.970  98.118  16.963   0.003  10.564   6.373   4.728
  -121.11    38.77    1981   2.910  14.856  34.422  80.967 103.687  95.748  13.942   0.000  15.278  13.624   2.801   1.297
  -121.11    38.77    1982   1.470  10.400  28.443  60.735 103.289 101.085 112.477  70.789  47.636   7.384   2.711   1.636
  -121.11    38.77    1983   1.768   9.598  23.540  61.611 123.358 134.095 125.426  68.593  48.278  13.556   2.703   1.171
  -121.11    38.77    1984   2.340  14.107  38.229  73.025 126.907 119.728  88.299   6.522   3.328   6.816   2.163   2.285
  -121.11    38.77    1985   1.639  14.387  32.867  80.202 105.294  88.177  24.444   4.674  25.740   8.057   2.218   2.361
  -121.11    38.77    1986   3.115  13.423  43.030  73.629 113.759 119.491  63.590   9.989  13.710   9.178   4.773   2.190
  -121.11    38.77    1987   1.851  15.458  36.787  84.913 103.478  79.948  13.773   2.203   0.000  10.739   4.780   2.377
  -121.11    38.77    1988   2.271  23.090  55.178  64.677  84.761  83.627  40.897   4.195   0.606   0.281   2.409   1.084
  -121.11    38.77    1989   1.425   6.128  24.911  66.316  98.187  96.093  52.895  16.510  54.023   8.781   4.084   2.812
  -121.11    38.77    1990   2.315  14.896  42.622  73.431  90.795 113.197  95.739  15.572   0.522  11.852   6.047   2.418
  -121.11    38.77    1991   2.920  16.111  27.780  72.423  98.313  96.619  42.696   7.719   0.262  14.020   6.620   3.594
  -121.11    38.77    1992   2.616  10.752  41.271  77.542 117.702  94.971  37.601   0.000   0.000  12.589   5.362   2.603
  -121.11    38.77    1993   1.669   8.541  33.666  64.802  94.485 113.290 108.598  22.061   0.101  10.664   4.855   2.668
  -121.11    38.77    1994   2.955  11.882  43.889  73.900 103.401 100.103  31.026   0.000   6.802   0.850   3.704   2.284
