      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.15    38.73    1979  18.921  20.894  28.200  27.791  17.532   5.295   2.978   1.953   1.429   4.300  10.595  17.089
  -121.15    38.73    1980  21.034  17.562  26.291  26.326  14.421   2.533   0.002   0.000   0.000   0.006   0.021   0.105
  -121.15    38.73    1981   8.457  14.966  25.616  26.781  13.002   1.279   0.000   0.000   0.010   1.942  18.070  17.236
  -121.15    38.73    1982  22.088  22.501  26.086  37.346  25.806   4.287   0.052   0.000   1.583  22.868  23.796  19.227
  -121.15    38.73    1983  16.563  11.592   9.521  14.374  12.849   2.999   0.029   0.001   0.153   1.137  11.106  14.428
  -121.15    38.73    1984  12.001   2.730   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.260   7.800  10.265
  -121.15    38.73    1985  17.323  14.435  16.509  14.922   6.735   2.706   1.351   0.912   1.175   2.200  16.139  19.592
  -121.15    38.73    1986  13.456   4.632   6.920   7.947   6.447   3.805   2.700   1.738   2.321   2.267   1.429   1.397
  -121.15    38.73    1987   6.496  12.462  19.024  13.516   5.981   2.682   1.426   0.802   0.436   0.781   3.924   8.684
  -121.15    38.73    1988  15.212  11.403  10.535  11.670  14.376   6.958   3.596   2.217   1.539   0.878   3.007  10.456
  -121.15    38.73    1989  17.549  13.565  18.138  19.753   8.490   0.925   0.003   0.002   1.216   8.097  13.113  10.238
  -121.15    38.73    1990  16.153  20.888  21.563  17.561  20.541  10.554   0.231   0.000   0.000   0.002   0.177   1.201
  -121.15    38.73    1991   2.791   5.510  23.627  21.045  10.969   6.804   3.709   1.888   1.148   3.518   5.410   7.815
  -121.15    38.73    1992  10.721   9.983  12.271  12.829   9.270   4.032   3.157   2.112   1.462   2.438   2.422   4.771
  -121.15    38.73    1993  15.572  12.400  14.487  14.649  11.649   4.745   0.374   0.000   0.000   0.028   2.072   7.016
  -121.15    38.73    1994  14.201  13.297  15.090  13.085   9.246   1.713   0.000   0.000   0.001   0.000   0.426   3.765
  -121.15    38.73    1995  14.452  12.388  18.480  22.474  20.889  11.865   3.842   0.043   0.000   0.000   0.000   8.189
  -121.15    38.73    1996  16.569  12.548  17.479  17.419  19.896   9.295   0.937   0.001   0.000   0.508   5.146  15.342
  -121.15    38.73    1997  18.046  11.575   9.331   6.644   2.760   0.078   0.000   0.001   0.000   0.325   9.705  15.428
  -121.15    38.73    1998  15.983  12.404  18.173  22.764  25.637  19.495   4.739   0.088   0.002   0.112   5.681  11.873
  -121.15    38.73    1999  12.055   6.936   3.098   3.317   2.084   0.201   0.000   0.000   0.000   0.007   0.900   1.836
  -121.15    38.73    2000   7.911   4.506   2.875   3.099   2.867   1.228   0.029   0.000   0.000   4.257   8.700   7.824
  -121.15    38.73    2001  15.232  15.724  11.271  13.000  11.168   2.132   0.001   0.000   0.003   0.049   4.735  14.951
  -121.15    38.73    2002  17.063   9.918   4.095   3.982   3.026   1.176   0.045   0.000   0.000   0.000   0.005   8.944
  -121.15    38.73    2003  19.731   9.954  12.273  16.709  18.169   4.914   0.055   0.002   0.000   0.001   0.107   8.277
  -121.15    38.73    2004  18.413  10.620   5.202   3.531   1.382   0.065   0.000   0.000   0.002   4.398  14.808  17.457
  -121.15    38.73    2005  21.867  16.598  17.581  19.031  18.625  13.981   3.972   0.033   0.005   0.017   0.912  12.855
  -121.15    38.73    2006  18.822  11.534   8.797  13.272  14.234   5.193   0.408   0.000   0.000   0.000   0.183   3.203
  -121.15    38.73    2007   7.530   7.827   3.039   3.183   1.435   0.024   0.000   0.000   0.002   0.634   1.723   5.650
  -121.15    38.73    2008  17.213  19.424  12.734   8.583   2.216   0.000   0.000   0.000   0.000   0.015   0.018   2.669
  -121.15    38.73    2009  12.018  19.281  26.978  26.054  15.654   1.576   0.000   0.000   0.004   2.751   8.195  15.573
  -121.15    38.73    2010  25.017  21.437  24.565  33.804  29.780  12.000   0.934   0.000   0.000   8.242  21.690  24.154
  -121.15    38.73    2011  22.689  16.561  13.480  14.180  12.889   8.998   2.252   0.003   0.000   0.422   1.673   1.915
  -121.15    38.73    2012   5.932   5.174   6.213  10.614   8.575   0.828   0.000   0.000   0.000   0.845  12.755  18.213
  -121.15    38.73    2013  22.066  13.201   8.756   8.294   2.934   0.126   0.000   0.000   0.021   0.022   0.803   1.644
  -121.15    38.73    2014   1.752   5.714  15.037  14.339   5.484   0.077   0.000   0.000   0.055   1.976   6.883  18.075
  -121.15    38.73    2015  24.601  17.596  20.118  19.872  14.049   5.720   2.520   1.240   0.654   0.534   0.993   6.697
  -121.15    38.73    2016  19.197  11.001  14.311  17.352  12.238   5.336   3.020   1.975   1.351  20.311  25.153  18.612
  -121.15    38.73    2017  21.191  12.058  13.520  18.362  16.255   4.331   0.245   0.000   0.000   0.011   8.091  15.348
  -121.15    38.73    2018  18.375   8.089   6.662   9.007   7.179   2.191   0.128   0.000   0.000   0.000   5.371  17.670
  -121.15    38.73    2019  22.167  11.133   8.216   8.951   9.127  10.023   1.681   0.001   0.092   0.106   1.098   2.962
  -121.15    38.73    2020   6.245   2.512   1.473   3.210   2.142   0.269   0.000   0.000   0.000   0.000   0.405   4.798
  -121.15    38.73    2021  16.279   9.915   7.953   7.030   2.468   0.019   0.000   0.000   0.003  27.899  26.186  19.046
  -121.11    38.85    1979  20.291  32.385  26.871  24.325  26.115  16.656   8.597   3.818   2.230   4.336  10.923  16.323
  -121.11    38.85    1980  27.617  14.470   7.119   8.440   8.432   5.699   2.624   0.380   1.673   1.751   1.226   1.415
  -121.11    38.85    1981   7.484   9.674   5.021   7.711   6.011   2.771   0.463   0.004   0.032   3.082  19.011  18.214
  -121.11    38.85    1982  30.087  28.951  11.432   9.991  12.043   6.920   3.952   1.037   1.224  15.274  25.568  21.685
  -121.11    38.85    1983  26.491  17.945   3.725   3.801   4.932   3.311   1.803   0.604   0.724   2.415  13.847  17.940
  -121.11    38.85    1984  28.620  21.522   6.536   5.481   5.961   3.448   1.255   0.117   0.000   1.465  10.767  21.530
  -121.11    38.85    1985  26.829  23.328   6.911   5.177   4.435   2.307   0.580   0.022   0.021   0.345   9.030  24.985
  -121.11    38.85    1986  27.365   9.736   5.260   6.228   6.031   3.607   1.176   0.089   2.253   4.321   3.047   3.527
  -121.11    38.85    1987  10.857  14.629   5.565   5.678   4.324   1.799   0.380   0.006   0.000   0.179   2.811   7.825
  -121.11    38.85    1988  22.984  18.190   8.722   8.259   9.983   5.425   1.492   0.063   0.001   0.001   4.400  17.699
  -121.11    38.85    1989  32.776  28.813  18.996  16.339  14.345   8.369   3.271   0.581   0.873  10.553  15.554  14.387
  -121.11    38.85    1990  22.076  30.402  11.652   6.693   8.499   8.388   3.855   0.877   0.040   0.038   0.433   1.286
  -121.11    38.85    1991   3.067   4.106   6.514   9.342   8.268   5.105   2.084   0.277   0.000   2.006   4.164   6.069
  -121.11    38.85    1992  15.249  24.461   8.034   7.861   7.748   3.659   1.485   0.148   0.000   1.182   2.706   7.390
  -121.11    38.85    1993  30.948  34.042  16.407  10.697  10.990   8.600   4.056   0.821   0.027   0.191   3.193   9.093
  -121.11    38.85    1994  15.881  22.795   9.959   5.995   6.225   3.513   1.095   0.065   0.000   0.000   0.834   3.570
  -121.11    38.85    1995  22.887  24.956   8.549  10.810  11.460  10.287   6.808   1.926   0.427   0.356   0.243   5.906
  -121.11    38.85    1996  25.923  26.938   6.994   6.749   8.312   8.431   4.498   1.330   0.184   1.041   8.512  20.452
  -121.11    38.85    1997  32.795  29.928   6.726   4.314   4.321   2.118   0.527   0.012   0.000   0.738   7.925  17.070
  -121.11    38.85    1998  24.513  26.488  14.454   7.403   8.663   9.493   6.784   2.768   0.639   2.821  10.043  14.917
  -121.11    38.85    1999  26.635  31.792  21.399   4.566   4.888   2.770   0.889   0.073   0.000   0.066   1.998   3.705
  -121.11    38.85    2000  18.384  25.435   8.554   6.832   7.544   6.161   2.745   0.558   0.013   4.017   7.360   7.758
  -121.11    38.85    2001  20.091  35.581  19.299  10.154  11.738   5.866   1.969   0.200   0.000   0.084   3.744  18.447
  -121.11    38.85    2002  34.496  36.041  14.522   9.102  10.573   7.849   3.260   0.543   0.004   0.000   0.023   7.671
  -121.11    38.85    2003  35.120  27.336  12.070  11.284  14.747   9.367   3.652   0.641   0.017   0.002   0.193   6.150
  -121.11    38.85    2004  23.494  35.287  16.284   8.076   5.881   2.142   0.281   0.000   0.000   4.653  14.432  23.481
  -121.11    38.85    2005  31.825  31.050  10.487   8.804  10.218   9.864   6.940   2.466   0.538   0.902   1.776  17.680
  -121.11    38.85    2006  29.495  27.392  18.172  24.672  23.076  11.385   6.255   3.143   1.590   0.833   0.867   5.070
  -121.11    38.85    2007  11.451  23.946  15.778  10.847  11.955   7.491   4.647   3.134   1.937   2.333   3.381   5.178
  -121.11    38.85    2008  18.759  28.493   8.708   1.668   1.286   0.448   0.032   0.000   0.000   0.023   0.039   1.324
  -121.11    38.85    2009   8.676  18.436  10.045   6.544   6.470   3.185   0.938   0.116   0.016   0.890   2.252   4.660
  -121.11    38.85    2010  18.869  14.875   1.648   0.000   0.000   0.000   0.000   0.000   0.000   2.110   7.852  12.312
  -121.11    38.85    2011  23.774  19.498   2.865   0.000   0.000   0.000   0.000   0.000   0.000   0.077   0.266   0.298
  -121.11    38.85    2012   3.712   3.584   0.056   0.000   0.000   0.000   0.000   0.000   0.000   0.330   9.481  12.163
  -121.11    38.85    2013  28.348  24.410   4.594   0.834   0.610   0.333   0.063   0.000   0.001   0.003   0.348   0.627
  -121.11    38.85    2014   0.813   3.789   1.825   2.357   1.959   0.831   0.140   0.000   0.018   1.045   3.413  12.383
