      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.15    38.73    1979  18.185  27.681  68.376 100.750 153.267 170.414 164.302 139.077  91.848  49.705  25.738  17.700
  -121.15    38.73    1980  19.439  33.311  67.555  96.063 135.184 148.218 143.919 124.976  71.364  51.776  28.011  20.688
  -121.15    38.73    1981  19.453  30.201  61.855 105.590 143.023 163.114 162.000 136.397  78.967  49.084  22.312  15.462
  -121.15    38.73    1982  19.024  32.254  59.639  98.027 154.348 155.422 163.203 132.661  84.461  48.859  23.855  17.041
  -121.15    38.73    1983  13.386  23.381  47.159  79.556 134.167 147.137 142.830 108.517  73.271  42.066  17.911  12.446
  -121.15    38.73    1984  10.131  20.807  48.205  75.787 128.976 134.268 123.370  98.415  49.142  27.693  12.771   8.868
  -121.15    38.73    1985  17.650  32.633  55.888  97.246 137.190 155.177 146.364 128.116  81.449  47.699  20.240  16.336
  -121.15    38.73    1986  12.492  28.150  55.382  83.717 127.093 140.516 136.304 105.412  62.996  41.251  21.403  11.041
  -121.15    38.73    1987  15.482  29.808  55.962  98.141 138.511 130.426 131.657 115.865  75.731  48.366  23.989  15.196
  -121.15    38.73    1988  14.928  33.511  68.521  84.479 118.475 141.795 136.864 115.859  72.876  46.375  17.991  10.968
  -121.15    38.73    1989  14.604  21.333  50.379  96.918 141.220 144.176 138.350 119.624  86.191  50.224  27.913  17.020
  -121.15    38.73    1990  19.946  33.216  65.724  97.201 123.469 158.858 157.546 129.238  86.585  57.591  28.970  14.708
  -121.15    38.73    1991  20.371  33.950  55.208  89.413 128.128 150.524 158.412 127.455  82.272  58.828  29.605  20.193
  -121.15    38.73    1992  13.780  26.673  55.879  91.319 140.304 133.836 137.802 118.994  73.932  45.164  20.526  13.238
  -121.15    38.73    1993  16.040  26.061  52.796  84.284 122.075 141.942 135.666 110.581  70.089  44.762  22.510  13.869
  -121.15    38.73    1994  17.130  28.465  62.373  92.718 129.806 150.721 144.250 126.232  77.162  46.998  21.011  14.059
  -121.15    38.73    1995  18.201  31.945  56.884  81.899 114.895 135.020 159.232 130.382  72.233  48.378  26.901  18.339
  -121.15    38.73    1996  15.216  28.436  59.528  86.242 120.801 148.808 152.089 127.185  65.992  42.627  21.186  16.184
  -121.15    38.73    1997  17.884  29.640  63.801  91.050 136.159 143.940 140.326 116.588  61.459  44.008  18.594  13.650
  -121.15    38.73    1998  14.324  26.790  55.420  80.367  94.364 130.279 157.157 130.158  70.405  47.727  20.378  13.139
  -121.15    38.73    1999   9.425  17.820  38.244  74.963 125.577 136.466 131.761 109.937  59.916  39.660  16.865  11.726
