      Lon      Lat    Year     Abi_alb1     Abi_alb2      Jun_oxy     Pin_syl1     Pin_syl2     Pin_syl3          MRS      Que_ile     Que_rob1        C3_gr
  -121.15    38.73    1979         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1980         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1981         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1982         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1983         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1984         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1985         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1986         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1987         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1988         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1989         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1990         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1991         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1992         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1993         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1994         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1995         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1996         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1997         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1998         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    1999         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2000         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2001         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2002         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2003         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2004         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2005         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2006         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2007         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2008         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2009         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2010         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2011         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2012         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2013         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2014         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2015         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2016         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2017         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2018         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2019         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2020         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.15    38.73    2021         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1979         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1980         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1981         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1982         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1983         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1984         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
  -121.11    38.85    1985         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1986         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1987         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1988         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1989         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1990         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1991         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1992         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1993         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1994         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1995         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1996         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1997         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1998         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    1999         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    2000         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
  -121.11    38.85    2001         0.00         0.00         0.00         0.00         0.00         1.43         0.00         0.00         2.87         1.43
